Datas,Pescara
2022/06/24,270
2022/06/25,265
2022/06/26,272
2022/06/27,161
2022/06/28,539
2022/06/29,438
2022/06/30,494
2022/07/01,498
2022/07/02,511
2022/07/03,499
2022/07/04,254
2022/07/05,829
2022/07/06,621
2022/07/07,-103096
2022/07/08,104395
2022/07/09,589
2022/07/10,546
2022/07/11,314
2022/07/12,982
2022/07/13,694
2022/07/14,719
2022/07/15,661
2022/07/16,627
2022/07/17,559
2022/07/18,253
2022/07/19,869
2022/07/20,558
2022/07/21,592
2022/07/22,749
2022/07/23,535
2022/07/24,438
2022/07/25,237
2022/07/26,809
2022/07/27,543
2022/07/28,538
2022/07/29,502
2022/07/30,497
2022/07/31,354
2022/08/01,191
2022/08/02,598
2022/08/03,398
2022/08/04,406
2022/08/05,376
2022/08/06,274
2022/08/07,240
2022/08/08,148
2022/08/09,422
2022/08/10,355
2022/08/11,295
2022/08/12,285
2022/08/13,204
2022/08/14,151
2022/08/15,84
2022/08/16,59
2022/08/17,267
2022/08/18,351
2022/08/19,442
2022/08/20,298
2022/08/21,162
2022/08/22,152
2022/08/23,266
2022/08/24,288
2022/08/25,235
2022/08/26,242
2022/08/27,150
2022/08/28,138
2022/08/29,97
2022/08/30,328
2022/08/31,173
2022/09/01,173
2022/09/02,158
2022/09/03,122
2022/09/04,132
2022/09/05,56
2022/09/06,228
2022/09/07,175
2022/09/08,246
2022/09/09,124
2022/09/10,111
2022/09/11,96
2022/09/12,97
2022/09/13,213
2022/09/14,124
2022/09/15,184
2022/09/16,142
2022/09/17,154
2022/09/18,113
2022/09/19,84
2022/09/20,186
2022/09/21,167
2022/09/22,375
2022/09/23,482
2022/09/24,158
2022/09/25,141
2022/09/26,148
2022/09/27,331
2022/09/28,285
2022/09/29,308
2022/09/30,241
2022/10/01,284
2022/10/02,262
2022/10/03,176
