Datas,Siena
2022/04/22,355
2022/04/23,305
2022/04/24,308
2022/04/25,93
2022/04/26,91
2022/04/27,469
2022/04/28,309
2022/04/29,307
2022/04/30,220
2022/05/01,194
2022/05/02,71
2022/05/03,317
2022/05/04,231
2022/05/05,232
2022/05/06,192
2022/05/07,190
2022/05/08,150
2022/05/09,76
2022/05/10,302
2022/05/11,205
2022/05/12,219
2022/05/13,149
2022/05/14,208
2022/05/15,170
2022/05/16,47
2022/05/17,225
2022/05/18,146
2022/05/19,154
2022/05/20,165
2022/05/21,137
2022/05/22,93
2022/05/23,50
2022/05/24,180
2022/05/25,122
2022/05/26,119
2022/05/27,105
2022/05/28,85
2022/05/29,60
2022/05/30,17
2022/05/31,139
2022/06/01,82
2022/06/02,85
2022/06/03,30
2022/06/04,128
2022/06/05,63
2022/06/06,16
2022/06/07,112
2022/06/08,119
2022/06/09,98
2022/06/10,70
2022/06/11,86
2022/06/12,64
2022/06/13,15
2022/06/14,156
2022/06/15,124
2022/06/16,107
2022/06/17,133
2022/06/18,130
2022/06/19,115
2022/06/20,29
2022/06/21,239
2022/06/22,196
2022/06/23,230
2022/06/24,248
2022/06/25,220
2022/06/26,190
2022/06/27,88
2022/06/28,485
2022/06/29,324
2022/06/30,367
2022/07/01,329
2022/07/02,317
2022/07/03,265
2022/07/04,114
2022/07/05,722
2022/07/06,586
2022/07/07,586
2022/07/08,538
2022/07/09,508
2022/07/10,415
2022/07/11,125
2022/07/12,713
2022/07/13,533
2022/07/14,442
2022/07/15,409
2022/07/16,393
2022/07/17,303
2022/07/18,117
2022/07/19,525
2022/07/20,297
2022/07/21,305
2022/07/22,257
2022/07/23,217
2022/07/24,155
2022/07/25,58
2022/07/26,364
2022/07/27,233
2022/07/28,234
2022/07/29,188
2022/07/30,171
2022/07/31,141
2022/08/01,31
2022/08/02,236
2022/08/03,141
2022/08/04,126
2022/08/05,130
2022/08/06,105
2022/08/07,77
2022/08/08,32
2022/08/09,142
2022/08/10,87
2022/08/11,97
2022/08/12,72
2022/08/13,92
2022/08/14,44
2022/08/15,33
2022/08/16,19
2022/08/17,92
2022/08/18,95
2022/08/19,63
2022/08/20,76
2022/08/21,51
2022/08/22,25
2022/08/23,110
2022/08/24,84
2022/08/25,66
2022/08/26,67
2022/08/27,73
2022/08/28,62
2022/08/29,18
2022/08/30,107
2022/08/31,68
2022/09/01,75
2022/09/02,63
2022/09/03,61
2022/09/04,39
2022/09/05,15
2022/09/06,104
2022/09/07,71
2022/09/08,76
2022/09/09,56
2022/09/10,63
2022/09/11,47
2022/09/12,20
2022/09/13,128
2022/09/14,78
2022/09/15,60
2022/09/16,78
2022/09/17,62
2022/09/18,43
2022/09/19,13
2022/09/20,104
2022/09/21,73
2022/09/22,81
2022/09/23,103
2022/09/24,96
2022/09/25,83
2022/09/26,40
2022/09/27,184
2022/09/28,148
2022/09/29,191
2022/09/30,139
2022/10/01,147
2022/10/02,121
2022/10/03,55
