Datas,Taranto
2022/09/18,84
2022/09/19,25
2022/09/20,148
2022/09/21,68
2022/09/22,90
2022/09/23,92
2022/09/24,108
2022/09/25,118
2022/09/26,46
2022/09/27,222
2022/09/28,162
2022/09/29,177
2022/09/30,125
2022/10/01,145
2022/10/02,109
2022/10/03,52
