Datas,Reggio nell'Emilia
2022/06/26,517
2022/06/27,331
2022/06/28,276
2022/06/29,796
2022/06/30,632
2022/07/01,807
2022/07/02,855
2022/07/03,702
2022/07/04,415
2022/07/05,386
2022/07/06,965
2022/07/07,1018
2022/07/08,988
2022/07/09,177
2022/07/10,822
2022/07/11,543
2022/07/12,1105
2022/07/13,1149
2022/07/14,909
2022/07/15,947
2022/07/16,822
2022/07/17,755
2022/07/18,511
2022/07/19,348
2022/07/20,999
2022/07/21,820
2022/07/22,741
2022/07/23,580
2022/07/24,550
2022/07/25,339
2022/07/26,289
2022/07/27,152
2022/07/28,1084
2022/07/29,688
2022/07/30,497
2022/07/31,75
2022/08/01,609
2022/08/02,215
2022/08/03,523
2022/08/04,361
2022/08/05,305
2022/08/06,305
2022/08/07,282
2022/08/08,181
2022/08/09,132
2022/08/10,382
2022/08/11,291
2022/08/12,238
2022/08/13,226
2022/08/14,213
2022/08/15,169
2022/08/16,12
2022/08/17,136
2022/08/18,293
2022/08/19,292
2022/08/20,207
2022/08/21,223
2022/08/22,186
2022/08/23,97
2022/08/24,350
2022/08/25,244
2022/08/26,285
2022/08/27,184
2022/08/28,183
2022/08/29,170
2022/08/30,96
2022/08/31,239
2022/09/01,239
2022/09/02,201
2022/09/03,181
2022/09/04,169
2022/09/05,130
2022/09/06,47
2022/09/07,212
2022/09/08,166
2022/09/09,159
2022/09/10,159
2022/09/11,146
2022/09/12,101
2022/09/13,0
2022/09/14,236
2022/09/15,154
2022/09/16,142
2022/09/17,160
2022/09/18,166
2022/09/19,125
2022/09/20,58
2022/09/21,177
2022/09/22,153
2022/09/23,176
2022/09/24,185
2022/09/25,167
2022/09/26,194
2022/09/27,101
2022/09/28,395
2022/09/29,342
2022/09/30,345
2022/10/01,333
2022/10/02,311
2022/10/03,315
