Datas,Prato
2022/06/18,125
2022/06/19,83
2022/06/20,40
2022/06/21,208
2022/06/22,146
2022/06/23,170
2022/06/24,185
2022/06/25,196
2022/06/26,169
2022/06/27,52
2022/06/28,442
2022/06/29,294
2022/06/30,304
2022/07/01,288
2022/07/02,269
2022/07/03,213
2022/07/04,64
2022/07/05,502
2022/07/06,337
2022/07/07,324
2022/07/08,352
2022/07/09,315
2022/07/10,240
2022/07/11,74
2022/07/12,472
2022/07/13,381
2022/07/14,334
2022/07/15,329
2022/07/16,280
2022/07/17,236
2022/07/18,70
2022/07/19,417
2022/07/20,279
2022/07/21,239
2022/07/22,197
2022/07/23,225
2022/07/24,177
2022/07/25,52
2022/07/26,344
2022/07/27,230
2022/07/28,205
2022/07/29,161
2022/07/30,152
2022/07/31,110
2022/08/01,48
2022/08/02,191
2022/08/03,142
2022/08/04,130
2022/08/05,106
2022/08/06,87
2022/08/07,76
2022/08/08,29
2022/08/09,85
2022/08/10,76
2022/08/11,73
2022/08/12,62
2022/08/13,68
2022/08/14,41
2022/08/15,17
2022/08/16,4
2022/08/17,79
2022/08/18,74
2022/08/19,61
2022/08/20,49
2022/08/21,59
2022/08/22,22
2022/08/23,72
2022/08/24,59
2022/08/25,56
2022/08/26,56
2022/08/27,54
2022/08/28,39
2022/08/29,23
2022/08/30,92
2022/08/31,49
2022/09/01,43
2022/09/02,43
2022/09/03,43
2022/09/04,28
2022/09/05,19
2022/09/06,61
2022/09/07,45
2022/09/08,45
2022/09/09,39
2022/09/10,29
2022/09/11,24
2022/09/12,20
2022/09/13,65
2022/09/14,37
2022/09/15,30
2022/09/16,33
2022/09/17,25
2022/09/18,35
2022/09/19,20
2022/09/20,61
2022/09/21,47
2022/09/22,58
2022/09/23,54
2022/09/24,67
2022/09/25,49
2022/09/26,25
2022/09/27,139
2022/09/28,103
2022/09/29,94
2022/09/30,102
2022/10/01,100
2022/10/02,94
2022/10/03,27
