Datas,Sud Sardegna
2022/03/04,223
2022/03/05,288
2022/03/06,126
2022/03/07,122
2022/03/08,291
2022/03/09,255
2022/03/10,323
2022/03/11,239
2022/03/12,351
2022/03/13,202
2022/03/14,150
2022/03/15,464
2022/03/16,462
2022/03/17,386
2022/03/18,358
2022/03/19,349
2022/03/20,184
2022/03/21,127
2022/03/22,489
2022/03/23,342
2022/03/24,281
2022/03/25,217
2022/03/26,327
2022/03/27,185
2022/03/28,281
2022/03/29,438
2022/03/30,344
2022/03/31,233
2022/04/01,396
2022/04/02,285
2022/04/03,151
2022/04/04,249
2022/04/05,483
2022/04/06,366
2022/04/07,243
2022/04/08,377
2022/04/09,227
2022/04/10,216
2022/04/11,340
2022/04/12,599
2022/04/13,378
2022/04/14,398
2022/04/15,380
2022/04/16,409
2022/04/17,227
2022/04/18,48
2022/04/19,253
2022/04/20,821
2022/04/21,590
2022/04/22,560
2022/04/23,522
2022/04/24,219
2022/04/25,57
2022/04/26,321
2022/04/27,749
2022/04/28,481
2022/04/29,447
2022/04/30,415
2022/05/01,180
2022/05/02,210
2022/05/03,560
2022/05/04,395
2022/05/05,329
2022/05/06,343
2022/05/07,289
2022/05/08,175
2022/05/09,158
2022/05/10,545
2022/05/11,337
2022/05/12,242
2022/05/13,436
2022/05/14,299
2022/05/15,181
2022/05/16,139
2022/05/17,462
2022/05/18,279
2022/05/19,311
2022/05/20,282
2022/05/21,146
2022/05/22,152
2022/05/23,199
2022/05/24,458
2022/05/25,228
2022/05/26,292
2022/05/27,207
2022/05/28,168
2022/05/29,79
2022/05/30,76
2022/05/31,304
2022/06/01,163
2022/06/02,128
2022/06/03,206
2022/06/04,268
2022/06/05,88
2022/06/06,62
2022/06/07,347
2022/06/08,231
2022/06/09,192
2022/06/10,212
2022/06/11,258
2022/06/12,103
2022/06/13,164
2022/06/14,513
2022/06/15,320
2022/06/16,364
2022/06/17,329
2022/06/18,196
2022/06/19,164
2022/06/20,280
2022/06/21,733
2022/06/22,423
2022/06/23,494
2022/06/24,464
2022/06/25,521
2022/06/26,181
2022/06/27,245
2022/06/28,1047
2022/06/29,631
2022/06/30,670
2022/07/01,630
2022/07/02,416
2022/07/03,109
2022/07/04,197
2022/07/05,1212
2022/07/06,863
2022/07/07,727
2022/07/08,592
2022/07/09,193
2022/07/10,112
2022/07/11,554
2022/07/12,1048
2022/07/13,670
2022/07/14,587
2022/07/15,555
2022/07/16,326
2022/07/17,104
2022/07/18,199
2022/07/19,815
2022/07/20,410
2022/07/21,449
2022/07/22,334
2022/07/23,97
2022/07/24,88
2022/07/25,137
2022/07/26,535
2022/07/27,384
2022/07/28,242
2022/07/29,380
2022/07/30,75
2022/07/31,52
2022/08/01,169
2022/08/02,454
2022/08/03,220
2022/08/04,255
2022/08/05,222
2022/08/06,123
2022/08/07,90
2022/08/08,86
2022/08/09,300
2022/08/10,177
2022/08/11,145
2022/08/12,181
2022/08/13,155
2022/08/14,70
2022/08/15,5
2022/08/16,37
2022/08/17,270
2022/08/18,149
2022/08/19,159
2022/08/20,53
2022/08/21,33
2022/08/22,22
2022/08/23,290
2022/08/24,106
2022/08/25,157
2022/08/26,141
2022/08/27,63
2022/08/28,18
2022/08/29,45
2022/08/30,187
2022/08/31,105
2022/09/01,84
2022/09/02,109
2022/09/03,29
2022/09/04,25
2022/09/05,72
2022/09/06,180
2022/09/07,73
2022/09/08,72
2022/09/09,54
