Datas,Chieti
2022/06/06,74
2022/06/07,215
2022/06/08,122
2022/06/09,164
2022/06/10,174
2022/06/11,150
2022/06/12,135
2022/06/13,90
2022/06/14,273
2022/06/15,202
2022/06/16,238
2022/06/17,258
2022/06/18,271
2022/06/19,209
2022/06/20,104
2022/06/21,352
2022/06/22,292
2022/06/23,329
2022/06/24,335
2022/06/25,314
2022/06/26,301
2022/06/27,168
2022/06/28,660
2022/06/29,515
2022/06/30,707
2022/07/01,709
2022/07/02,611
2022/07/03,529
2022/07/04,325
2022/07/05,970
2022/07/06,754
2022/07/07,-126883
2022/07/08,128555
2022/07/09,761
2022/07/10,685
2022/07/11,376
2022/07/12,1222
2022/07/13,1034
2022/07/14,1148
2022/07/15,952
2022/07/16,917
2022/07/17,559
2022/07/18,313
2022/07/19,1098
2022/07/20,757
2022/07/21,788
2022/07/22,656
2022/07/23,934
2022/07/24,498
2022/07/25,467
2022/07/26,1009
2022/07/27,605
2022/07/28,611
2022/07/29,583
2022/07/30,551
2022/07/31,355
2022/08/01,290
2022/08/02,659
2022/08/03,374
2022/08/04,553
2022/08/05,497
2022/08/06,393
2022/08/07,273
2022/08/08,96
2022/08/09,550
2022/08/10,295
2022/08/11,261
2022/08/12,331
2022/08/13,180
2022/08/14,162
2022/08/15,103
2022/08/16,88
2022/08/17,312
2022/08/18,341
2022/08/19,276
2022/08/20,229
2022/08/21,193
2022/08/22,147
2022/08/23,318
2022/08/24,230
2022/08/25,266
2022/08/26,292
2022/08/27,178
2022/08/28,152
2022/08/29,76
2022/08/30,374
2022/08/31,173
2022/09/01,156
2022/09/02,252
2022/09/03,136
2022/09/04,117
2022/09/05,78
2022/09/06,215
2022/09/07,187
2022/09/08,210
2022/09/09,151
2022/09/10,136
2022/09/11,134
2022/09/12,54
2022/09/13,246
2022/09/14,190
2022/09/15,157
2022/09/16,130
2022/09/17,160
2022/09/18,139
2022/09/19,60
2022/09/20,311
2022/09/21,265
2022/09/22,203
2022/09/23,166
2022/09/24,169
2022/09/25,162
2022/09/26,88
2022/09/27,552
2022/09/28,276
2022/09/29,326
2022/09/30,288
2022/10/01,296
2022/10/02,246
2022/10/03,100
