Datas,Latina
2022/05/10,567
2022/05/11,435
2022/05/12,429
2022/05/13,412
2022/05/14,339
2022/05/15,290
2022/05/16,80
2022/05/17,426
2022/05/18,365
2022/05/19,296
2022/05/20,283
2022/05/21,292
2022/05/22,135
2022/05/23,101
2022/05/24,355
2022/05/25,160
2022/05/26,226
2022/05/27,213
2022/05/28,209
2022/05/29,129
2022/05/30,68
2022/05/31,267
2022/06/01,196
2022/06/02,207
2022/06/03,58
2022/06/04,260
2022/06/05,144
2022/06/06,60
2022/06/07,288
2022/06/08,236
2022/06/09,179
2022/06/10,270
2022/06/11,222
2022/06/12,238
2022/06/13,92
2022/06/14,420
2022/06/15,282
2022/06/16,382
2022/06/17,377
2022/06/18,401
2022/06/19,351
2022/06/20,139
2022/06/21,700
2022/06/22,575
2022/06/23,568
2022/06/24,597
2022/06/25,665
2022/06/26,578
2022/06/27,256
2022/06/28,1189
2022/06/29,809
2022/06/30,917
2022/07/01,892
2022/07/02,1322
2022/07/03,939
2022/07/04,424
2022/07/05,1625
2022/07/06,1545
2022/07/07,1432
2022/07/08,1489
2022/07/09,1302
2022/07/10,1007
2022/07/11,353
2022/07/12,1834
2022/07/13,1358
2022/07/14,1206
2022/07/15,1302
2022/07/16,1104
2022/07/17,750
2022/07/18,336
2022/07/19,1627
2022/07/20,836
2022/07/21,929
2022/07/22,806
2022/07/23,828
2022/07/24,569
2022/07/25,232
2022/07/26,1079
2022/07/27,672
2022/07/28,658
2022/07/29,658
2022/07/30,556
2022/07/31,443
2022/08/01,188
2022/08/02,653
2022/08/03,685
2022/08/04,514
2022/08/05,420
2022/08/06,365
2022/08/07,347
2022/08/08,141
2022/08/09,553
2022/08/10,360
2022/08/11,381
2022/08/12,262
2022/08/13,260
2022/08/14,208
2022/08/15,106
2022/08/16,53
2022/08/17,412
2022/08/18,300
2022/08/19,235
2022/08/20,208
2022/08/21,188
2022/08/22,92
2022/08/23,341
2022/08/24,205
2022/08/25,191
2022/08/26,203
2022/08/27,189
2022/08/28,191
2022/08/29,62
2022/08/30,278
2022/08/31,175
2022/09/01,201
2022/09/02,154
2022/09/03,162
2022/09/04,89
2022/09/05,69
2022/09/06,208
2022/09/07,162
2022/09/08,80
2022/09/09,225
2022/09/10,113
2022/09/11,133
2022/09/12,66
2022/09/13,217
2022/09/14,177
2022/09/15,159
2022/09/16,179
2022/09/17,173
2022/09/18,217
2022/09/19,58
2022/09/20,283
2022/09/21,225
2022/09/22,293
2022/09/23,252
2022/09/24,203
2022/09/25,198
2022/09/26,109
2022/09/27,387
2022/09/28,323
2022/09/29,309
2022/09/30,316
2022/10/01,270
2022/10/02,278
2022/10/03,98
