Datas,Frosinone
2021/11/01,19
2021/11/02,8
2021/11/03,41
2021/11/04,84
2021/11/05,49
2021/11/06,73
2021/11/07,68
2021/11/08,27
2021/11/09,63
2021/11/10,66
2021/11/11,84
2021/11/12,88
2021/11/13,108
2021/11/14,87
2021/11/15,21
2021/11/16,74
2021/11/17,82
2021/11/18,61
2021/11/19,75
2021/11/20,101
2021/11/21,79
2021/11/22,23
2021/11/23,58
2021/11/24,81
2021/11/25,56
2021/11/26,75
2021/11/27,99
2021/11/28,103
2021/11/29,30
2021/11/30,94
2021/12/01,76
2021/12/02,96
2021/12/03,59
2021/12/04,96
2021/12/05,101
2021/12/06,19
2021/12/07,123
2021/12/08,139
2021/12/09,13
2021/12/10,149
2021/12/11,154
2021/12/12,174
2021/12/13,48
2021/12/14,142
2021/12/15,163
2021/12/16,181
2021/12/17,214
2021/12/18,188
2021/12/19,123
2021/12/20,79
2021/12/21,207
2021/12/22,223
2021/12/23,290
2021/12/24,258
2021/12/25,286
2021/12/26,43
2021/12/27,129
2021/12/28,484
2021/12/29,595
2021/12/30,710
2021/12/31,677
2022/01/01,1248
2022/01/02,153
2022/01/03,227
2022/01/04,1127
2022/01/05,959
2022/01/06,1002
2022/01/07,255
2022/01/08,1066
2022/01/09,980
2022/01/10,326
2022/01/11,1103
2022/01/12,850
2022/01/13,770
2022/01/14,833
2022/01/15,719
2022/01/16,826
2022/01/17,317
2022/01/18,1099
2022/01/19,940
2022/01/20,856
2022/01/21,726
2022/01/22,1049
2022/01/23,867
2022/01/24,267
2022/01/25,1213
2022/01/26,1024
2022/01/27,984
2022/01/28,806
2022/01/29,942
2022/01/30,948
2022/01/31,267
2022/02/01,1207
2022/02/02,885
2022/02/03,798
2022/02/04,748
2022/02/05,855
2022/02/06,713
2022/02/07,180
2022/02/08,979
2022/02/09,664
2022/02/10,673
2022/02/11,625
2022/02/12,540
2022/02/13,558
2022/02/14,129
2022/02/15,586
2022/02/16,567
2022/02/17,601
2022/02/18,454
2022/02/19,414
2022/02/20,444
2022/02/21,128
2022/02/22,515
2022/02/23,458
2022/02/24,455
2022/02/25,435
2022/02/26,349
2022/02/27,383
2022/02/28,319
2022/03/01,237
2022/03/02,304
2022/03/03,344
2022/03/04,386
2022/03/05,355
2022/03/06,438
2022/03/07,118
2022/03/08,724
2022/03/09,523
2022/03/10,578
2022/03/11,526
2022/03/12,630
2022/03/13,661
2022/03/14,208
2022/03/15,1192
2022/03/16,816
2022/03/17,929
2022/03/18,795
2022/03/19,866
2022/03/20,714
2022/03/21,298
2022/03/22,1177
2022/03/23,716
2022/03/24,864
2022/03/25,867
2022/03/26,755
2022/03/27,736
2022/03/28,236
2022/03/29,1094
2022/03/30,904
2022/03/31,762
2022/04/01,746
2022/04/02,1013
2022/04/03,584
2022/04/04,178
2022/04/05,858
2022/04/06,707
2022/04/07,712
2022/04/08,625
2022/04/09,607
2022/04/10,729
2022/04/11,192
2022/04/12,763
2022/04/13,557
2022/04/14,718
2022/04/15,497
2022/04/16,457
2022/04/17,467
2022/04/18,79
2022/04/19,97
2022/04/20,874
2022/04/21,556
2022/04/22,561
2022/04/23,577
2022/04/24,606
2022/04/25,169
2022/04/26,187
2022/04/27,751
2022/04/28,669
2022/04/29,759
2022/04/30,564
2022/05/01,302
2022/05/02,104
2022/05/03,388
2022/05/04,579
2022/05/05,352
2022/05/06,379
2022/05/07,314
2022/05/08,289
2022/05/09,88
2022/05/10,545
2022/05/11,372
2022/05/12,422
2022/05/13,326
2022/05/14,322
2022/05/15,199
2022/05/16,115
2022/05/17,393
2022/05/18,227
2022/05/19,250
2022/05/20,251
2022/05/21,164
2022/05/22,125
2022/05/23,33
2022/05/24,258
2022/05/25,83
2022/05/26,160
2022/05/27,116
2022/05/28,135
2022/05/29,125
2022/05/30,25
2022/05/31,211
2022/06/01,115
2022/06/02,125
2022/06/03,10
2022/06/04,180
2022/06/05,116
2022/06/06,29
2022/06/07,191
2022/06/08,144
2022/06/09,193
2022/06/10,175
2022/06/11,156
2022/06/12,133
2022/06/13,27
2022/06/14,255
2022/06/15,231
2022/06/16,316
2022/06/17,327
2022/06/18,311
2022/06/19,252
2022/06/20,64
2022/06/21,556
2022/06/22,413
2022/06/23,437
2022/06/24,510
2022/06/25,413
2022/06/26,388
2022/06/27,66
2022/06/28,868
2022/06/29,658
2022/06/30,564
2022/07/01,667
2022/07/02,785
2022/07/03,810
2022/07/04,140
2022/07/05,1268
2022/07/06,944
2022/07/07,970
2022/07/08,849
2022/07/09,852
2022/07/10,711
2022/07/11,153
2022/07/12,1356
2022/07/13,991
2022/07/14,905
2022/07/15,806
2022/07/16,752
2022/07/17,769
2022/07/18,148
2022/07/19,1181
2022/07/20,834
2022/07/21,675
2022/07/22,643
2022/07/23,612
2022/07/24,543
2022/07/25,94
2022/07/26,825
2022/07/27,484
2022/07/28,454
2022/07/29,413
2022/07/30,389
2022/07/31,370
2022/08/01,101
2022/08/02,576
2022/08/03,412
2022/08/04,322
2022/08/05,340
2022/08/06,261
2022/08/07,307
2022/08/08,42
2022/08/09,422
2022/08/10,267
2022/08/11,254
2022/08/12,262
2022/08/13,165
2022/08/14,277
2022/08/15,67
2022/08/16,42
2022/08/17,371
2022/08/18,290
2022/08/19,249
2022/08/20,244
2022/08/21,218
2022/08/22,56
2022/08/23,371
2022/08/24,235
2022/08/25,221
2022/08/26,209
2022/08/27,201
2022/08/28,220
2022/08/29,37
2022/08/30,320
2022/08/31,208
2022/09/01,222
2022/09/02,192
2022/09/03,209
2022/09/04,192
2022/09/05,19
2022/09/06,308
2022/09/07,180
2022/09/08,170
2022/09/09,190
2022/09/10,193
2022/09/11,145
2022/09/12,57
2022/09/13,288
2022/09/14,184
2022/09/15,171
2022/09/16,195
2022/09/17,195
2022/09/18,199
2022/09/19,63
2022/09/20,305
2022/09/21,205
2022/09/22,222
2022/09/23,212
2022/09/24,226
2022/09/25,241
2022/09/26,37
2022/09/27,474
2022/09/28,305
2022/09/29,324
2022/09/30,340
2022/10/01,310
2022/10/02,291
2022/10/03,73
