Datas,Udine
2022/03/25,459
2022/03/26,575
2022/03/27,330
2022/03/28,143
2022/03/29,654
2022/03/30,482
2022/03/31,461
2022/04/01,625
2022/04/02,521
2022/04/03,317
2022/04/04,152
2022/04/05,725
2022/04/06,453
2022/04/07,546
2022/04/08,496
2022/04/09,550
2022/04/10,350
2022/04/11,103
2022/04/12,633
2022/04/13,404
2022/04/14,503
2022/04/15,462
2022/04/16,521
2022/04/17,317
2022/04/18,83
2022/04/19,103
2022/04/20,650
2022/04/21,555
2022/04/22,529
2022/04/23,505
2022/04/24,300
2022/04/25,118
2022/04/26,133
2022/04/27,674
2022/04/28,556
2022/04/29,437
2022/04/30,459
2022/05/01,267
2022/05/02,100
2022/05/03,525
2022/05/04,404
2022/05/05,430
2022/05/06,375
2022/05/07,348
2022/05/08,206
2022/05/09,102
2022/05/10,462
2022/05/11,392
2022/05/12,428
2022/05/13,278
2022/05/14,345
2022/05/15,214
2022/05/16,75
2022/05/17,325
2022/05/18,237
2022/05/19,272
2022/05/20,187
2022/05/21,206
2022/05/22,91
2022/05/23,34
2022/05/24,188
2022/05/25,162
2022/05/26,184
2022/05/27,126
2022/05/28,132
2022/05/29,80
2022/05/30,30
2022/05/31,177
2022/06/01,136
2022/06/02,160
2022/06/03,48
2022/06/04,172
2022/06/05,98
2022/06/06,63
2022/06/07,271
2022/06/08,167
2022/06/09,188
2022/06/10,183
2022/06/11,221
2022/06/12,151
2022/06/13,75
2022/06/14,356
2022/06/15,351
2022/06/16,473
2022/06/17,384
2022/06/18,426
2022/06/19,296
2022/06/20,141
2022/06/21,669
2022/06/22,480
2022/06/23,638
2022/06/24,539
2022/06/25,581
2022/06/26,427
2022/06/27,223
2022/06/28,907
2022/06/29,654
2022/06/30,761
2022/07/01,661
2022/07/02,747
2022/07/03,418
2022/07/04,244
2022/07/05,1072
2022/07/06,714
2022/07/07,811
2022/07/08,684
2022/07/09,913
2022/07/10,523
2022/07/11,280
2022/07/12,1173
2022/07/13,827
2022/07/14,910
2022/07/15,861
2022/07/16,861
2022/07/17,613
2022/07/18,217
2022/07/19,1133
2022/07/20,958
2022/07/21,851
2022/07/22,796
2022/07/23,786
2022/07/24,514
2022/07/25,158
2022/07/26,1021
2022/07/27,769
2022/07/28,697
2022/07/29,551
2022/07/30,608
2022/07/31,375
2022/08/01,158
2022/08/02,778
2022/08/03,574
2022/08/04,537
2022/08/05,393
2022/08/06,412
2022/08/07,266
2022/08/08,110
2022/08/09,473
2022/08/10,416
2022/08/11,332
2022/08/12,277
2022/08/13,316
2022/08/14,201
2022/08/15,119
2022/08/16,117
2022/08/17,548
2022/08/18,470
2022/08/19,315
2022/08/20,359
2022/08/21,225
2022/08/22,117
2022/08/23,484
2022/08/24,309
2022/08/25,368
2022/08/26,285
2022/08/27,265
2022/08/28,181
2022/08/29,107
2022/08/30,403
2022/08/31,323
2022/09/01,269
2022/09/02,193
2022/09/03,239
2022/09/04,163
2022/09/05,79
2022/09/06,311
2022/09/07,211
2022/09/08,209
2022/09/09,187
2022/09/10,201
2022/09/11,114
2022/09/12,57
2022/09/13,311
2022/09/14,222
2022/09/15,230
2022/09/16,210
2022/09/17,249
2022/09/18,144
2022/09/19,81
2022/09/20,325
2022/09/21,294
2022/09/22,327
2022/09/23,340
2022/09/24,353
2022/09/25,269
2022/09/26,122
2022/09/27,660
2022/09/28,521
2022/09/29,591
2022/09/30,571
2022/10/01,647
2022/10/02,406
2022/10/03,186
