Datas,Enna
2022/02/21,96
2022/02/22,165
2022/02/23,121
2022/02/24,337
2022/02/25,110
2022/02/26,120
2022/02/27,167
2022/02/28,19
2022/03/01,172
2022/03/02,231
2022/03/03,83
2022/03/04,55
2022/03/05,217
2022/03/06,85
2022/03/07,167
2022/03/08,176
2022/03/09,233
2022/03/10,194
2022/03/11,268
2022/03/12,173
2022/03/13,73
2022/03/14,114
2022/03/15,179
2022/03/16,153
2022/03/17,613
2022/03/18,173
2022/03/19,153
2022/03/20,107
2022/03/21,166
2022/03/22,268
2022/03/23,130
2022/03/24,181
2022/03/25,105
2022/03/26,310
2022/03/27,189
2022/03/28,5
2022/03/29,135
2022/03/30,274
2022/03/31,104
2022/04/01,319
2022/04/02,208
2022/04/03,72
2022/04/04,170
2022/04/05,146
2022/04/06,97
2022/04/07,194
2022/04/08,82
2022/04/09,165
2022/04/10,44
2022/04/11,17
2022/04/12,201
2022/04/13,140
2022/04/14,91
2022/04/15,78
2022/04/16,210
2022/04/17,73
2022/04/18,25
2022/04/19,40
2022/04/20,280
2022/04/21,87
2022/04/22,187
2022/04/23,112
2022/04/24,76
2022/04/25,185
2022/04/26,31
2022/04/27,123
2022/04/28,184
2022/04/29,80
2022/04/30,51
2022/05/01,25
2022/05/02,16
2022/05/03,242
2022/05/04,50
2022/05/05,122
2022/05/06,60
2022/05/07,64
2022/05/08,30
2022/05/09,103
2022/05/10,80
2022/05/11,43
2022/05/12,99
2022/05/13,45
2022/05/14,56
2022/05/15,22
2022/05/16,20
2022/05/17,81
2022/05/18,143
2022/05/19,72
2022/05/20,73
2022/05/21,45
2022/05/22,115
2022/05/23,12
2022/05/24,64
2022/05/25,106
2022/05/26,47
2022/05/27,43
2022/05/28,34
2022/05/29,17
2022/05/30,15
2022/05/31,64
2022/06/01,44
2022/06/02,89
2022/06/03,15
2022/06/04,43
2022/06/05,24
2022/06/06,19
2022/06/07,158
2022/06/08,68
2022/06/09,54
2022/06/10,44
2022/06/11,104
2022/06/12,25
2022/06/13,22
2022/06/14,120
2022/06/15,64
2022/06/16,55
2022/06/17,60
2022/06/18,3
2022/06/19,163
2022/06/20,19
2022/06/21,115
2022/06/22,225
2022/06/23,88
2022/06/24,69
2022/06/25,189
2022/06/26,53
2022/06/27,36
2022/06/28,217
2022/06/29,121
2022/06/30,247
2022/07/01,119
2022/07/02,178
2022/07/03,86
2022/07/04,37
2022/07/05,521
2022/07/06,447
2022/07/07,213
2022/07/08,150
2022/07/09,239
2022/07/10,416
2022/07/11,59
2022/07/12,306
2022/07/13,346
2022/07/14,176
2022/07/15,870
2022/07/16,174
2022/07/17,327
2022/07/18,65
2022/07/19,216
2022/07/20,146
