Datas,Terni
2022/07/03,335
2022/07/04,99
2022/07/05,407
2022/07/06,393
2022/07/07,318
2022/07/08,397
2022/07/09,378
2022/07/10,359
2022/07/11,111
2022/07/12,546
2022/07/13,502
2022/07/14,391
2022/07/15,434
2022/07/16,335
2022/07/17,274
2022/07/18,70
2022/07/19,483
2022/07/20,371
2022/07/21,370
2022/07/22,281
2022/07/23,233
2022/07/24,209
2022/07/25,63
2022/07/26,390
2022/07/27,292
2022/07/28,235
2022/07/29,191
2022/07/30,186
2022/07/31,203
2022/08/01,48
2022/08/02,354
2022/08/03,240
2022/08/04,129
2022/08/05,194
2022/08/06,147
2022/08/07,135
2022/08/08,40
2022/08/09,203
2022/08/10,135
2022/08/11,150
2022/08/12,108
2022/08/13,100
2022/08/14,92
2022/08/15,18
2022/08/16,13
2022/08/17,145
2022/08/18,111
2022/08/19,91
2022/08/20,86
2022/08/21,80
2022/08/22,22
2022/08/23,121
2022/08/24,98
2022/08/25,69
2022/08/26,76
2022/08/27,73
2022/08/28,81
2022/08/29,29
2022/08/30,120
2022/08/31,90
2022/09/01,96
2022/09/02,58
2022/09/03,76
2022/09/04,51
2022/09/05,23
2022/09/06,97
2022/09/07,85
2022/09/08,89
2022/09/09,80
2022/09/10,89
2022/09/11,77
2022/09/12,18
2022/09/13,114
2022/09/14,101
2022/09/15,98
2022/09/16,86
2022/09/17,100
2022/09/18,76
2022/09/19,24
2022/09/20,106
2022/09/21,106
2022/09/22,131
2022/09/23,123
2022/09/24,127
2022/09/25,111
2022/09/26,34
2022/09/27,222
2022/09/28,221
2022/09/29,170
2022/09/30,197
2022/10/01,0
2022/10/02,292
2022/10/03,74
