Datas,Arezzo
2022/03/21,185
2022/03/22,733
2022/03/23,587
2022/03/24,572
2022/03/25,586
2022/03/26,485
2022/03/27,380
2022/03/28,155
2022/03/29,690
2022/03/30,498
2022/03/31,465
2022/04/01,482
2022/04/02,499
2022/04/03,318
2022/04/04,136
2022/04/05,635
2022/04/06,426
2022/04/07,403
2022/04/08,416
2022/04/09,353
2022/04/10,288
2022/04/11,134
2022/04/12,496
2022/04/13,358
2022/04/14,366
2022/04/15,344
2022/04/16,389
2022/04/17,268
2022/04/18,105
2022/04/19,126
2022/04/20,547
2022/04/21,414
2022/04/22,404
2022/04/23,346
2022/04/24,257
2022/04/25,158
2022/04/26,110
2022/04/27,514
2022/04/28,279
2022/04/29,303
2022/04/30,254
2022/05/01,176
2022/05/02,63
2022/05/03,345
2022/05/04,195
2022/05/05,217
2022/05/06,169
2022/05/07,200
2022/05/08,150
2022/05/09,56
2022/05/10,292
2022/05/11,162
2022/05/12,165
2022/05/13,144
2022/05/14,192
2022/05/15,164
2022/05/16,59
2022/05/17,247
2022/05/18,134
2022/05/19,142
2022/05/20,121
2022/05/21,88
2022/05/22,65
2022/05/23,27
2022/05/24,187
2022/05/25,112
2022/05/26,108
2022/05/27,89
2022/05/28,91
2022/05/29,54
2022/05/30,29
2022/05/31,109
2022/06/01,72
2022/06/02,81
2022/06/03,22
2022/06/04,83
2022/06/05,67
2022/06/06,25
2022/06/07,126
2022/06/08,72
2022/06/09,96
2022/06/10,66
2022/06/11,82
2022/06/12,73
2022/06/13,40
2022/06/14,169
2022/06/15,136
2022/06/16,176
2022/06/17,158
2022/06/18,150
2022/06/19,127
2022/06/20,58
2022/06/21,298
2022/06/22,275
2022/06/23,305
2022/06/24,290
2022/06/25,322
2022/06/26,194
2022/06/27,115
2022/06/28,467
2022/06/29,404
2022/06/30,408
2022/07/01,400
2022/07/02,389
2022/07/03,276
2022/07/04,105
2022/07/05,703
2022/07/06,451
2022/07/07,529
2022/07/08,451
2022/07/09,429
2022/07/10,306
2022/07/11,156
2022/07/12,676
2022/07/13,557
2022/07/14,518
2022/07/15,456
2022/07/16,417
2022/07/17,291
2022/07/18,141
2022/07/19,585
2022/07/20,372
2022/07/21,380
2022/07/22,317
2022/07/23,319
2022/07/24,221
2022/07/25,96
2022/07/26,503
2022/07/27,311
2022/07/28,271
2022/07/29,208
2022/07/30,198
2022/07/31,163
2022/08/01,63
2022/08/02,326
2022/08/03,167
2022/08/04,209
2022/08/05,168
2022/08/06,182
2022/08/07,123
2022/08/08,42
2022/08/09,203
2022/08/10,105
2022/08/11,129
2022/08/12,101
2022/08/13,84
2022/08/14,54
2022/08/15,25
2022/08/16,31
2022/08/17,147
2022/08/18,79
2022/08/19,85
2022/08/20,83
2022/08/21,88
2022/08/22,45
2022/08/23,171
2022/08/24,87
2022/08/25,116
2022/08/26,108
2022/08/27,90
2022/08/28,75
2022/08/29,27
2022/08/30,134
2022/08/31,77
2022/09/01,91
2022/09/02,78
2022/09/03,75
2022/09/04,56
2022/09/05,17
2022/09/06,96
2022/09/07,81
2022/09/08,102
2022/09/09,79
2022/09/10,98
2022/09/11,63
2022/09/12,44
2022/09/13,165
2022/09/14,94
2022/09/15,130
2022/09/16,116
2022/09/17,103
2022/09/18,73
2022/09/19,38
2022/09/20,218
2022/09/21,133
2022/09/22,158
2022/09/23,147
2022/09/24,141
2022/09/25,86
2022/09/26,54
2022/09/27,332
2022/09/28,216
2022/09/29,238
2022/09/30,189
2022/10/01,228
2022/10/02,168
2022/10/03,62
