Datas,La Spezia
2022/01/21,713
2022/01/22,709
2022/01/23,640
2022/01/24,252
2022/01/25,897
2022/01/26,653
2022/01/27,580
2022/01/28,573
2022/01/29,488
2022/01/30,416
2022/01/31,157
2022/02/01,496
2022/02/02,556
2022/02/03,453
2022/02/04,295
2022/02/05,256
2022/02/06,307
2022/02/07,87
2022/02/08,404
2022/02/09,258
2022/02/10,215
2022/02/11,196
2022/02/12,222
2022/02/13,167
2022/02/14,44
2022/02/15,241
2022/02/16,191
2022/02/17,156
2022/02/18,179
2022/02/19,155
2022/02/20,159
2022/02/21,96
2022/02/22,181
2022/02/23,180
2022/02/24,162
2022/02/25,239
2022/02/26,113
2022/02/27,114
2022/02/28,24
2022/03/01,169
2022/03/02,138
2022/03/03,113
2022/03/04,119
2022/03/05,141
2022/03/06,109
2022/03/07,56
2022/03/08,205
2022/03/09,148
2022/03/10,176
2022/03/11,164
2022/03/12,194
2022/03/13,206
2022/03/14,82
2022/03/15,326
2022/03/16,272
2022/03/17,300
2022/03/18,237
2022/03/19,221
2022/03/20,202
2022/03/21,88
2022/03/22,412
2022/03/23,293
2022/03/24,296
2022/03/25,284
2022/03/26,272
2022/03/27,235
2022/03/28,105
2022/03/29,436
2022/03/30,300
2022/03/31,271
2022/04/01,281
2022/04/02,278
2022/04/03,219
2022/04/04,93
2022/04/05,326
2022/04/06,252
2022/04/07,231
2022/04/08,239
2022/04/09,244
2022/04/10,263
2022/04/11,105
2022/04/12,347
2022/04/13,271
2022/04/14,271
2022/04/15,223
2022/04/16,234
2022/04/17,222
2022/04/18,82
2022/04/19,110
2022/04/20,426
2022/04/21,325
2022/04/22,310
2022/04/23,278
2022/04/24,224
2022/04/25,105
2022/04/26,124
2022/04/27,357
2022/04/28,244
2022/04/29,231
2022/04/30,198
2022/05/01,166
2022/05/02,56
2022/05/03,255
2022/05/04,187
2022/05/05,251
2022/05/06,200
2022/05/07,178
2022/05/08,140
2022/05/09,80
2022/05/10,251
2022/05/11,148
2022/05/12,169
2022/05/13,154
2022/05/14,139
2022/05/15,109
2022/05/16,62
2022/05/17,173
2022/05/18,113
2022/05/19,130
2022/05/20,102
2022/05/21,104
2022/05/22,98
2022/05/23,41
2022/05/24,126
2022/05/25,93
2022/05/26,91
2022/05/27,60
2022/05/28,78
2022/05/29,62
2022/05/30,28
2022/05/31,75
2022/06/01,77
2022/06/02,45
2022/06/03,16
2022/06/04,64
2022/06/05,71
2022/06/06,35
2022/06/07,125
2022/06/08,113
2022/06/09,106
2022/06/10,105
2022/06/11,77
2022/06/12,84
2022/06/13,30
2022/06/14,152
2022/06/15,133
2022/06/16,138
2022/06/17,149
2022/06/18,146
2022/06/19,133
2022/06/20,49
2022/06/21,275
2022/06/22,195
2022/06/23,175
2022/06/24,184
2022/06/25,188
2022/06/26,226
2022/06/27,66
2022/06/28,384
2022/06/29,292
2022/06/30,304
2022/07/01,275
2022/07/02,288
2022/07/03,263
2022/07/04,119
2022/07/05,488
2022/07/06,338
2022/07/07,334
2022/07/08,348
2022/07/09,372
2022/07/10,303
2022/07/11,121
2022/07/12,541
2022/07/13,341
2022/07/14,389
2022/07/15,311
2022/07/16,355
2022/07/17,240
2022/07/18,107
2022/07/19,504
2022/07/20,331
2022/07/21,296
2022/07/22,288
2022/07/23,272
2022/07/24,217
2022/07/25,92
2022/07/26,405
2022/07/27,249
2022/07/28,243
2022/07/29,221
2022/07/30,202
2022/07/31,175
2022/08/01,80
2022/08/02,332
2022/08/03,231
2022/08/04,201
2022/08/05,174
2022/08/06,156
2022/08/07,138
2022/08/08,59
2022/08/09,243
2022/08/10,153
2022/08/11,167
2022/08/12,137
2022/08/13,151
2022/08/14,125
2022/08/15,35
2022/08/16,49
2022/08/17,222
2022/08/18,126
2022/08/19,110
2022/08/20,126
2022/08/21,96
2022/08/22,50
2022/08/23,153
2022/08/24,91
2022/08/25,92
2022/08/26,88
2022/08/27,72
2022/08/28,83
2022/08/29,30
2022/08/30,148
2022/08/31,102
2022/09/01,104
2022/09/02,78
2022/09/03,69
2022/09/04,59
2022/09/05,28
2022/09/06,110
2022/09/07,70
2022/09/08,79
2022/09/09,48
2022/09/10,67
2022/09/11,49
2022/09/12,20
2022/09/13,103
