Datas,Rovigo
2021/12/25,223
2021/12/26,76
2021/12/27,124
2021/12/28,333
2021/12/29,399
2021/12/30,422
2021/12/31,503
2022/01/01,459
2022/01/02,212
2022/01/03,353
2022/01/04,860
2022/01/05,863
2022/01/06,936
2022/01/07,468
2022/01/08,1164
2022/01/09,793
2022/01/10,345
2022/01/11,1186
2022/01/12,997
2022/01/13,1069
2022/01/14,1022
2022/01/15,941
2022/01/16,677
2022/01/17,420
2022/01/18,1241
2022/01/19,1048
2022/01/20,998
2022/01/21,830
2022/01/22,801
2022/01/23,725
2022/01/24,330
2022/01/25,2058
2022/01/26,816
2022/01/27,698
2022/01/28,745
2022/01/29,639
2022/01/30,417
2022/01/31,256
2022/02/01,718
2022/02/02,555
2022/02/03,501
2022/02/04,398
2022/02/05,379
2022/02/06,308
2022/02/07,128
2022/02/08,504
2022/02/09,296
2022/02/10,236
2022/02/11,211
2022/02/12,276
2022/02/13,173
2022/02/14,107
2022/02/15,285
2022/02/16,223
2022/02/17,275
2022/02/18,212
2022/02/19,214
2022/02/20,154
2022/02/21,96
2022/02/22,296
2022/02/23,222
2022/02/24,195
2022/02/25,165
2022/02/26,159
2022/02/27,95
2022/02/28,78
2022/03/01,167
2022/03/02,160
2022/03/03,163
2022/03/04,149
2022/03/05,111
2022/03/06,126
2022/03/07,64
2022/03/08,196
2022/03/09,149
2022/03/10,187
2022/03/11,187
2022/03/12,210
2022/03/13,149
2022/03/14,82
2022/03/15,326
2022/03/16,270
2022/03/17,299
2022/03/18,283
2022/03/19,284
2022/03/20,199
2022/03/21,90
2022/03/22,405
2022/03/23,339
2022/03/24,352
2022/03/25,381
2022/03/26,339
2022/03/27,226
2022/03/28,129
2022/03/29,478
2022/03/30,370
2022/03/31,353
2022/04/01,352
2022/04/02,332
2022/04/03,252
2022/04/04,139
2022/04/05,437
2022/04/06,355
2022/04/07,348
2022/04/08,377
2022/04/09,324
2022/04/10,260
2022/04/11,115
2022/04/12,414
2022/04/13,318
2022/04/14,286
2022/04/15,284
2022/04/16,262
2022/04/17,203
2022/04/18,86
2022/04/19,149
2022/04/20,397
2022/04/21,266
2022/04/22,318
2022/04/23,314
2022/04/24,215
2022/04/25,132
2022/04/26,136
2022/04/27,360
2022/04/28,287
2022/04/29,282
2022/04/30,229
2022/05/01,186
2022/05/02,73
2022/05/03,267
2022/05/04,212
2022/05/05,214
2022/05/06,220
2022/05/07,193
2022/05/08,150
2022/05/09,59
2022/05/10,266
2022/05/11,181
2022/05/12,163
2022/05/13,164
2022/05/14,159
2022/05/15,90
2022/05/16,51
2022/05/17,178
2022/05/18,112
2022/05/19,96
2022/05/20,109
2022/05/21,81
2022/05/22,86
2022/05/23,32
2022/05/24,104
2022/05/25,55
2022/05/26,67
2022/05/27,52
2022/05/28,50
2022/05/29,48
2022/05/30,21
2022/05/31,67
2022/06/01,55
2022/06/02,67
2022/06/03,26
2022/06/04,83
2022/06/05,52
2022/06/06,23
2022/06/07,109
2022/06/08,73
2022/06/09,76
2022/06/10,86
2022/06/11,61
2022/06/12,51
2022/06/13,44
2022/06/14,131
2022/06/15,115
2022/06/16,119
2022/06/17,150
2022/06/18,136
2022/06/19,125
2022/06/20,58
2022/06/21,239
2022/06/22,205
2022/06/23,267
2022/06/24,283
2022/06/25,250
2022/06/26,198
2022/06/27,95
2022/06/28,418
2022/06/29,421
2022/06/30,372
2022/07/01,360
2022/07/02,362
2022/07/03,280
2022/07/04,125
2022/07/05,545
2022/07/06,483
2022/07/07,479
2022/07/08,418
2022/07/09,395
2022/07/10,286
2022/07/11,144
2022/07/12,604
2022/07/13,461
2022/07/14,454
2022/07/15,429
2022/07/16,385
2022/07/17,275
2022/07/18,150
2022/07/19,553
2022/07/20,503
2022/07/21,394
2022/07/22,411
2022/07/23,387
2022/07/24,224
2022/07/25,103
2022/07/26,472
2022/07/27,434
2022/07/28,378
2022/07/29,336
2022/07/30,338
2022/07/31,206
2022/08/01,104
2022/08/02,402
2022/08/03,291
2022/08/04,270
2022/08/05,210
2022/08/06,226
2022/08/07,144
2022/08/08,68
2022/08/09,304
2022/08/10,233
2022/08/11,186
2022/08/12,159
2022/08/13,174
2022/08/14,115
2022/08/15,68
2022/08/16,65
2022/08/17,252
2022/08/18,188
2022/08/19,151
2022/08/20,168
2022/08/21,108
2022/08/22,62
2022/08/23,222
2022/08/24,151
2022/08/25,125
2022/08/26,104
2022/08/27,122
2022/08/28,80
2022/08/29,40
2022/08/30,142
2022/08/31,94
2022/09/01,90
2022/09/02,85
2022/09/03,76
2022/09/04,65
2022/09/05,24
2022/09/06,131
2022/09/07,95
2022/09/08,86
2022/09/09,77
2022/09/10,65
2022/09/11,37
2022/09/12,30
2022/09/13,102
2022/09/14,82
2022/09/15,91
2022/09/16,83
2022/09/17,83
2022/09/18,61
2022/09/19,37
2022/09/20,131
2022/09/21,108
