Datas,Campobasso
2022/01/23,279
2022/01/24,110
2022/01/25,229
2022/01/26,305
2022/01/27,334
2022/01/28,276
2022/01/29,268
2022/01/30,238
2022/01/31,136
2022/02/01,295
2022/02/02,374
2022/02/03,291
2022/02/04,297
2022/02/05,324
2022/02/06,269
2022/02/07,150
2022/02/08,276
2022/02/09,391
2022/02/10,361
2022/02/11,280
2022/02/12,272
2022/02/13,339
2022/02/14,112
2022/02/15,258
2022/02/16,350
2022/02/17,268
2022/02/18,227
2022/02/19,127
2022/02/20,303
2022/02/21,97
2022/02/22,211
2022/02/23,182
2022/02/24,227
2022/02/25,172
2022/02/26,209
2022/02/27,219
2022/02/28,100
2022/03/01,165
2022/03/02,221
2022/03/03,182
2022/03/04,256
2022/03/05,244
2022/03/06,222
2022/03/07,101
2022/03/08,177
2022/03/09,231
2022/03/10,221
2022/03/11,214
2022/03/12,177
2022/03/13,258
2022/03/14,181
2022/03/15,225
2022/03/16,341
2022/03/17,246
2022/03/18,330
2022/03/19,317
2022/03/20,328
2022/03/21,128
2022/03/22,222
2022/03/23,369
2022/03/24,356
2022/03/25,348
2022/03/26,281
2022/03/27,309
2022/03/28,120
2022/03/29,275
2022/03/30,363
2022/03/31,321
2022/04/01,254
2022/04/02,386
2022/04/03,261
2022/04/04,118
2022/04/05,293
2022/04/06,327
2022/04/07,343
2022/04/08,290
2022/04/09,141
2022/04/10,316
2022/04/11,144
2022/04/12,242
2022/04/13,294
2022/04/14,270
2022/04/15,251
2022/04/16,258
2022/04/17,273
2022/04/18,82
2022/04/19,170
2022/04/20,243
2022/04/21,366
2022/04/22,325
2022/04/23,375
2022/04/24,336
2022/04/25,149
2022/04/26,109
2022/04/27,370
2022/04/28,381
2022/04/29,283
2022/04/30,237
2022/05/01,281
2022/05/02,150
2022/05/03,187
2022/05/04,231
2022/05/05,250
2022/05/06,238
2022/05/07,174
2022/05/08,208
2022/05/09,105
2022/05/10,191
2022/05/11,237
2022/05/12,221
2022/05/13,230
2022/05/14,166
2022/05/15,160
2022/05/16,82
2022/05/17,119
2022/05/18,151
2022/05/19,129
2022/05/20,117
2022/05/21,103
2022/05/22,100
2022/05/23,34
2022/05/24,88
2022/05/25,107
2022/05/26,45
2022/05/27,118
2022/05/28,68
2022/05/29,59
2022/05/30,40
2022/05/31,3
2022/06/01,79
2022/06/02,59
2022/06/03,45
2022/06/04,42
2022/06/05,58
2022/06/06,38
2022/06/07,55
2022/06/08,72
2022/06/09,95
2022/06/10,75
2022/06/11,82
2022/06/12,73
2022/06/13,45
2022/06/14,111
2022/06/15,108
2022/06/16,133
2022/06/17,128
2022/06/18,149
2022/06/19,145
2022/06/20,69
2022/06/21,135
2022/06/22,217
2022/06/23,215
2022/06/24,237
2022/06/25,235
2022/06/26,234
2022/06/27,116
2022/06/28,276
2022/06/29,297
2022/06/30,273
2022/07/01,321
2022/07/02,253
2022/07/03,313
2022/07/04,181
2022/07/05,340
2022/07/06,350
2022/07/07,301
2022/07/08,376
2022/07/09,323
2022/07/10,340
2022/07/11,114
2022/07/12,302
2022/07/13,426
2022/07/14,373
2022/07/15,308
2022/07/16,268
2022/07/17,314
2022/07/18,148
