Datas,Pavia
2022/06/23,495
2022/06/24,446
2022/06/25,470
2022/06/26,400
2022/06/27,227
2022/06/28,89
2022/06/29,1544
2022/06/30,738
2022/07/01,672
2022/07/02,688
2022/07/03,551
2022/07/04,253
2022/07/05,1082
2022/07/06,755
2022/07/07,796
2022/07/08,755
2022/07/09,823
2022/07/10,608
2022/07/11,269
2022/07/12,1206
2022/07/13,873
2022/07/14,836
2022/07/15,747
2022/07/16,720
2022/07/17,558
2022/07/18,242
2022/07/19,1042
2022/07/20,742
2022/07/21,669
2022/07/22,615
2022/07/23,616
2022/07/24,400
2022/07/25,180
2022/07/26,852
2022/07/27,545
2022/07/28,527
2022/07/29,453
2022/07/30,417
2022/07/31,310
2022/08/01,135
2022/08/02,578
2022/08/03,342
2022/08/04,335
2022/08/05,312
2022/08/06,271
2022/08/07,207
2022/08/08,86
2022/08/09,362
2022/08/10,220
2022/08/11,207
2022/08/12,195
2022/08/13,170
2022/08/14,151
2022/08/15,51
2022/08/16,49
2022/08/17,271
2022/08/18,175
2022/08/19,150
2022/08/20,187
2022/08/21,132
2022/08/22,63
2022/08/23,290
2022/08/24,197
2022/08/25,168
2022/08/26,201
2022/08/27,181
2022/08/28,162
2022/08/29,55
2022/08/30,278
2022/08/31,187
2022/09/01,181
2022/09/02,160
2022/09/03,145
2022/09/04,107
2022/09/05,48
2022/09/06,203
2022/09/07,150
2022/09/08,148
2022/09/09,156
2022/09/10,135
2022/09/11,95
2022/09/12,76
2022/09/13,252
2022/09/14,158
2022/09/15,166
2022/09/16,149
2022/09/17,163
2022/09/18,6
2022/09/19,127
2022/09/20,259
2022/09/21,157
2022/09/22,192
2022/09/23,192
2022/09/24,194
2022/09/25,138
2022/09/26,80
2022/09/27,393
2022/09/28,296
2022/09/29,328
2022/09/30,300
2022/10/01,296
2022/10/02,244
2022/10/03,115
