Datas,Bologna
2022/09/06,254
2022/09/07,259
2022/09/08,260
2022/09/09,234
2022/09/10,196
2022/09/11,204
2022/09/12,127
2022/09/13,0
2022/09/14,523
2022/09/15,207
2022/09/16,212
2022/09/17,246
2022/09/18,179
2022/09/19,121
2022/09/20,203
2022/09/21,251
2022/09/22,281
2022/09/23,270
2022/09/24,282
2022/09/25,308
2022/09/26,164
2022/09/27,504
2022/09/28,535
2022/09/29,642
2022/09/30,566
2022/10/01,563
2022/10/02,505
2022/10/03,291
