Datas,Lecce
2022/06/09,289
2022/06/10,249
2022/06/11,267
2022/06/12,206
2022/06/13,151
2022/06/14,571
2022/06/15,397
2022/06/16,392
2022/06/17,449
2022/06/18,478
2022/06/19,361
2022/06/20,278
2022/06/21,736
2022/06/22,680
2022/06/23,738
2022/06/24,612
2022/06/25,704
2022/06/26,655
2022/06/27,401
2022/06/28,1562
2022/06/29,1505
2022/06/30,1109
2022/07/01,1635
2022/07/02,1531
2022/07/03,1328
2022/07/04,977
2022/07/05,2742
2022/07/06,2000
2022/07/07,1989
2022/07/08,2038
2022/07/09,1850
2022/07/10,1507
2022/07/11,747
2022/07/12,3087
2022/07/13,1859
2022/07/14,1776
2022/07/15,1771
2022/07/16,1292
2022/07/17,1109
2022/07/18,425
2022/07/19,2070
2022/07/20,1258
2022/07/21,1235
2022/07/22,1129
2022/07/23,1041
2022/07/24,687
2022/07/25,381
2022/07/26,1554
2022/07/27,902
2022/07/28,1040
2022/07/29,816
2022/07/30,885
2022/07/31,646
2022/08/01,297
2022/08/02,1253
2022/08/03,787
2022/08/04,760
2022/08/05,689
2022/08/06,604
2022/08/07,452
2022/08/08,254
2022/08/09,874
2022/08/10,567
2022/08/11,564
2022/08/12,481
2022/08/13,495
2022/08/14,374
2022/08/15,206
2022/08/16,154
2022/08/17,769
2022/08/18,486
2022/08/19,460
2022/08/20,429
2022/08/21,379
2022/08/22,297
2022/08/23,643
2022/08/24,490
2022/08/25,452
2022/08/26,353
2022/08/27,358
2022/08/28,242
2022/08/29,120
2022/08/30,530
2022/08/31,325
2022/09/01,271
2022/09/02,239
2022/09/03,289
2022/09/04,138
2022/09/05,109
2022/09/06,340
2022/09/07,253
2022/09/08,239
2022/09/09,193
2022/09/10,235
2022/09/11,162
2022/09/12,57
2022/09/13,302
2022/09/14,180
2022/09/15,179
2022/09/16,147
2022/09/17,154
2022/09/18,156
2022/09/19,77
2022/09/20,298
2022/09/21,177
2022/09/22,204
2022/09/23,189
2022/09/24,189
2022/09/25,162
2022/09/26,99
2022/09/27,371
2022/09/28,312
2022/09/29,340
2022/09/30,321
2022/10/01,352
2022/10/02,267
2022/10/03,118
