Datas,Grosseto
2022/06/17,108
2022/06/18,77
2022/06/19,79
2022/06/20,38
2022/06/21,186
2022/06/22,147
2022/06/23,162
2022/06/24,172
2022/06/25,210
2022/06/26,114
2022/06/27,83
2022/06/28,318
2022/06/29,221
2022/06/30,228
2022/07/01,246
2022/07/02,219
2022/07/03,209
2022/07/04,67
2022/07/05,367
2022/07/06,269
2022/07/07,323
2022/07/08,267
2022/07/09,307
2022/07/10,236
2022/07/11,86
2022/07/12,484
2022/07/13,349
2022/07/14,300
2022/07/15,308
2022/07/16,286
2022/07/17,248
2022/07/18,63
2022/07/19,411
2022/07/20,295
2022/07/21,337
2022/07/22,237
2022/07/23,257
2022/07/24,214
2022/07/25,70
2022/07/26,346
2022/07/27,210
2022/07/28,193
2022/07/29,203
2022/07/30,197
2022/07/31,165
2022/08/01,56
2022/08/02,274
2022/08/03,178
2022/08/04,159
2022/08/05,113
2022/08/06,140
2022/08/07,90
2022/08/08,33
2022/08/09,166
2022/08/10,99
2022/08/11,92
2022/08/12,97
2022/08/13,92
2022/08/14,79
2022/08/15,38
2022/08/16,18
2022/08/17,139
2022/08/18,105
2022/08/19,108
2022/08/20,105
2022/08/21,66
2022/08/22,23
2022/08/23,136
2022/08/24,95
2022/08/25,57
2022/08/26,68
2022/08/27,98
2022/08/28,67
2022/08/29,23
2022/08/30,122
2022/08/31,67
2022/09/01,73
2022/09/02,56
2022/09/03,46
2022/09/04,41
2022/09/05,17
2022/09/06,110
2022/09/07,83
2022/09/08,67
2022/09/09,77
2022/09/10,66
2022/09/11,62
2022/09/12,23
2022/09/13,101
2022/09/14,66
2022/09/15,82
2022/09/16,64
2022/09/17,71
2022/09/18,52
2022/09/19,15
2022/09/20,81
2022/09/21,51
2022/09/22,65
2022/09/23,75
2022/09/24,68
2022/09/25,50
2022/09/26,23
2022/09/27,123
2022/09/28,93
2022/09/29,118
2022/09/30,119
2022/10/01,111
2022/10/02,85
2022/10/03,54
