Datas,Barletta-Andria-Trani
2022/09/07,41
2022/09/08,50
2022/09/09,34
2022/09/10,42
2022/09/11,37
2022/09/12,27
2022/09/13,57
2022/09/14,50
2022/09/15,37
2022/09/16,41
2022/09/17,36
2022/09/18,23
2022/09/19,22
2022/09/20,46
2022/09/21,53
2022/09/22,42
2022/09/23,51
2022/09/24,40
2022/09/25,30
2022/09/26,28
2022/09/27,100
2022/09/28,67
2022/09/29,58
2022/09/30,75
2022/10/01,64
2022/10/02,40
2022/10/03,23
