Datas,Genova
2022/01/20,3858
2022/01/21,3457
2022/01/22,3256
2022/01/23,2447
2022/01/24,1297
2022/01/25,4041
2022/01/26,3058
2022/01/27,2932
2022/01/28,2471
2022/01/29,2547
2022/01/30,1505
2022/01/31,950
2022/02/01,2300
2022/02/02,1923
2022/02/03,1500
2022/02/04,1851
2022/02/05,1270
2022/02/06,942
2022/02/07,552
2022/02/08,1637
2022/02/09,1008
2022/02/10,1161
2022/02/11,902
2022/02/12,855
2022/02/13,667
2022/02/14,311
2022/02/15,1008
2022/02/16,655
2022/02/17,686
2022/02/18,696
2022/02/19,719
2022/02/20,475
2022/02/21,313
2022/02/22,998
2022/02/23,640
2022/02/24,722
2022/02/25,557
2022/02/26,591
2022/02/27,453
2022/02/28,213
2022/03/01,764
2022/03/02,565
2022/03/03,648
2022/03/04,537
2022/03/05,643
2022/03/06,466
2022/03/07,322
2022/03/08,875
2022/03/09,724
2022/03/10,729
2022/03/11,704
2022/03/12,768
2022/03/13,536
2022/03/14,286
2022/03/15,1110
2022/03/16,837
2022/03/17,933
2022/03/18,833
2022/03/19,888
2022/03/20,605
2022/03/21,308
2022/03/22,1192
2022/03/23,811
2022/03/24,780
2022/03/25,803
2022/03/26,793
2022/03/27,569
2022/03/28,370
2022/03/29,1206
2022/03/30,765
2022/03/31,801
2022/04/01,782
2022/04/02,835
2022/04/03,507
2022/04/04,273
2022/04/05,1149
2022/04/06,828
2022/04/07,877
2022/04/08,830
2022/04/09,824
2022/04/10,594
2022/04/11,307
2022/04/12,1345
2022/04/13,823
2022/04/14,866
2022/04/15,826
2022/04/16,844
2022/04/17,627
2022/04/18,231
2022/04/19,365
2022/04/20,1423
2022/04/21,982
2022/04/22,940
2022/04/23,815
2022/04/24,532
2022/04/25,253
2022/04/26,362
2022/04/27,1087
2022/04/28,705
2022/04/29,676
2022/04/30,676
2022/05/01,422
2022/05/02,188
2022/05/03,899
2022/05/04,561
2022/05/05,657
2022/05/06,583
2022/05/07,548
2022/05/08,442
2022/05/09,171
2022/05/10,818
2022/05/11,542
2022/05/12,501
2022/05/13,466
2022/05/14,464
2022/05/15,288
2022/05/16,132
2022/05/17,594
2022/05/18,367
2022/05/19,433
2022/05/20,305
2022/05/21,358
2022/05/22,199
2022/05/23,96
2022/05/24,414
2022/05/25,281
2022/05/26,296
2022/05/27,269
2022/05/28,248
2022/05/29,165
2022/05/30,58
2022/05/31,325
2022/06/01,241
2022/06/02,213
2022/06/03,50
2022/06/04,321
2022/06/05,178
2022/06/06,90
2022/06/07,415
2022/06/08,324
2022/06/09,317
2022/06/10,289
2022/06/11,302
2022/06/12,201
2022/06/13,116
2022/06/14,592
2022/06/15,515
2022/06/16,505
2022/06/17,511
2022/06/18,629
2022/06/19,378
2022/06/20,215
2022/06/21,999
2022/06/22,667
2022/06/23,752
2022/06/24,739
2022/06/25,449
2022/06/26,589
2022/06/27,275
2022/06/28,1501
2022/06/29,923
2022/06/30,1010
2022/07/01,969
2022/07/02,1087
2022/07/03,761
2022/07/04,355
2022/07/05,1800
2022/07/06,1268
2022/07/07,1297
2022/07/08,1194
2022/07/09,1195
2022/07/10,882
2022/07/11,425
2022/07/12,2065
2022/07/13,1334
2022/07/14,1236
2022/07/15,1118
2022/07/16,1197
2022/07/17,847
2022/07/18,309
2022/07/19,1631
2022/07/20,1083
2022/07/21,1022
2022/07/22,843
2022/07/23,900
2022/07/24,626
2022/07/25,308
2022/07/26,1237
2022/07/27,841
2022/07/28,766
2022/07/29,709
2022/07/30,750
2022/07/31,459
2022/08/01,213
2022/08/02,975
2022/08/03,579
2022/08/04,595
2022/08/05,538
2022/08/06,533
2022/08/07,322
2022/08/08,145
2022/08/09,688
2022/08/10,419
2022/08/11,391
2022/08/12,357
2022/08/13,374
2022/08/14,269
2022/08/15,109
2022/08/16,124
2022/08/17,462
2022/08/18,391
2022/08/19,272
2022/08/20,378
2022/08/21,222
2022/08/22,96
2022/08/23,515
2022/08/24,334
2022/08/25,297
2022/08/26,277
2022/08/27,314
2022/08/28,202
2022/08/29,101
2022/08/30,478
2022/08/31,251
2022/09/01,253
2022/09/02,253
2022/09/03,246
2022/09/04,153
2022/09/05,75
2022/09/06,332
2022/09/07,261
2022/09/08,239
2022/09/09,230
2022/09/10,274
2022/09/11,184
2022/09/12,85
2022/09/13,379
2022/09/14,254
2022/09/15,275
2022/09/16,244
2022/09/17,234
2022/09/18,166
2022/09/19,72
2022/09/20,402
2022/09/21,243
2022/09/22,293
2022/09/23,265
2022/09/24,279
2022/09/25,211
2022/09/26,120
2022/09/27,611
2022/09/28,458
2022/09/29,438
2022/09/30,404
2022/10/01,411
2022/10/02,328
2022/10/03,161
