Datas,Rimini
2022/02/04,797
2022/02/05,795
2022/02/06,746
2022/02/07,583
2022/02/08,414
2022/02/09,654
2022/02/10,464
2022/02/11,439
2022/02/12,380
2022/02/13,372
2022/02/14,227
2022/02/15,303
2022/02/16,340
2022/02/17,288
2022/02/18,299
2022/02/19,246
2022/02/20,283
2022/02/21,237
2022/02/22,179
2022/02/23,235
2022/02/24,261
2022/02/25,199
2022/02/26,189
2022/02/27,157
2022/02/28,118
2022/03/01,144
2022/03/02,201
2022/03/03,142
2022/03/04,176
2022/03/05,155
2022/03/06,178
2022/03/07,180
2022/03/08,149
2022/03/09,178
2022/03/10,189
2022/03/11,184
2022/03/12,211
2022/03/13,201
2022/03/14,114
2022/03/15,177
2022/03/16,292
2022/03/17,292
2022/03/18,251
2022/03/19,240
2022/03/20,289
2022/03/21,171
2022/03/22,207
2022/03/23,299
2022/03/24,279
2022/03/25,342
2022/03/26,267
2022/03/27,270
2022/03/28,240
2022/03/29,196
2022/03/30,370
2022/03/31,328
2022/04/01,360
2022/04/02,293
2022/04/03,376
2022/04/04,179
2022/04/05,264
2022/04/06,300
2022/04/07,375
2022/04/08,357
2022/04/09,335
2022/04/10,320
2022/04/11,215
2022/04/12,268
2022/04/13,326
2022/04/14,383
2022/04/15,356
2022/04/16,321
2022/04/17,342
2022/04/18,191
2022/04/19,103
2022/04/20,256
2022/04/21,383
2022/04/22,395
2022/04/23,386
2022/04/24,334
2022/04/25,192
2022/04/26,215
2022/04/27,299
2022/04/28,352
2022/04/29,307
2022/04/30,290
2022/05/01,268
2022/05/02,142
2022/05/03,219
2022/05/04,256
2022/05/05,273
2022/05/06,216
2022/05/07,187
2022/05/08,223
2022/05/09,118
2022/05/10,140
2022/05/11,240
2022/05/12,245
2022/05/13,228
2022/05/14,229
2022/05/15,189
2022/05/16,125
2022/05/17,163
2022/05/18,155
2022/05/19,175
2022/05/20,158
2022/05/21,111
2022/05/22,105
2022/05/23,92
2022/05/24,72
2022/05/25,137
2022/05/26,133
2022/05/27,115
2022/05/28,89
2022/05/29,98
2022/05/30,42
2022/05/31,77
2022/06/01,108
2022/06/02,-2
2022/06/03,213
2022/06/04,70
2022/06/05,108
2022/06/06,45
2022/06/07,103
2022/06/08,135
2022/06/09,119
2022/06/10,128
2022/06/11,132
2022/06/12,166
2022/06/13,117
2022/06/14,180
2022/06/15,277
2022/06/16,304
2022/06/17,311
2022/06/18,296
2022/06/19,301
2022/06/20,216
2022/06/21,264
2022/06/22,470
2022/06/23,419
2022/06/24,506
2022/06/25,491
2022/06/26,536
2022/06/27,323
2022/06/28,459
2022/06/29,668
2022/06/30,618
2022/07/01,610
2022/07/02,578
2022/07/03,561
2022/07/04,414
2022/07/05,634
2022/07/06,780
2022/07/07,801
2022/07/08,712
2022/07/09,692
2022/07/10,651
2022/07/11,473
2022/07/12,652
2022/07/13,798
2022/07/14,792
2022/07/15,709
2022/07/16,625
2022/07/17,579
2022/07/18,393
2022/07/19,514
2022/07/20,659
2022/07/21,605
2022/07/22,448
2022/07/23,513
2022/07/24,369
2022/07/25,238
2022/07/26,349
2022/07/27,452
2022/07/28,345
2022/07/29,394
2022/07/30,285
2022/07/31,305
2022/08/01,181
2022/08/02,240
2022/08/03,321
2022/08/04,328
2022/08/05,265
2022/08/06,226
2022/08/07,197
2022/08/08,123
2022/08/09,-2
2022/08/10,409
2022/08/11,198
2022/08/12,174
2022/08/13,140
2022/08/14,146
2022/08/15,71
2022/08/16,66
2022/08/17,132
2022/08/18,181
2022/08/19,143
2022/08/20,164
2022/08/21,123
2022/08/22,98
2022/08/23,128
2022/08/24,129
2022/08/25,132
2022/08/26,125
2022/08/27,116
2022/08/28,127
2022/08/29,74
2022/08/30,109
2022/08/31,123
2022/09/01,118
2022/09/02,143
2022/09/03,94
2022/09/04,103
2022/09/05,34
2022/09/06,126
2022/09/07,131
2022/09/08,128
2022/09/09,121
2022/09/10,95
2022/09/11,122
2022/09/12,70
2022/09/13,0
2022/09/14,233
2022/09/15,145
2022/09/16,100
2022/09/17,113
2022/09/18,82
2022/09/19,50
2022/09/20,85
2022/09/21,132
2022/09/22,142
2022/09/23,139
2022/09/24,135
2022/09/25,148
2022/09/26,87
2022/09/27,217
2022/09/28,277
2022/09/29,235
2022/09/30,275
2022/10/01,275
2022/10/02,241
2022/10/03,166
