Datas,Crotone
2022/01/31,255
2022/02/01,105
2022/02/02,370
2022/02/03,392
2022/02/04,157
2022/02/05,263
2022/02/06,75
2022/02/07,157
2022/02/08,318
2022/02/09,276
2022/02/10,232
2022/02/11,204
2022/02/12,220
2022/02/13,71
2022/02/14,151
2022/02/15,364
2022/02/16,239
2022/02/17,209
2022/02/18,108
2022/02/19,243
2022/02/20,99
2022/02/21,247
2022/02/22,313
2022/02/23,160
2022/02/24,172
2022/02/25,173
2022/02/26,22
2022/02/27,10
2022/02/28,282
2022/03/01,263
2022/03/02,159
2022/03/03,161
2022/03/04,193
2022/03/05,198
2022/03/06,20
2022/03/07,234
2022/03/08,163
2022/03/09,428
2022/03/10,254
2022/03/11,279
2022/03/12,318
2022/03/13,37
2022/03/14,268
2022/03/15,591
2022/03/16,286
2022/03/17,475
2022/03/18,334
2022/03/19,344
2022/03/20,37
2022/03/21,340
2022/03/22,536
2022/03/23,396
2022/03/24,374
2022/03/25,325
2022/03/26,322
2022/03/27,103
2022/03/28,240
2022/03/29,517
2022/03/30,298
2022/03/31,221
2022/04/01,338
2022/04/02,37
2022/04/03,18
2022/04/04,551
2022/04/05,291
2022/04/06,238
2022/04/07,206
2022/04/08,213
2022/04/09,177
2022/04/10,13
2022/04/11,222
2022/04/12,259
2022/04/13,177
2022/04/14,189
2022/04/15,152
2022/04/16,212
2022/04/17,3
2022/04/18,197
2022/04/19,60
2022/04/20,395
2022/04/21,281
2022/04/22,227
2022/04/23,88
2022/04/24,213
2022/04/25,142
2022/04/26,205
2022/04/27,373
2022/04/28,255
2022/04/29,178
2022/04/30,133
2022/05/01,44
2022/05/02,165
2022/05/03,298
2022/05/04,185
2022/05/05,191
2022/05/06,168
2022/05/07,150
2022/05/08,1
2022/05/09,187
2022/05/10,223
2022/05/11,189
2022/05/12,35
2022/05/13,255
2022/05/14,136
2022/05/15,10
2022/05/16,23
2022/05/17,342
2022/05/18,177
2022/05/19,163
2022/05/20,142
2022/05/21,131
2022/05/22,1
2022/05/23,150
2022/05/24,184
2022/05/25,117
2022/05/26,13
2022/05/27,75
2022/05/28,89
2022/05/29,80
2022/05/30,98
2022/05/31,132
2022/06/01,83
2022/06/02,19
2022/06/03,73
2022/06/04,87
2022/06/05,1
2022/06/06,81
2022/06/07,65
2022/06/08,55
2022/06/09,53
2022/06/10,53
2022/06/11,56
2022/06/12,3
2022/06/13,42
2022/06/14,76
2022/06/15,68
2022/06/16,52
2022/06/17,63
2022/06/18,66
2022/06/19,3
2022/06/20,70
2022/06/21,35
2022/06/22,149
2022/06/23,89
2022/06/24,96
2022/06/25,92
2022/06/26,14
2022/06/27,89
2022/06/28,183
2022/06/29,131
2022/06/30,138
2022/07/01,139
2022/07/02,170
2022/07/03,4
2022/07/04,173
2022/07/05,200
2022/07/06,197
2022/07/07,142
2022/07/08,188
2022/07/09,198
2022/07/10,20
2022/07/11,271
2022/07/12,406
2022/07/13,273
2022/07/14,233
2022/07/15,270
2022/07/16,47
2022/07/17,3
2022/07/18,419
2022/07/19,395
2022/07/20,253
2022/07/21,219
2022/07/22,239
2022/07/23,65
2022/07/24,14
2022/07/25,449
2022/07/26,344
2022/07/27,234
2022/07/28,234
2022/07/29,183
2022/07/30,40
2022/07/31,3
2022/08/01,216
2022/08/02,279
2022/08/03,250
2022/08/04,232
2022/08/05,152
2022/08/06,193
2022/08/07,5
2022/08/08,93
2022/08/09,244
2022/08/10,265
2022/08/11,181
2022/08/12,131
2022/08/13,185
2022/08/14,4
2022/08/15,3
2022/08/16,107
2022/08/17,230
2022/08/18,299
2022/08/19,190
2022/08/20,146
2022/08/21,8
2022/08/22,215
2022/08/23,198
2022/08/24,216
2022/08/25,202
2022/08/26,191
2022/08/27,12
2022/08/28,17
2022/08/29,182
2022/08/30,268
2022/08/31,154
2022/09/01,102
2022/09/02,99
2022/09/03,109
2022/09/04,82
2022/09/05,5
2022/09/06,120
2022/09/07,89
2022/09/08,61
2022/09/09,33
2022/09/10,51
2022/09/11,2
2022/09/12,0
2022/09/13,66
2022/09/14,35
2022/09/15,85
2022/09/16,65
2022/09/17,41
2022/09/18,2
2022/09/19,0
2022/09/20,62
2022/09/21,70
2022/09/22,61
2022/09/23,57
2022/09/24,37
2022/09/25,7
2022/09/26,1
2022/09/27,99
2022/09/28,86
2022/09/29,46
2022/09/30,49
2022/10/01,44
2022/10/02,3
2022/10/03,0
