Datas,Asti
2022/06/06,27
2022/06/07,43
2022/06/08,48
2022/06/09,39
2022/06/10,14
2022/06/11,35
2022/06/12,34
2022/06/13,17
2022/06/14,49
2022/06/15,36
2022/06/16,64
2022/06/17,30
2022/06/18,47
2022/06/19,47
2022/06/20,29
2022/06/21,73
2022/06/22,86
2022/06/23,82
2022/06/24,92
2022/06/25,109
2022/06/26,62
2022/06/27,57
2022/06/28,172
2022/06/29,117
2022/06/30,153
2022/07/01,172
2022/07/02,79
2022/07/03,152
2022/07/04,86
2022/07/05,246
2022/07/06,234
2022/07/07,188
2022/07/08,233
2022/07/09,217
2022/07/10,173
2022/07/11,80
2022/07/12,338
2022/07/13,239
2022/07/14,271
2022/07/15,251
2022/07/16,227
2022/07/17,169
2022/07/18,95
2022/07/19,280
2022/07/20,223
2022/07/21,216
2022/07/22,180
2022/07/23,218
2022/07/24,157
2022/07/25,76
2022/07/26,272
2022/07/27,203
2022/07/28,189
2022/07/29,195
2022/07/30,132
2022/07/31,135
2022/08/01,90
2022/08/02,214
2022/08/03,140
2022/08/04,152
2022/08/05,127
2022/08/06,100
2022/08/07,73
2022/08/08,58
2022/08/09,131
2022/08/10,74
2022/08/11,79
2022/08/12,111
2022/08/13,72
2022/08/14,36
2022/08/15,24
2022/08/16,39
2022/08/17,111
2022/08/18,63
2022/08/19,70
2022/08/20,55
2022/08/21,46
2022/08/22,31
2022/08/23,106
2022/08/24,70
2022/08/25,56
2022/08/26,53
2022/08/27,50
2022/08/28,44
2022/08/29,32
2022/08/30,91
2022/08/31,73
2022/09/01,42
2022/09/02,74
2022/09/03,47
2022/09/04,44
2022/09/05,19
2022/09/06,86
2022/09/07,36
2022/09/08,96
2022/09/09,41
2022/09/10,52
2022/09/11,41
2022/09/12,37
2022/09/13,87
2022/09/14,67
2022/09/15,71
2022/09/16,84
2022/09/17,74
2022/09/18,57
2022/09/19,52
2022/09/20,139
2022/09/21,88
2022/09/22,93
2022/09/23,89
2022/09/24,111
2022/09/25,74
2022/09/26,66
2022/09/27,198
2022/09/28,181
2022/09/29,212
2022/09/30,164
2022/10/01,123
2022/10/02,102
2022/10/03,73
