Datas,Venezia
2022/04/09,1228
2022/04/10,891
2022/04/11,315
2022/04/12,1582
2022/04/13,1283
2022/04/14,1184
2022/04/15,1116
2022/04/16,1127
2022/04/17,739
2022/04/18,361
2022/04/19,339
2022/04/20,1692
2022/04/21,1315
2022/04/22,1196
2022/04/23,1228
2022/04/24,811
2022/04/25,411
2022/04/26,409
2022/04/27,1533
2022/04/28,1250
2022/04/29,1025
2022/04/30,938
2022/05/01,651
2022/05/02,120
2022/05/03,1159
2022/05/04,860
2022/05/05,776
2022/05/06,711
2022/05/07,686
2022/05/08,445
2022/05/09,284
2022/05/10,863
2022/05/11,652
2022/05/12,673
2022/05/13,605
2022/05/14,574
2022/05/15,361
2022/05/16,139
2022/05/17,626
2022/05/18,397
2022/05/19,399
2022/05/20,357
2022/05/21,355
2022/05/22,192
2022/05/23,121
2022/05/24,366
2022/05/25,304
2022/05/26,258
2022/05/27,236
2022/05/28,196
2022/05/29,154
2022/05/30,91
2022/05/31,273
2022/06/01,249
2022/06/02,323
2022/06/03,94
2022/06/04,353
2022/06/05,190
2022/06/06,113
2022/06/07,399
2022/06/08,354
2022/06/09,342
2022/06/10,381
2022/06/11,359
2022/06/12,300
2022/06/13,102
2022/06/14,750
2022/06/15,640
2022/06/16,714
2022/06/17,731
2022/06/18,810
2022/06/19,606
2022/06/20,318
2022/06/21,1175
2022/06/22,1138
2022/06/23,1172
2022/06/24,1077
2022/06/25,1184
2022/06/26,755
2022/06/27,409
2022/06/28,1614
2022/06/29,1555
2022/06/30,1535
2022/07/01,1366
2022/07/02,1584
2022/07/03,973
2022/07/04,392
2022/07/05,2051
2022/07/06,1962
2022/07/07,1734
2022/07/08,1652
2022/07/09,1606
2022/07/10,1188
2022/07/11,401
2022/07/12,2417
2022/07/13,1972
2022/07/14,1784
2022/07/15,1630
2022/07/16,1628
2022/07/17,1090
2022/07/18,320
2022/07/19,2186
2022/07/20,1615
2022/07/21,1660
2022/07/22,1369
2022/07/23,1365
2022/07/24,958
2022/07/25,328
2022/07/26,1504
2022/07/27,1540
2022/07/28,1406
2022/07/29,1136
2022/07/30,1069
2022/07/31,732
2022/08/01,276
2022/08/02,1369
2022/08/03,993
2022/08/04,822
2022/08/05,783
2022/08/06,675
2022/08/07,499
2022/08/08,202
2022/08/09,857
2022/08/10,720
2022/08/11,621
2022/08/12,502
2022/08/13,487
2022/08/14,393
2022/08/15,168
2022/08/16,153
2022/08/17,653
2022/08/18,594
2022/08/19,571
2022/08/20,496
2022/08/21,356
2022/08/22,152
2022/08/23,740
2022/08/24,531
2022/08/25,505
2022/08/26,461
2022/08/27,450
2022/08/28,310
2022/08/29,103
2022/08/30,585
2022/08/31,485
2022/09/01,381
2022/09/02,375
2022/09/03,275
2022/09/04,210
2022/09/05,114
2022/09/06,412
2022/09/07,386
2022/09/08,328
2022/09/09,326
2022/09/10,281
2022/09/11,185
2022/09/12,129
2022/09/13,420
2022/09/14,384
2022/09/15,377
2022/09/16,354
2022/09/17,369
2022/09/18,268
2022/09/19,112
2022/09/20,542
2022/09/21,499
2022/09/22,469
2022/09/23,425
2022/09/24,495
2022/09/25,377
2022/09/26,186
2022/09/27,926
2022/09/28,889
2022/09/29,854
2022/09/30,725
2022/10/01,757
2022/10/02,581
2022/10/03,210
