Datas,Seul
12/21/2021,1994
12/22/2021,2805
12/23/2021,2718
12/24/2021,2345
12/25/2021,2120
12/26/2021,1915
12/27/2021,1495
12/28/2021,1289
12/29/2021,1913
12/30/2021,1721
12/31/2021,1667
01/01/2022,1463
01/02/2022,1180
01/03/2022,989
01/04/2022,937
01/05/2022,1410
01/06/2022,1207
01/07/2022,1035
01/08/2022,989
01/09/2022,961
01/10/2022,780
01/11/2022,755
01/12/2022,1091
01/13/2022,974
01/14/2022,937
01/15/2022,910
01/16/2022,920
01/17/2022,785
01/18/2022,759
01/19/2022,1230
01/20/2022,1362
01/21/2022,1550
01/22/2022,1589
01/23/2022,1693
01/24/2022,1679
01/25/2022,1722
01/26/2022,3175
01/27/2022,3429
01/28/2022,3990
01/29/2022,4196
01/30/2022,4182
01/31/2022,4188
02/01/2022,4128
02/02/2022,4208
02/03/2022,5218
02/04/2022,6158
02/05/2022,8595
02/06/2022,7821
02/07/2022,6886
02/08/2022,5908
02/09/2022,11680
02/10/2022,11874
02/11/2022,11530
02/12/2022,13198
02/13/2022,11821
02/14/2022,11547
02/15/2022,12453
02/16/2022,18876
02/17/2022,19685
02/18/2022,25646
02/19/2022,23186
02/20/2022,22094
02/21/2022,20015
02/22/2022,21799
02/23/2022,41464
02/24/2022,37167
02/25/2022,35612
02/26/2022,36826
02/27/2022,35344
02/28/2022,27972
03/01/2022,27882
03/02/2022,46930
03/03/2022,43673
03/04/2022,59267
03/05/2022,53189
03/06/2022,49448
03/07/2022,39553
03/08/2022,37478
03/09/2022,74220
03/10/2022,66849
03/11/2022,56599
03/12/2022,80434
03/13/2022,67809
03/14/2022,56800
03/15/2022,66053
03/16/2022,81381
03/17/2022,128342
03/18/2022,81983
03/19/2022,82109
03/20/2022,65850
03/21/2022,41062
03/22/2022,65007
03/23/2022,101106
03/24/2022,77741
03/25/2022,66929
03/26/2022,64012
03/27/2022,59136
03/28/2022,34184
03/29/2022,66064
03/30/2022,81802
03/31/2022,60119
04/01/2022,51710
04/02/2022,48668
04/03/2022,42098
04/04/2022,20891
04/05/2022,51488
04/06/2022,52425
04/07/2022,39878
04/08/2022,36208
04/09/2022,32316
04/10/2022,28896
04/11/2022,14246
04/12/2022,39512
04/13/2022,33071
04/14/2022,24970
04/15/2022,21443
