Datas,Nord
2021/11/14,183.0
2021/11/15,1008.0
2021/11/16,948.0
2021/11/17,943.0
2021/11/18,1072.0
2021/11/19,1145.0
2021/11/20,1023.0
2021/11/21,297.0
2021/11/22,1668.0
2021/11/23,1490.0
2021/11/24,1604.0
2021/11/25,1712.0
2021/11/26,1789.0
2021/11/27,1339.0
2021/11/28,437.0
2021/11/29,2597.0
2021/11/30,2108.0
2021/12/01,2217.0
2021/12/02,2234.0
2021/12/03,2290.0
2021/12/04,1695.0
2021/12/05,673.0
2021/12/06,2916.0
2021/12/07,2428.0
2021/12/08,2210.0
2021/12/09,2076.0
2021/12/10,2227.0
2021/12/11,1675.0
2021/12/12,722.0
2021/12/13,3105.0
2021/12/14,2378.0
2021/12/15,2240.0
2021/12/16,1973.0
2021/12/17,2044.0
2021/12/18,1504.0
2021/12/19,553.0
2021/12/20,2628.0
2021/12/21,2237.0
2021/12/22,2226.0
2021/12/23,2533.0
2021/12/24,2562.0
2021/12/25,607.0
2021/12/26,1474.0
2021/12/27,6077.0
2021/12/28,5586.0
2021/12/29,6304.0
2021/12/30,7284.0
2021/12/31,5866.0
2022/01/01,1223.0
2022/01/02,3573.0
2022/01/03,14060.0
2022/01/04,11431.0
2022/01/05,10200.0
2022/01/06,9107.0
2022/01/07,8751.0
2022/01/08,6710.0
2022/01/09,3650.0
2022/01/10,14743.0
2022/01/11,11728.0
2022/01/12,13307.0
2022/01/13,11758.0
2022/01/14,12747.0
2022/01/15,10494.0
2022/01/16,5770.0
2022/01/17,21636.0
2022/01/18,17798.0
2022/01/19,18649.0
2022/01/20,16621.0
2022/01/21,16562.0
2022/01/22,12437.0
2022/01/23,6414.0
2022/01/24,23855.0
2022/01/25,16384.0
2022/01/26,16595.0
2022/01/27,14462.0
2022/01/28,13721.0
2022/01/29,10253.0
2022/01/30,4953.0
2022/01/31,17554.0
2022/02/01,11390.0
2022/02/02,10811.0
2022/02/03,9316.0
2022/02/04,7711.0
2022/02/05,5402.0
2022/02/06,2332.0
2022/02/07,8163.0
2022/02/08,5390.0
2022/02/09,5233.0
2022/02/10,4438.0
2022/02/11,4100.0
2022/02/12,3083.0
2022/02/13,1452.0
2022/02/14,4928.0
2022/02/15,3274.0
2022/02/16,3354.0
2022/02/17,2903.0
2022/02/18,2544.0
2022/02/19,2138.0
2022/02/20,1013.0
2022/02/21,3597.0
2022/02/22,2452.0
2022/02/23,2601.0
2022/02/24,2059.0
2022/02/25,2064.0
2022/02/26,1504.0
2022/02/27,698.0
2022/02/28,3039.0
2022/03/01,2381.0
2022/03/02,2667.0
2022/03/03,2488.0
2022/03/04,2176.0
2022/03/05,1923.0
2022/03/06,907.0
2022/03/07,4060.0
2022/03/08,3293.0
2022/03/09,3711.0
2022/03/10,3539.0
2022/03/11,3489.0
2022/03/12,2926.0
2022/03/13,1395.0
2022/03/14,6086.0
