Datas,Paris
2022/04/29,1134.0
2022/04/30,885.0
2022/05/01,383.0
2022/05/02,1408.0
2022/05/03,1036.0
2022/05/04,957.0
2022/05/05,892.0
2022/05/06,886.0
2022/05/07,695.0
2022/05/08,354.0
2022/05/09,1255.0
2022/05/10,895.0
2022/05/11,854.0
2022/05/12,762.0
2022/05/13,655.0
2022/05/14,556.0
2022/05/15,267.0
2022/05/16,1055.0
2022/05/17,825.0
2022/05/18,807.0
2022/05/19,706.0
2022/05/20,724.0
2022/05/21,513.0
2022/05/22,271.0
2022/05/23,1009.0
2022/05/24,719.0
2022/05/25,765.0
2022/05/26,295.0
2022/05/27,832.0
2022/05/28,622.0
2022/05/29,334.0
2022/05/30,1317.0
2022/05/31,1104.0
2022/06/01,1037.0
2022/06/02,1091.0
2022/06/03,1137.0
2022/06/04,905.0
2022/06/05,490.0
2022/06/06,1056.0
2022/06/07,2382.0
2022/06/08,1871.0
2022/06/09,1788.0
2022/06/10,1814.0
2022/06/11,1485.0
2022/06/12,786.0
2022/06/13,3274.0
2022/06/14,2738.0
2022/06/15,2794.0
2022/06/16,2728.0
2022/06/17,2639.0
2022/06/18,2099.0
2022/06/19,1166.0
2022/06/20,5007.0
2022/06/21,4069.0
2022/06/22,4063.0
2022/06/23,3848.0
2022/06/24,3979.0
2022/06/25,3217.0
2022/06/26,1643.0
2022/06/27,6648.0
2022/06/28,5532.0
2022/06/29,5865.0
2022/06/30,4960.0
2022/07/01,4946.0
2022/07/02,4030.0
2022/07/03,1873.0
2022/07/04,7570.0
2022/07/05,5531.0
2022/07/06,5319.0
2022/07/07,4677.0
2022/07/08,4078.0
2022/07/09,3221.0
2022/07/10,1408.0
2022/07/11,5342.0
2022/07/12,3665.0
2022/07/13,3189.0
2022/07/14,910.0
2022/07/15,3038.0
2022/07/16,1916.0
2022/07/17,828.0
2022/07/18,3145.0
2022/07/19,2027.0
2022/07/20,1900.0
2022/07/21,1843.0
2022/07/22,1603.0
2022/07/23,1141.0
2022/07/24,498.0
2022/07/25,1769.0
2022/07/26,1169.0
2022/07/27,1143.0
2022/07/28,996.0
2022/07/29,846.0
2022/07/30,638.0
2022/07/31,288.0
2022/08/01,1012.0
2022/08/02,789.0
2022/08/03,620.0
2022/08/04,570.0
2022/08/05,564.0
2022/08/06,417.0
2022/08/07,185.0
2022/08/08,674.0
2022/08/09,494.0
2022/08/10,463.0
2022/08/11,429.0
2022/08/12,354.0
2022/08/13,345.0
2022/08/14,156.0
2022/08/15,202.0
2022/08/16,573.0
2022/08/17,395.0
2022/08/18,354.0
2022/08/19,359.0
2022/08/20,271.0
2022/08/21,147.0
2022/08/22,492.0
2022/08/23,380.0
2022/08/24,371.0
2022/08/25,335.0
2022/08/26,327.0
2022/08/27,291.0
2022/08/28,158.0
2022/08/29,501.0
2022/08/30,425.0
2022/08/31,400.0
2022/09/01,356.0
2022/09/02,341.0
2022/09/03,262.0
2022/09/04,155.0
2022/09/05,528.0
2022/09/06,392.0
2022/09/07,430.0
2022/09/08,409.0
2022/09/09,403.0
2022/09/10,312.0
2022/09/11,162.0
2022/09/12,774.0
2022/09/13,649.0
2022/09/14,686.0
2022/09/15,640.0
2022/09/16,668.0
2022/09/17,503.0
2022/09/18,242.0
2022/09/19,1137.0
2022/09/20,912.0
2022/09/21,886.0
2022/09/22,976.0
2022/09/23,950.0
2022/09/24,895.0
2022/09/25,427.0
2022/09/26,1848.0
2022/09/27,1422.0
2022/09/28,1413.0
2022/09/29,1272.0
2022/09/30,1242.0
2022/10/01,1074.0
2022/10/02,469.0
2022/10/03,2340.0
2022/10/04,1738.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
