Datas,Hérault
2021/10/14,128.0
2021/10/15,56.0
2021/10/16,39.0
2021/10/17,7.0
2021/10/18,92.0
2021/10/19,88.0
2021/10/20,89.0
2021/10/21,77.0
2021/10/22,86.0
2021/10/23,70.0
2021/10/24,10.0
2021/10/25,109.0
2021/10/26,80.0
2021/10/27,89.0
2021/10/28,101.0
2021/10/29,108.0
2021/10/30,84.0
2021/10/31,18.0
2021/11/01,36.0
2021/11/02,178.0
2021/11/03,129.0
2021/11/04,165.0
2021/11/05,141.0
2021/11/06,86.0
2021/11/07,15.0
2021/11/08,230.0
2021/11/09,189.0
2021/11/10,222.0
2021/11/11,48.0
2021/11/12,343.0
2021/11/13,170.0
2021/11/14,33.0
2021/11/15,490.0
2021/11/16,437.0
2021/11/17,523.0
2021/11/18,443.0
2021/11/19,528.0
2021/11/20,370.0
2021/11/21,90.0
2021/11/22,899.0
2021/11/23,792.0
2021/11/24,769.0
2021/11/25,855.0
2021/11/26,892.0
2021/11/27,609.0
2021/11/28,96.0
2021/11/29,1455.0
2021/11/30,1140.0
2021/12/01,1083.0
2021/12/02,1161.0
2021/12/03,1204.0
2021/12/04,757.0
2021/12/05,217.0
2021/12/06,1664.0
2021/12/07,1336.0
2021/12/08,1279.0
2021/12/09,1220.0
2021/12/10,1269.0
2021/12/11,782.0
2021/12/12,238.0
2021/12/13,1911.0
2021/12/14,1337.0
2021/12/15,1339.0
2021/12/16,1223.0
2021/12/17,1241.0
2021/12/18,926.0
2021/12/19,249.0
2021/12/20,1961.0
2021/12/21,1642.0
2021/12/22,1799.0
2021/12/23,1929.0
2021/12/24,1984.0
2021/12/25,296.0
2021/12/26,522.0
2021/12/27,4072.0
2021/12/28,3315.0
2021/12/29,3510.0
2021/12/30,3412.0
2021/12/31,3209.0
2022/01/01,404.0
2022/01/02,824.0
2022/01/03,7264.0
2022/01/04,5458.0
2022/01/05,4896.0
2022/01/06,4425.0
2022/01/07,4428.0
2022/01/08,2949.0
2022/01/09,834.0
2022/01/10,7297.0
2022/01/11,4895.0
2022/01/12,5101.0
2022/01/13,4805.0
2022/01/14,4916.0
2022/01/15,3787.0
2022/01/16,1292.0
2022/01/17,9188.0
2022/01/18,6878.0
2022/01/19,7204.0
2022/01/20,6675.0
2022/01/21,6558.0
2022/01/22,4599.0
2022/01/23,1305.0
2022/01/24,10694.0
2022/01/25,7160.0
2022/01/26,6774.0
2022/01/27,5579.0
2022/01/28,5806.0
2022/01/29,4015.0
2022/01/30,1299.0
2022/01/31,8753.0
2022/02/01,5342.0
2022/02/02,5183.0
2022/02/03,4511.0
2022/02/04,4038.0
2022/02/05,2781.0
2022/02/06,843.0
2022/02/07,5671.0
2022/02/08,3136.0
2022/02/09,3062.0
2022/02/10,2611.0
2022/02/11,2306.0
2022/02/12,1678.0
2022/02/13,494.0
2022/02/14,3209.0
2022/02/15,1987.0
2022/02/16,1956.0
2022/02/17,1546.0
2022/02/18,1454.0
2022/02/19,1059.0
2022/02/20,246.0
2022/02/21,1962.0
2022/02/22,1261.0
2022/02/23,1288.0
2022/02/24,1205.0
2022/02/25,1077.0
2022/02/26,782.0
2022/02/27,239.0
2022/02/28,1500.0
2022/03/01,964.0
2022/03/02,952.0
2022/03/03,902.0
2022/03/04,904.0
2022/03/05,723.0
2022/03/06,220.0
2022/03/07,1418.0
2022/03/08,966.0
2022/03/09,928.0
2022/03/10,993.0
2022/03/11,994.0
2022/03/12,757.0
2022/03/13,249.0
2022/03/14,1904.0
2022/03/15,1308.0
2022/03/16,1510.0
2022/03/17,1374.0
2022/03/18,1450.0
2022/03/19,1195.0
2022/03/20,333.0
2022/03/21,3032.0
2022/03/22,2179.0
2022/03/23,2336.0
2022/03/24,2204.0
2022/03/25,2215.0
2022/03/26,1627.0
2022/03/27,422.0
2022/03/28,3999.0
2022/03/29,2855.0
2022/03/30,2781.0
2022/03/31,2428.0
2022/04/01,2268.0
2022/04/02,1585.0
2022/04/03,382.0
2022/04/04,3772.0
2022/04/05,2573.0
2022/04/06,2739.0
2022/04/07,2631.0
2022/04/08,2585.0
2022/04/09,1854.0
2022/04/10,343.0
2022/04/11,3929.0
2022/04/12,2643.0
2022/04/13,2566.0
2022/04/14,2273.0
2022/04/15,2008.0
2022/04/16,1431.0
2022/04/17,295.0
2022/04/18,513.0
2022/04/19,3339.0
2022/04/20,1806.0
2022/04/21,1564.0
2022/04/22,1324.0
2022/04/23,912.0
2022/04/24,177.0
