Datas,Gironde
2022/07/09,2418.0
2022/07/10,616.0
2022/07/11,5166.0
2022/07/12,3264.0
2022/07/13,2833.0
2022/07/14,442.0
2022/07/15,3167.0
2022/07/16,1532.0
2022/07/17,407.0
2022/07/18,3308.0
2022/07/19,2166.0
2022/07/20,1892.0
2022/07/21,1760.0
2022/07/22,1461.0
2022/07/23,943.0
2022/07/24,252.0
2022/07/25,1927.0
2022/07/26,1272.0
2022/07/27,1104.0
2022/07/28,933.0
2022/07/29,845.0
2022/07/30,588.0
2022/07/31,170.0
2022/08/01,1159.0
2022/08/02,770.0
2022/08/03,752.0
2022/08/04,687.0
2022/08/05,585.0
2022/08/06,439.0
2022/08/07,112.0
2022/08/08,866.0
2022/08/09,537.0
2022/08/10,540.0
2022/08/11,485.0
2022/08/12,469.0
2022/08/13,308.0
2022/08/14,103.0
2022/08/15,98.0
2022/08/16,857.0
2022/08/17,532.0
2022/08/18,419.0
2022/08/19,440.0
2022/08/20,317.0
2022/08/21,94.0
2022/08/22,716.0
2022/08/23,504.0
2022/08/24,443.0
2022/08/25,386.0
2022/08/26,393.0
2022/08/27,257.0
2022/08/28,100.0
2022/08/29,691.0
2022/08/30,405.0
2022/08/31,405.0
2022/09/01,346.0
2022/09/02,373.0
2022/09/03,250.0
2022/09/04,50.0
2022/09/05,652.0
2022/09/06,381.0
2022/09/07,400.0
2022/09/08,420.0
2022/09/09,457.0
2022/09/10,344.0
2022/09/11,95.0
2022/09/12,1046.0
2022/09/13,737.0
2022/09/14,712.0
2022/09/15,674.0
2022/09/16,603.0
2022/09/17,432.0
2022/09/18,109.0
2022/09/19,1080.0
2022/09/20,728.0
2022/09/21,736.0
2022/09/22,664.0
2022/09/23,753.0
2022/09/24,552.0
2022/09/25,154.0
2022/09/26,1475.0
2022/09/27,1059.0
2022/09/28,1002.0
2022/09/29,923.0
2022/09/30,853.0
2022/10/01,646.0
2022/10/02,155.0
2022/10/03,1748.0
2022/10/04,1276.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
