Datas,Marne
2021/08/21,48.0
2021/08/22,10.0
2021/08/23,126.0
2021/08/24,107.0
2021/08/25,73.0
2021/08/26,93.0
2021/08/27,75.0
2021/08/28,52.0
2021/08/29,10.0
2021/08/30,122.0
2021/08/31,106.0
2021/09/01,81.0
2021/09/02,69.0
2021/09/03,56.0
2021/09/04,68.0
2021/09/05,10.0
2021/09/06,110.0
2021/09/07,60.0
2021/09/08,65.0
2021/09/09,58.0
2021/09/10,69.0
2021/09/11,54.0
2021/09/12,12.0
2021/09/13,87.0
2021/09/14,52.0
2021/09/15,55.0
2021/09/16,41.0
2021/09/17,64.0
2021/09/18,37.0
2021/09/19,5.0
2021/09/20,46.0
2021/09/21,39.0
2021/09/22,33.0
2021/09/23,49.0
2021/09/24,43.0
2021/09/25,18.0
2021/09/26,9.0
2021/09/27,64.0
2021/09/28,46.0
2021/09/29,36.0
2021/09/30,20.0
2021/10/01,30.0
2021/10/02,33.0
2021/10/03,3.0
2021/10/04,38.0
2021/10/05,26.0
2021/10/06,19.0
2021/10/07,28.0
2021/10/08,27.0
2021/10/09,11.0
2021/10/10,10.0
2021/10/11,36.0
2021/10/12,39.0
2021/10/13,17.0
2021/10/14,28.0
2021/10/15,11.0
2021/10/16,11.0
2021/10/17,2.0
2021/10/18,28.0
2021/10/19,20.0
2021/10/20,20.0
2021/10/21,22.0
2021/10/22,10.0
2021/10/23,14.0
2021/10/24,2.0
2021/10/25,22.0
2021/10/26,22.0
2021/10/27,19.0
2021/10/28,22.0
2021/10/29,16.0
2021/10/30,20.0
2021/10/31,7.0
2021/11/01,4.0
2021/11/02,41.0
2021/11/03,39.0
2021/11/04,32.0
2021/11/05,39.0
2021/11/06,43.0
2021/11/07,6.0
2021/11/08,56.0
2021/11/09,51.0
2021/11/10,60.0
2021/11/11,15.0
2021/11/12,80.0
2021/11/13,61.0
2021/11/14,7.0
2021/11/15,159.0
2021/11/16,123.0
2021/11/17,121.0
2021/11/18,125.0
2021/11/19,128.0
2021/11/20,99.0
2021/11/21,18.0
2021/11/22,204.0
2021/11/23,196.0
2021/11/24,177.0
2021/11/25,196.0
2021/11/26,240.0
2021/11/27,160.0
2021/11/28,45.0
2021/11/29,340.0
2021/11/30,269.0
2021/12/01,283.0
2021/12/02,320.0
2021/12/03,347.0
2021/12/04,230.0
2021/12/05,44.0
2021/12/06,403.0
2021/12/07,375.0
2021/12/08,333.0
2021/12/09,327.0
2021/12/10,339.0
2021/12/11,222.0
2021/12/12,48.0
2021/12/13,463.0
2021/12/14,343.0
2021/12/15,359.0
2021/12/16,371.0
2021/12/17,355.0
2021/12/18,208.0
2021/12/19,39.0
2021/12/20,553.0
2021/12/21,467.0
2021/12/22,521.0
2021/12/23,629.0
2021/12/24,617.0
2021/12/25,111.0
2021/12/26,186.0
2021/12/27,1654.0
2021/12/28,1632.0
2021/12/29,1729.0
2021/12/30,1788.0
2021/12/31,1511.0
2022/01/01,187.0
2022/01/02,423.0
2022/01/03,3574.0
2022/01/04,2584.0
2022/01/05,2174.0
2022/01/06,2185.0
2022/01/07,2208.0
2022/01/08,1454.0
2022/01/09,426.0
2022/01/10,3245.0
2022/01/11,2608.0
2022/01/12,2419.0
2022/01/13,2329.0
2022/01/14,2497.0
2022/01/15,1959.0
2022/01/16,607.0
