Datas,Seine-Maritime
2022/06/13,1114.0
2022/06/14,715.0
2022/06/15,813.0
2022/06/16,690.0
2022/06/17,753.0
2022/06/18,519.0
2022/06/19,86.0
2022/06/20,1363.0
2022/06/21,1033.0
2022/06/22,1057.0
2022/06/23,1253.0
2022/06/24,1218.0
2022/06/25,956.0
2022/06/26,136.0
2022/06/27,2293.0
2022/06/28,1862.0
2022/06/29,1866.0
2022/06/30,1804.0
2022/07/01,1752.0
2022/07/02,1282.0
2022/07/03,278.0
2022/07/04,3377.0
2022/07/05,2152.0
2022/07/06,2408.0
2022/07/07,2194.0
2022/07/08,2154.0
2022/07/09,1444.0
2022/07/10,223.0
2022/07/11,3082.0
2022/07/12,1869.0
2022/07/13,1697.0
2022/07/14,227.0
2022/07/15,1934.0
2022/07/16,1044.0
2022/07/17,187.0
2022/07/18,2052.0
2022/07/19,1160.0
2022/07/20,1089.0
2022/07/21,999.0
2022/07/22,974.0
2022/07/23,695.0
2022/07/24,105.0
2022/07/25,1372.0
2022/07/26,834.0
2022/07/27,688.0
2022/07/28,582.0
2022/07/29,586.0
2022/07/30,393.0
2022/07/31,69.0
2022/08/01,876.0
2022/08/02,548.0
2022/08/03,474.0
2022/08/04,404.0
2022/08/05,427.0
2022/08/06,307.0
2022/08/07,40.0
2022/08/08,612.0
2022/08/09,398.0
2022/08/10,365.0
2022/08/11,359.0
2022/08/12,299.0
2022/08/13,251.0
2022/08/14,53.0
2022/08/15,75.0
2022/08/16,519.0
2022/08/17,298.0
2022/08/18,293.0
2022/08/19,294.0
2022/08/20,189.0
2022/08/21,34.0
2022/08/22,420.0
2022/08/23,334.0
2022/08/24,303.0
2022/08/25,239.0
2022/08/26,249.0
2022/08/27,238.0
2022/08/28,29.0
2022/08/29,509.0
2022/08/30,297.0
2022/08/31,293.0
2022/09/01,272.0
2022/09/02,235.0
2022/09/03,195.0
2022/09/04,33.0
2022/09/05,471.0
2022/09/06,368.0
2022/09/07,364.0
2022/09/08,354.0
2022/09/09,365.0
2022/09/10,338.0
2022/09/11,37.0
2022/09/12,913.0
2022/09/13,751.0
2022/09/14,743.0
2022/09/15,653.0
2022/09/16,649.0
