Datas,Gard
2022/08/01,987.0
2022/08/02,586.0
2022/08/03,518.0
2022/08/04,499.0
2022/08/05,505.0
2022/08/06,345.0
2022/08/07,107.0
2022/08/08,678.0
2022/08/09,428.0
2022/08/10,397.0
2022/08/11,362.0
2022/08/12,345.0
2022/08/13,246.0
2022/08/14,62.0
2022/08/15,115.0
2022/08/16,606.0
2022/08/17,354.0
2022/08/18,274.0
2022/08/19,321.0
2022/08/20,213.0
2022/08/21,58.0
2022/08/22,439.0
2022/08/23,346.0
2022/08/24,274.0
2022/08/25,257.0
2022/08/26,232.0
2022/08/27,159.0
2022/08/28,39.0
2022/08/29,395.0
2022/08/30,273.0
2022/08/31,242.0
2022/09/01,226.0
2022/09/02,167.0
2022/09/03,123.0
2022/09/04,28.0
2022/09/05,331.0
2022/09/06,177.0
2022/09/07,159.0
2022/09/08,168.0
2022/09/09,196.0
2022/09/10,130.0
2022/09/11,35.0
2022/09/12,437.0
2022/09/13,277.0
2022/09/14,250.0
2022/09/15,305.0
2022/09/16,259.0
2022/09/17,195.0
2022/09/18,38.0
2022/09/19,467.0
2022/09/20,299.0
2022/09/21,312.0
2022/09/22,319.0
2022/09/23,303.0
2022/09/24,213.0
2022/09/25,46.0
2022/09/26,608.0
2022/09/27,402.0
2022/09/28,415.0
2022/09/29,302.0
2022/09/30,379.0
2022/10/01,251.0
2022/10/02,67.0
2022/10/03,692.0
2022/10/04,518.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
