Datas,Calvados
2021/12/31,1556.0
2022/01/01,290.0
2022/01/02,502.0
2022/01/03,3285.0
2022/01/04,2965.0
2022/01/05,2163.0
2022/01/06,2042.0
2022/01/07,1963.0
2022/01/08,1644.0
2022/01/09,642.0
2022/01/10,3214.0
2022/01/11,2515.0
2022/01/12,2673.0
2022/01/13,2435.0
2022/01/14,2541.0
2022/01/15,2111.0
2022/01/16,861.0
2022/01/17,4495.0
2022/01/18,3384.0
2022/01/19,3852.0
2022/01/20,3283.0
2022/01/21,3460.0
2022/01/22,2904.0
2022/01/23,1113.0
2022/01/24,5505.0
2022/01/25,3742.0
2022/01/26,3674.0
2022/01/27,3455.0
2022/01/28,3356.0
2022/01/29,2614.0
2022/01/30,1089.0
2022/01/31,5055.0
2022/02/01,3216.0
2022/02/02,2929.0
2022/02/03,2441.0
2022/02/04,2138.0
2022/02/05,1584.0
2022/02/06,580.0
2022/02/07,2340.0
2022/02/08,1521.0
2022/02/09,1428.0
2022/02/10,1189.0
2022/02/11,1117.0
2022/02/12,902.0
2022/02/13,378.0
2022/02/14,1434.0
2022/02/15,985.0
2022/02/16,870.0
2022/02/17,804.0
2022/02/18,714.0
2022/02/19,648.0
2022/02/20,328.0
2022/02/21,1110.0
2022/02/22,652.0
2022/02/23,765.0
2022/02/24,675.0
2022/02/25,591.0
2022/02/26,501.0
2022/02/27,212.0
2022/02/28,950.0
2022/03/01,785.0
2022/03/02,929.0
2022/03/03,811.0
2022/03/04,780.0
2022/03/05,663.0
2022/03/06,235.0
2022/03/07,1314.0
2022/03/08,954.0
2022/03/09,1061.0
2022/03/10,1104.0
2022/03/11,1073.0
2022/03/12,934.0
2022/03/13,379.0
2022/03/14,1949.0
2022/03/15,1336.0
2022/03/16,1539.0
2022/03/17,1359.0
2022/03/18,1369.0
2022/03/19,1128.0
2022/03/20,446.0
2022/03/21,2757.0
2022/03/22,2052.0
2022/03/23,2089.0
2022/03/24,1925.0
2022/03/25,1933.0
2022/03/26,1554.0
2022/03/27,480.0
2022/03/28,3202.0
2022/03/29,2239.0
2022/03/30,2326.0
2022/03/31,1902.0
2022/04/01,1739.0
2022/04/02,1395.0
2022/04/03,543.0
2022/04/04,3113.0
2022/04/05,2145.0
2022/04/06,2108.0
2022/04/07,2017.0
2022/04/08,1752.0
2022/04/09,1290.0
2022/04/10,367.0
2022/04/11,2319.0
2022/04/12,1707.0
2022/04/13,1592.0
2022/04/14,1469.0
2022/04/15,1340.0
2022/04/16,1001.0
2022/04/17,308.0
2022/04/18,391.0
2022/04/19,1824.0
2022/04/20,1077.0
2022/04/21,1000.0
2022/04/22,948.0
2022/04/23,649.0
2022/04/24,224.0
2022/04/25,1194.0
2022/04/26,673.0
2022/04/27,599.0
2022/04/28,513.0
2022/04/29,493.0
2022/04/30,397.0
2022/05/01,120.0
2022/05/02,798.0
2022/05/03,554.0
2022/05/04,529.0
2022/05/05,462.0
2022/05/06,479.0
2022/05/07,358.0
2022/05/08,89.0
2022/05/09,632.0
2022/05/10,411.0
2022/05/11,409.0
2022/05/12,323.0
2022/05/13,302.0
2022/05/14,226.0
2022/05/15,71.0
2022/05/16,442.0
2022/05/17,298.0
2022/05/18,295.0
2022/05/19,225.0
2022/05/20,217.0
2022/05/21,187.0
2022/05/22,51.0
2022/05/23,304.0
2022/05/24,231.0
2022/05/25,234.0
2022/05/26,52.0
2022/05/27,274.0
2022/05/28,143.0
2022/05/29,67.0
2022/05/30,421.0
2022/05/31,268.0
2022/06/01,225.0
2022/06/02,209.0
2022/06/03,259.0
2022/06/04,173.0
2022/06/05,65.0
2022/06/06,120.0
2022/06/07,499.0
2022/06/08,382.0
2022/06/09,404.0
2022/06/10,354.0
2022/06/11,279.0
2022/06/12,112.0
2022/06/13,614.0
2022/06/14,458.0
2022/06/15,489.0
2022/06/16,475.0
2022/06/17,507.0
2022/06/18,352.0
2022/06/19,124.0
2022/06/20,821.0
2022/06/21,626.0
2022/06/22,758.0
2022/06/23,744.0
2022/06/24,733.0
2022/06/25,648.0
2022/06/26,202.0
2022/06/27,1272.0
2022/06/28,1011.0
2022/06/29,1149.0
2022/06/30,1084.0
2022/07/01,1022.0
2022/07/02,848.0
2022/07/03,314.0
2022/07/04,1875.0
2022/07/05,1268.0
2022/07/06,1403.0
2022/07/07,1175.0
2022/07/08,1103.0
2022/07/09,876.0
2022/07/10,287.0
2022/07/11,1857.0
2022/07/12,1286.0
2022/07/13,1265.0
2022/07/14,324.0
2022/07/15,1387.0
2022/07/16,771.0
2022/07/17,227.0
2022/07/18,1353.0
2022/07/19,778.0
2022/07/20,741.0
2022/07/21,645.0
2022/07/22,559.0
2022/07/23,423.0
2022/07/24,131.0
2022/07/25,747.0
2022/07/26,470.0
2022/07/27,383.0
2022/07/28,352.0
2022/07/29,332.0
2022/07/30,247.0
2022/07/31,78.0
2022/08/01,381.0
2022/08/02,279.0
2022/08/03,223.0
2022/08/04,214.0
2022/08/05,193.0
2022/08/06,151.0
2022/08/07,44.0
2022/08/08,285.0
2022/08/09,177.0
2022/08/10,168.0
2022/08/11,159.0
2022/08/12,149.0
2022/08/13,107.0
2022/08/14,36.0
2022/08/15,62.0
2022/08/16,275.0
2022/08/17,160.0
2022/08/18,131.0
2022/08/19,114.0
2022/08/20,104.0
2022/08/21,19.0
2022/08/22,184.0
2022/08/23,135.0
2022/08/24,139.0
2022/08/25,159.0
2022/08/26,133.0
2022/08/27,128.0
2022/08/28,39.0
2022/08/29,210.0
2022/08/30,179.0
2022/08/31,151.0
2022/09/01,163.0
2022/09/02,144.0
2022/09/03,128.0
2022/09/04,47.0
2022/09/05,306.0
2022/09/06,234.0
2022/09/07,249.0
2022/09/08,239.0
2022/09/09,203.0
2022/09/10,204.0
2022/09/11,78.0
2022/09/12,471.0
2022/09/13,405.0
2022/09/14,377.0
2022/09/15,346.0
2022/09/16,292.0
2022/09/17,276.0
2022/09/18,78.0
2022/09/19,607.0
2022/09/20,373.0
2022/09/21,459.0
2022/09/22,418.0
2022/09/23,401.0
2022/09/24,317.0
2022/09/25,113.0
2022/09/26,738.0
2022/09/27,560.0
2022/09/28,555.0
2022/09/29,470.0
2022/09/30,498.0
2022/10/01,400.0
2022/10/02,123.0
2022/10/03,918.0
2022/10/04,682.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
