Datas,Ardèche
2022/04/17,106.0
2022/04/18,104.0
2022/04/19,1048.0
2022/04/20,520.0
2022/04/21,432.0
2022/04/22,383.0
2022/04/23,255.0
2022/04/24,37.0
2022/04/25,526.0
2022/04/26,343.0
2022/04/27,302.0
2022/04/28,275.0
2022/04/29,255.0
2022/04/30,185.0
2022/05/01,52.0
2022/05/02,344.0
2022/05/03,221.0
2022/05/04,178.0
2022/05/05,158.0
2022/05/06,168.0
2022/05/07,118.0
2022/05/08,16.0
2022/05/09,251.0
2022/05/10,149.0
2022/05/11,127.0
2022/05/12,110.0
2022/05/13,140.0
2022/05/14,87.0
2022/05/15,19.0
2022/05/16,174.0
2022/05/17,91.0
2022/05/18,106.0
2022/05/19,91.0
2022/05/20,87.0
2022/05/21,46.0
2022/05/22,2.0
2022/05/23,120.0
2022/05/24,52.0
2022/05/25,70.0
2022/05/26,14.0
2022/05/27,73.0
2022/05/28,42.0
2022/05/29,8.0
2022/05/30,133.0
2022/05/31,87.0
2022/06/01,100.0
2022/06/02,89.0
2022/06/03,86.0
2022/06/04,78.0
2022/06/05,11.0
2022/06/06,16.0
2022/06/07,202.0
2022/06/08,136.0
2022/06/09,104.0
2022/06/10,112.0
2022/06/11,80.0
2022/06/12,24.0
2022/06/13,230.0
2022/06/14,159.0
2022/06/15,172.0
2022/06/16,146.0
2022/06/17,154.0
2022/06/18,135.0
2022/06/19,25.0
2022/06/20,330.0
2022/06/21,246.0
2022/06/22,273.0
2022/06/23,278.0
2022/06/24,282.0
2022/06/25,224.0
2022/06/26,43.0
2022/06/27,629.0
2022/06/28,562.0
2022/06/29,634.0
2022/06/30,518.0
2022/07/01,518.0
2022/07/02,353.0
2022/07/03,49.0
2022/07/04,892.0
2022/07/05,631.0
2022/07/06,612.0
2022/07/07,563.0
2022/07/08,509.0
2022/07/09,359.0
2022/07/10,70.0
2022/07/11,805.0
2022/07/12,606.0
2022/07/13,582.0
2022/07/14,64.0
2022/07/15,667.0
2022/07/16,331.0
2022/07/17,60.0
2022/07/18,766.0
2022/07/19,460.0
2022/07/20,442.0
2022/07/21,429.0
2022/07/22,388.0
2022/07/23,269.0
2022/07/24,68.0
2022/07/25,600.0
2022/07/26,322.0
2022/07/27,271.0
2022/07/28,256.0
2022/07/29,207.0
2022/07/30,167.0
2022/07/31,25.0
2022/08/01,343.0
2022/08/02,200.0
2022/08/03,178.0
2022/08/04,172.0
2022/08/05,153.0
2022/08/06,119.0
2022/08/07,18.0
2022/08/08,218.0
2022/08/09,149.0
2022/08/10,127.0
2022/08/11,129.0
2022/08/12,141.0
2022/08/13,107.0
2022/08/14,27.0
2022/08/15,42.0
2022/08/16,217.0
2022/08/17,112.0
2022/08/18,101.0
2022/08/19,134.0
2022/08/20,80.0
2022/08/21,14.0
2022/08/22,198.0
2022/08/23,103.0
2022/08/24,122.0
2022/08/25,107.0
2022/08/26,84.0
2022/08/27,65.0
2022/08/28,16.0
2022/08/29,140.0
2022/08/30,102.0
2022/08/31,95.0
2022/09/01,98.0
2022/09/02,75.0
2022/09/03,83.0
2022/09/04,14.0
2022/09/05,149.0
2022/09/06,71.0
2022/09/07,108.0
2022/09/08,88.0
2022/09/09,89.0
2022/09/10,65.0
2022/09/11,9.0
2022/09/12,182.0
2022/09/13,119.0
2022/09/14,168.0
2022/09/15,142.0
2022/09/16,121.0
2022/09/17,90.0
2022/09/18,19.0
2022/09/19,233.0
2022/09/20,153.0
2022/09/21,188.0
2022/09/22,197.0
2022/09/23,192.0
2022/09/24,152.0
2022/09/25,25.0
2022/09/26,354.0
2022/09/27,277.0
2022/09/28,242.0
2022/09/29,220.0
2022/09/30,211.0
2022/10/01,173.0
2022/10/02,32.0
2022/10/03,442.0
2022/10/04,332.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
