Datas,Vosges
2021/10/02,5.0
2021/10/03,0.0
2021/10/04,11.0
2021/10/05,11.0
2021/10/06,6.0
2021/10/07,12.0
2021/10/08,13.0
2021/10/09,9.0
2021/10/10,1.0
2021/10/11,14.0
2021/10/12,5.0
2021/10/13,12.0
2021/10/14,12.0
2021/10/15,4.0
2021/10/16,6.0
2021/10/17,0.0
2021/10/18,7.0
2021/10/19,12.0
2021/10/20,13.0
2021/10/21,13.0
2021/10/22,5.0
2021/10/23,10.0
2021/10/24,3.0
2021/10/25,17.0
2021/10/26,11.0
2021/10/27,8.0
2021/10/28,15.0
2021/10/29,19.0
2021/10/30,16.0
2021/10/31,2.0
2021/11/01,4.0
2021/11/02,30.0
2021/11/03,15.0
2021/11/04,21.0
2021/11/05,22.0
2021/11/06,13.0
2021/11/07,2.0
2021/11/08,37.0
2021/11/09,40.0
2021/11/10,28.0
2021/11/11,0.0
2021/11/12,58.0
2021/11/13,42.0
2021/11/14,6.0
2021/11/15,92.0
2021/11/16,63.0
2021/11/17,64.0
2021/11/18,81.0
2021/11/19,99.0
2021/11/20,63.0
2021/11/21,4.0
2021/11/22,123.0
2021/11/23,132.0
2021/11/24,150.0
2021/11/25,180.0
2021/11/26,151.0
2021/11/27,122.0
2021/11/28,10.0
2021/11/29,245.0
2021/11/30,179.0
2021/12/01,198.0
2021/12/02,240.0
2021/12/03,214.0
2021/12/04,163.0
2021/12/05,17.0
2021/12/06,280.0
2021/12/07,219.0
2021/12/08,196.0
2021/12/09,179.0
2021/12/10,221.0
2021/12/11,140.0
2021/12/12,25.0
2021/12/13,269.0
2021/12/14,207.0
2021/12/15,187.0
2021/12/16,164.0
2021/12/17,213.0
2021/12/18,144.0
2021/12/19,10.0
2021/12/20,233.0
2021/12/21,166.0
2021/12/22,213.0
2021/12/23,212.0
2021/12/24,231.0
2021/12/25,27.0
2021/12/26,46.0
2021/12/27,515.0
2021/12/28,511.0
2021/12/29,518.0
2021/12/30,626.0
2021/12/31,516.0
2022/01/01,36.0
2022/01/02,130.0
2022/01/03,1477.0
2022/01/04,1087.0
2022/01/05,1108.0
2022/01/06,933.0
2022/01/07,830.0
2022/01/08,734.0
2022/01/09,186.0
2022/01/10,1744.0
2022/01/11,1226.0
2022/01/12,1279.0
2022/01/13,1285.0
2022/01/14,1408.0
2022/01/15,1174.0
2022/01/16,230.0
2022/01/17,2767.0
2022/01/18,1987.0
2022/01/19,2023.0
2022/01/20,2000.0
2022/01/21,2090.0
2022/01/22,1629.0
2022/01/23,352.0
2022/01/24,3470.0
2022/01/25,2245.0
2022/01/26,2161.0
2022/01/27,1934.0
2022/01/28,1954.0
2022/01/29,1468.0
2022/01/30,347.0
2022/01/31,3080.0
2022/02/01,1843.0
2022/02/02,1811.0
2022/02/03,1453.0
2022/02/04,1289.0
2022/02/05,1020.0
2022/02/06,160.0
2022/02/07,1620.0
2022/02/08,1056.0
2022/02/09,903.0
2022/02/10,814.0
2022/02/11,760.0
2022/02/12,563.0
2022/02/13,123.0
2022/02/14,963.0
2022/02/15,586.0
2022/02/16,598.0
2022/02/17,481.0
2022/02/18,493.0
2022/02/19,370.0
2022/02/20,83.0
2022/02/21,739.0
2022/02/22,463.0
2022/02/23,407.0
2022/02/24,416.0
2022/02/25,404.0
2022/02/26,272.0
2022/02/27,45.0
2022/02/28,619.0
2022/03/01,403.0
2022/03/02,352.0
2022/03/03,315.0
2022/03/04,332.0
2022/03/05,253.0
2022/03/06,51.0
2022/03/07,603.0
2022/03/08,388.0
2022/03/09,452.0
2022/03/10,445.0
2022/03/11,454.0
2022/03/12,406.0
2022/03/13,84.0
2022/03/14,917.0
2022/03/15,574.0
2022/03/16,567.0
2022/03/17,643.0
2022/03/18,593.0
2022/03/19,529.0
2022/03/20,117.0
2022/03/21,1224.0
2022/03/22,822.0
2022/03/23,820.0
2022/03/24,747.0
2022/03/25,749.0
2022/03/26,663.0
2022/03/27,81.0
2022/03/28,1194.0
2022/03/29,841.0
2022/03/30,856.0
2022/03/31,709.0
2022/04/01,765.0
2022/04/02,521.0
2022/04/03,83.0
2022/04/04,1191.0
2022/04/05,820.0
2022/04/06,759.0
2022/04/07,734.0
2022/04/08,664.0
2022/04/09,523.0
2022/04/10,50.0
2022/04/11,1004.0
2022/04/12,623.0
2022/04/13,557.0
2022/04/14,558.0
2022/04/15,558.0
2022/04/16,422.0
2022/04/17,58.0
2022/04/18,65.0
2022/04/19,796.0
2022/04/20,442.0
2022/04/21,434.0
2022/04/22,404.0
2022/04/23,321.0
2022/04/24,23.0
2022/04/25,543.0
2022/04/26,333.0
2022/04/27,337.0
2022/04/28,280.0
2022/04/29,255.0
2022/04/30,216.0
2022/05/01,33.0
2022/05/02,402.0
2022/05/03,277.0
2022/05/04,247.0
2022/05/05,238.0
2022/05/06,216.0
2022/05/07,182.0
2022/05/08,15.0
2022/05/09,349.0
2022/05/10,172.0
2022/05/11,163.0
2022/05/12,142.0
2022/05/13,142.0
2022/05/14,104.0
2022/05/15,18.0
2022/05/16,167.0
2022/05/17,112.0
2022/05/18,92.0
2022/05/19,81.0
2022/05/20,62.0
2022/05/21,50.0
2022/05/22,5.0
2022/05/23,134.0
2022/05/24,62.0
2022/05/25,60.0
2022/05/26,5.0
2022/05/27,80.0
2022/05/28,33.0
2022/05/29,10.0
2022/05/30,103.0
2022/05/31,74.0
2022/06/01,87.0
2022/06/02,84.0
2022/06/03,81.0
2022/06/04,71.0
2022/06/05,10.0
2022/06/06,10.0
2022/06/07,170.0
2022/06/08,115.0
2022/06/09,101.0
2022/06/10,107.0
2022/06/11,82.0
2022/06/12,13.0
2022/06/13,186.0
2022/06/14,124.0
2022/06/15,134.0
2022/06/16,118.0
2022/06/17,112.0
2022/06/18,103.0
2022/06/19,16.0
2022/06/20,251.0
2022/06/21,214.0
2022/06/22,193.0
2022/06/23,185.0
2022/06/24,183.0
2022/06/25,209.0
2022/06/26,23.0
2022/06/27,515.0
2022/06/28,383.0
2022/06/29,450.0
2022/06/30,436.0
2022/07/01,398.0
2022/07/02,299.0
2022/07/03,42.0
2022/07/04,700.0
2022/07/05,524.0
2022/07/06,499.0
2022/07/07,497.0
2022/07/08,474.0
2022/07/09,381.0
2022/07/10,66.0
2022/07/11,829.0
2022/07/12,529.0
2022/07/13,558.0
2022/07/14,52.0
2022/07/15,651.0
2022/07/16,379.0
2022/07/17,57.0
2022/07/18,842.0
2022/07/19,442.0
2022/07/20,430.0
2022/07/21,433.0
2022/07/22,364.0
2022/07/23,284.0
2022/07/24,37.0
2022/07/25,498.0
2022/07/26,326.0
2022/07/27,284.0
2022/07/28,229.0
2022/07/29,247.0
2022/07/30,182.0
2022/07/31,31.0
2022/08/01,388.0
2022/08/02,200.0
2022/08/03,201.0
2022/08/04,152.0
2022/08/05,188.0
2022/08/06,115.0
2022/08/07,20.0
2022/08/08,272.0
2022/08/09,160.0
2022/08/10,158.0
2022/08/11,113.0
2022/08/12,121.0
2022/08/13,106.0
2022/08/14,23.0
2022/08/15,20.0
2022/08/16,220.0
2022/08/17,116.0
2022/08/18,135.0
2022/08/19,114.0
2022/08/20,98.0
2022/08/21,18.0
2022/08/22,188.0
2022/08/23,137.0
2022/08/24,103.0
2022/08/25,96.0
2022/08/26,92.0
2022/08/27,73.0
2022/08/28,11.0
2022/08/29,143.0
2022/08/30,137.0
2022/08/31,118.0
2022/09/01,96.0
2022/09/02,98.0
2022/09/03,66.0
2022/09/04,5.0
2022/09/05,169.0
2022/09/06,138.0
2022/09/07,142.0
2022/09/08,118.0
2022/09/09,133.0
2022/09/10,120.0
2022/09/11,29.0
2022/09/12,323.0
2022/09/13,217.0
2022/09/14,230.0
2022/09/15,225.0
2022/09/16,208.0
2022/09/17,180.0
2022/09/18,26.0
2022/09/19,551.0
2022/09/20,363.0
2022/09/21,387.0
2022/09/22,355.0
2022/09/23,367.0
2022/09/24,293.0
2022/09/25,61.0
2022/09/26,794.0
2022/09/27,492.0
2022/09/28,506.0
2022/09/29,487.0
2022/09/30,493.0
2022/10/01,379.0
2022/10/02,57.0
2022/10/03,919.0
2022/10/04,637.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
