Datas,Pas-de-Calais
2021/08/31,162.0
2021/09/01,167.0
2021/09/02,141.0
2021/09/03,134.0
2021/09/04,98.0
2021/09/05,27.0
2021/09/06,195.0
2021/09/07,144.0
2021/09/08,114.0
2021/09/09,95.0
2021/09/10,114.0
2021/09/11,61.0
2021/09/12,12.0
2021/09/13,120.0
2021/09/14,79.0
2021/09/15,60.0
2021/09/16,57.0
2021/09/17,73.0
2021/09/18,42.0
2021/09/19,10.0
2021/09/20,69.0
2021/09/21,70.0
2021/09/22,49.0
2021/09/23,52.0
2021/09/24,40.0
2021/09/25,37.0
2021/09/26,6.0
2021/09/27,56.0
2021/09/28,41.0
2021/09/29,29.0
2021/09/30,36.0
2021/10/01,56.0
2021/10/02,27.0
2021/10/03,6.0
2021/10/04,70.0
2021/10/05,58.0
2021/10/06,43.0
2021/10/07,63.0
2021/10/08,59.0
2021/10/09,43.0
2021/10/10,11.0
2021/10/11,93.0
2021/10/12,50.0
2021/10/13,66.0
2021/10/14,85.0
2021/10/15,63.0
2021/10/16,36.0
2021/10/17,7.0
2021/10/18,91.0
2021/10/19,67.0
2021/10/20,90.0
2021/10/21,75.0
2021/10/22,67.0
2021/10/23,46.0
2021/10/24,5.0
2021/10/25,92.0
2021/10/26,82.0
2021/10/27,84.0
2021/10/28,92.0
2021/10/29,107.0
2021/10/30,94.0
2021/10/31,16.0
2021/11/01,43.0
2021/11/02,180.0
2021/11/03,131.0
2021/11/04,142.0
2021/11/05,139.0
2021/11/06,140.0
2021/11/07,30.0
2021/11/08,249.0
2021/11/09,224.0
2021/11/10,252.0
2021/11/11,48.0
2021/11/12,357.0
2021/11/13,192.0
2021/11/14,46.0
2021/11/15,381.0
2021/11/16,369.0
2021/11/17,434.0
2021/11/18,463.0
2021/11/19,495.0
2021/11/20,385.0
2021/11/21,70.0
2021/11/22,728.0
2021/11/23,626.0
2021/11/24,651.0
2021/11/25,701.0
2021/11/26,803.0
2021/11/27,554.0
2021/11/28,115.0
2021/11/29,1044.0
2021/11/30,904.0
2021/12/01,874.0
2021/12/02,926.0
2021/12/03,932.0
2021/12/04,659.0
2021/12/05,144.0
2021/12/06,1491.0
2021/12/07,1030.0
2021/12/08,985.0
2021/12/09,923.0
2021/12/10,1037.0
2021/12/11,644.0
2021/12/12,166.0
2021/12/13,1378.0
2021/12/14,1027.0
2021/12/15,840.0
2021/12/16,835.0
2021/12/17,832.0
2021/12/18,504.0
2021/12/19,102.0
2021/12/20,928.0
2021/12/21,710.0
2021/12/22,824.0
2021/12/23,868.0
2021/12/24,846.0
2021/12/25,111.0
2021/12/26,265.0
2021/12/27,2294.0
2021/12/28,2267.0
2021/12/29,2676.0
2021/12/30,3021.0
2021/12/31,2268.0
2022/01/01,389.0
2022/01/02,724.0
2022/01/03,6086.0
2022/01/04,4861.0
2022/01/05,4171.0
2022/01/06,3747.0
2022/01/07,3857.0
2022/01/08,3022.0
2022/01/09,914.0
2022/01/10,6797.0
2022/01/11,5114.0
2022/01/12,5815.0
2022/01/13,5491.0
2022/01/14,5893.0
2022/01/15,4803.0
2022/01/16,1746.0
2022/01/17,10899.0
2022/01/18,8504.0
2022/01/19,9011.0
2022/01/20,8489.0
2022/01/21,8242.0
2022/01/22,6321.0
2022/01/23,2135.0
2022/01/24,13480.0
2022/01/25,9116.0
2022/01/26,9006.0
2022/01/27,8097.0
2022/01/28,7748.0
2022/01/29,5751.0
2022/01/30,1863.0
2022/01/31,11133.0
2022/02/01,6799.0
2022/02/02,6301.0
2022/02/03,5458.0
2022/02/04,4786.0
2022/02/05,3286.0
2022/02/06,875.0
2022/02/07,5258.0
2022/02/08,3178.0
2022/02/09,3175.0
2022/02/10,2675.0
2022/02/11,2616.0
2022/02/12,1825.0
2022/02/13,594.0
2022/02/14,3382.0
2022/02/15,2085.0
2022/02/16,2080.0
2022/02/17,1896.0
2022/02/18,1712.0
2022/02/19,1394.0
2022/02/20,493.0
2022/02/21,2589.0
2022/02/22,1515.0
2022/02/23,1609.0
2022/02/24,1467.0
2022/02/25,1355.0
2022/02/26,927.0
2022/02/27,306.0
2022/02/28,2202.0
2022/03/01,1480.0
2022/03/02,1663.0
2022/03/03,1627.0
2022/03/04,1499.0
2022/03/05,1158.0
2022/03/06,399.0
2022/03/07,2902.0
2022/03/08,1995.0
2022/03/09,2361.0
2022/03/10,2326.0
2022/03/11,2243.0
2022/03/12,1923.0
2022/03/13,580.0
2022/03/14,4320.0
2022/03/15,2779.0
2022/03/16,2987.0
2022/03/17,2807.0
2022/03/18,2724.0
2022/03/19,2344.0
2022/03/20,666.0
2022/03/21,5406.0
2022/03/22,3801.0
2022/03/23,4188.0
2022/03/24,4142.0
2022/03/25,3912.0
2022/03/26,2951.0
2022/03/27,769.0
2022/03/28,6405.0
2022/03/29,4319.0
2022/03/30,4601.0
2022/03/31,3831.0
2022/04/01,3176.0
2022/04/02,2605.0
2022/04/03,690.0
2022/04/04,5785.0
2022/04/05,3750.0
2022/04/06,3921.0
2022/04/07,3419.0
2022/04/08,3189.0
2022/04/09,2165.0
2022/04/10,522.0
2022/04/11,4120.0
2022/04/12,2773.0
2022/04/13,2691.0
2022/04/14,2541.0
2022/04/15,2281.0
2022/04/16,1588.0
2022/04/17,442.0
2022/04/18,621.0
2022/04/19,3236.0
2022/04/20,1890.0
2022/04/21,1804.0
2022/04/22,1634.0
2022/04/23,1214.0
2022/04/24,351.0
2022/04/25,2421.0
2022/04/26,1386.0
2022/04/27,1244.0
2022/04/28,1155.0
2022/04/29,1056.0
2022/04/30,773.0
2022/05/01,178.0
2022/05/02,1719.0
2022/05/03,1084.0
2022/05/04,1096.0
2022/05/05,990.0
2022/05/06,931.0
2022/05/07,720.0
2022/05/08,197.0
2022/05/09,1527.0
2022/05/10,1030.0
2022/05/11,1032.0
2022/05/12,826.0
2022/05/13,773.0
2022/05/14,555.0
2022/05/15,133.0
2022/05/16,1136.0
2022/05/17,730.0
2022/05/18,625.0
2022/05/19,527.0
2022/05/20,526.0
2022/05/21,385.0
2022/05/22,71.0
2022/05/23,715.0
2022/05/24,454.0
2022/05/25,419.0
2022/05/26,89.0
2022/05/27,525.0
2022/05/28,301.0
2022/05/29,91.0
2022/05/30,738.0
2022/05/31,491.0
2022/06/01,482.0
2022/06/02,461.0
2022/06/03,445.0
2022/06/04,355.0
2022/06/05,121.0
2022/06/06,195.0
2022/06/07,1090.0
2022/06/08,746.0
2022/06/09,732.0
2022/06/10,667.0
2022/06/11,499.0
2022/06/12,155.0
2022/06/13,1171.0
2022/06/14,869.0
2022/06/15,937.0
2022/06/16,905.0
2022/06/17,867.0
2022/06/18,580.0
2022/06/19,189.0
2022/06/20,1644.0
2022/06/21,1236.0
2022/06/22,1445.0
2022/06/23,1411.0
2022/06/24,1538.0
2022/06/25,1209.0
2022/06/26,353.0
2022/06/27,2851.0
2022/06/28,2061.0
2022/06/29,2333.0
2022/06/30,2186.0
2022/07/01,2038.0
2022/07/02,1626.0
2022/07/03,524.0
2022/07/04,3994.0
2022/07/05,2803.0
2022/07/06,3167.0
2022/07/07,2872.0
2022/07/08,2719.0
2022/07/09,1934.0
2022/07/10,525.0
2022/07/11,4194.0
2022/07/12,2579.0
2022/07/13,2310.0
2022/07/14,415.0
2022/07/15,2806.0
2022/07/16,1382.0
2022/07/17,411.0
2022/07/18,2795.0
2022/07/19,1637.0
2022/07/20,1625.0
2022/07/21,1570.0
2022/07/22,1582.0
2022/07/23,1054.0
2022/07/24,257.0
2022/07/25,1990.0
2022/07/26,1267.0
2022/07/27,1061.0
2022/07/28,970.0
2022/07/29,844.0
2022/07/30,651.0
2022/07/31,204.0
2022/08/01,1253.0
2022/08/02,778.0
2022/08/03,688.0
2022/08/04,630.0
2022/08/05,542.0
2022/08/06,407.0
2022/08/07,135.0
2022/08/08,819.0
2022/08/09,565.0
2022/08/10,520.0
2022/08/11,483.0
2022/08/12,451.0
2022/08/13,286.0
2022/08/14,92.0
2022/08/15,151.0
