Datas,Haute-Saône
2022/04/01,526.0
2022/04/02,320.0
2022/04/03,40.0
2022/04/04,870.0
2022/04/05,608.0
2022/04/06,635.0
2022/04/07,564.0
2022/04/08,520.0
2022/04/09,360.0
2022/04/10,59.0
2022/04/11,850.0
2022/04/12,476.0
2022/04/13,511.0
2022/04/14,434.0
2022/04/15,394.0
2022/04/16,346.0
2022/04/17,29.0
2022/04/18,40.0
2022/04/19,703.0
2022/04/20,315.0
2022/04/21,335.0
2022/04/22,310.0
2022/04/23,216.0
2022/04/24,28.0
2022/04/25,392.0
2022/04/26,230.0
2022/04/27,233.0
2022/04/28,186.0
2022/04/29,197.0
2022/04/30,125.0
2022/05/01,14.0
2022/05/02,296.0
2022/05/03,170.0
2022/05/04,150.0
2022/05/05,158.0
2022/05/06,133.0
2022/05/07,79.0
2022/05/08,15.0
2022/05/09,189.0
2022/05/10,113.0
2022/05/11,108.0
2022/05/12,119.0
2022/05/13,113.0
2022/05/14,62.0
2022/05/15,10.0
2022/05/16,142.0
2022/05/17,88.0
2022/05/18,84.0
2022/05/19,88.0
2022/05/20,84.0
2022/05/21,37.0
2022/05/22,11.0
2022/05/23,90.0
2022/05/24,61.0
2022/05/25,49.0
2022/05/26,12.0
2022/05/27,77.0
2022/05/28,39.0
2022/05/29,2.0
2022/05/30,88.0
2022/05/31,60.0
2022/06/01,56.0
2022/06/02,78.0
2022/06/03,60.0
2022/06/04,55.0
2022/06/05,7.0
2022/06/06,13.0
2022/06/07,168.0
2022/06/08,104.0
2022/06/09,108.0
2022/06/10,88.0
2022/06/11,80.0
2022/06/12,11.0
2022/06/13,204.0
2022/06/14,103.0
2022/06/15,125.0
2022/06/16,123.0
2022/06/17,139.0
2022/06/18,117.0
2022/06/19,16.0
2022/06/20,265.0
2022/06/21,190.0
2022/06/22,182.0
2022/06/23,162.0
2022/06/24,153.0
2022/06/25,148.0
2022/06/26,14.0
2022/06/27,346.0
2022/06/28,330.0
2022/06/29,337.0
2022/06/30,272.0
2022/07/01,337.0
2022/07/02,205.0
2022/07/03,31.0
2022/07/04,564.0
2022/07/05,434.0
2022/07/06,389.0
2022/07/07,391.0
2022/07/08,356.0
2022/07/09,298.0
2022/07/10,28.0
2022/07/11,633.0
2022/07/12,335.0
2022/07/13,355.0
2022/07/14,29.0
