Datas,Haut-Rhin
2022/02/14,1907.0
2022/02/15,1166.0
2022/02/16,1103.0
2022/02/17,938.0
2022/02/18,982.0
2022/02/19,742.0
2022/02/20,259.0
2022/02/21,1346.0
2022/02/22,773.0
2022/02/23,847.0
2022/02/24,748.0
2022/02/25,686.0
2022/02/26,556.0
2022/02/27,127.0
2022/02/28,1115.0
2022/03/01,674.0
2022/03/02,822.0
2022/03/03,746.0
2022/03/04,672.0
2022/03/05,611.0
2022/03/06,151.0
2022/03/07,1454.0
2022/03/08,916.0
2022/03/09,1086.0
2022/03/10,1064.0
2022/03/11,1063.0
2022/03/12,843.0
2022/03/13,209.0
2022/03/14,2221.0
2022/03/15,1377.0
2022/03/16,1528.0
2022/03/17,1511.0
2022/03/18,1489.0
2022/03/19,1235.0
2022/03/20,290.0
2022/03/21,3035.0
2022/03/22,1963.0
2022/03/23,2112.0
2022/03/24,1925.0
2022/03/25,1828.0
2022/03/26,1347.0
2022/03/27,329.0
2022/03/28,3216.0
2022/03/29,2086.0
2022/03/30,1971.0
2022/03/31,1751.0
2022/04/01,1588.0
2022/04/02,1078.0
2022/04/03,241.0
2022/04/04,2716.0
2022/04/05,1634.0
2022/04/06,1758.0
2022/04/07,1527.0
2022/04/08,1503.0
2022/04/09,1038.0
2022/04/10,178.0
2022/04/11,2145.0
2022/04/12,1280.0
2022/04/13,1282.0
2022/04/14,1280.0
2022/04/15,213.0
2022/04/16,1265.0
2022/04/17,201.0
2022/04/18,217.0
2022/04/19,1891.0
2022/04/20,1045.0
2022/04/21,909.0
2022/04/22,793.0
2022/04/23,577.0
2022/04/24,149.0
2022/04/25,1109.0
2022/04/26,685.0
2022/04/27,644.0
2022/04/28,543.0
2022/04/29,491.0
2022/04/30,367.0
2022/05/01,89.0
2022/05/02,773.0
2022/05/03,508.0
2022/05/04,460.0
2022/05/05,462.0
2022/05/06,422.0
2022/05/07,303.0
2022/05/08,75.0
2022/05/09,633.0
2022/05/10,412.0
2022/05/11,358.0
2022/05/12,340.0
2022/05/13,312.0
2022/05/14,208.0
2022/05/15,50.0
2022/05/16,431.0
2022/05/17,286.0
2022/05/18,230.0
2022/05/19,213.0
2022/05/20,177.0
2022/05/21,128.0
2022/05/22,21.0
2022/05/23,255.0
2022/05/24,164.0
2022/05/25,127.0
2022/05/26,20.0
2022/05/27,212.0
2022/05/28,135.0
2022/05/29,35.0
2022/05/30,306.0
2022/05/31,215.0
2022/06/01,203.0
2022/06/02,247.0
2022/06/03,231.0
2022/06/04,172.0
2022/06/05,46.0
2022/06/06,81.0
2022/06/07,531.0
2022/06/08,351.0
2022/06/09,313.0
2022/06/10,290.0
2022/06/11,218.0
2022/06/12,61.0
2022/06/13,622.0
2022/06/14,439.0
2022/06/15,448.0
2022/06/16,427.0
2022/06/17,462.0
2022/06/18,338.0
2022/06/19,61.0
2022/06/20,781.0
2022/06/21,541.0
2022/06/22,612.0
2022/06/23,612.0
2022/06/24,633.0
2022/06/25,521.0
2022/06/26,83.0
2022/06/27,1318.0
2022/06/28,1034.0
2022/06/29,1144.0
2022/06/30,1074.0
2022/07/01,1018.0
2022/07/02,792.0
2022/07/03,143.0
2022/07/04,1974.0
2022/07/05,1348.0
2022/07/06,1334.0
2022/07/07,1178.0
2022/07/08,999.0
2022/07/09,772.0
2022/07/10,159.0
2022/07/11,1766.0
2022/07/12,1096.0
2022/07/13,1140.0
2022/07/14,122.0
2022/07/15,1312.0
2022/07/16,664.0
2022/07/17,134.0
2022/07/18,1644.0
2022/07/19,888.0
2022/07/20,843.0
2022/07/21,764.0
2022/07/22,764.0
2022/07/23,503.0
2022/07/24,105.0
2022/07/25,1158.0
2022/07/26,647.0
2022/07/27,676.0
2022/07/28,544.0
2022/07/29,556.0
2022/07/30,420.0
2022/07/31,87.0
2022/08/01,973.0
2022/08/02,727.0
2022/08/03,737.0
2022/08/04,619.0
2022/08/05,632.0
2022/08/06,387.0
2022/08/07,53.0
2022/08/08,881.0
2022/08/09,452.0
2022/08/10,417.0
2022/08/11,389.0
2022/08/12,363.0
2022/08/13,286.0
2022/08/14,52.0
2022/08/15,97.0
2022/08/16,665.0
2022/08/17,383.0
2022/08/18,368.0
2022/08/19,311.0
2022/08/20,211.0
2022/08/21,46.0
2022/08/22,515.0
2022/08/23,290.0
2022/08/24,268.0
2022/08/25,257.0
2022/08/26,214.0
2022/08/27,173.0
2022/08/28,33.0
2022/08/29,422.0
2022/08/30,226.0
2022/08/31,249.0
2022/09/01,213.0
2022/09/02,193.0
2022/09/03,167.0
2022/09/04,40.0
2022/09/05,398.0
2022/09/06,259.0
2022/09/07,235.0
2022/09/08,251.0
2022/09/09,241.0
2022/09/10,206.0
2022/09/11,35.0
2022/09/12,552.0
2022/09/13,387.0
2022/09/14,368.0
2022/09/15,357.0
2022/09/16,311.0
2022/09/17,249.0
2022/09/18,41.0
2022/09/19,624.0
2022/09/20,396.0
2022/09/21,395.0
2022/09/22,440.0
2022/09/23,464.0
2022/09/24,375.0
2022/09/25,56.0
2022/09/26,1060.0
2022/09/27,571.0
2022/09/28,668.0
2022/09/29,655.0
2022/09/30,615.0
2022/10/01,469.0
2022/10/02,78.0
2022/10/03,1250.0
2022/10/04,846.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
