Datas,Lot-et-Garonne
2022/01/10,1336.0
2022/01/11,1044.0
2022/01/12,1004.0
2022/01/13,1014.0
2022/01/14,1092.0
2022/01/15,856.0
2022/01/16,190.0
2022/01/17,1860.0
2022/01/18,1508.0
2022/01/19,1550.0
2022/01/20,1519.0
2022/01/21,1716.0
2022/01/22,1391.0
2022/01/23,291.0
2022/01/24,2702.0
2022/01/25,2094.0
2022/01/26,1935.0
2022/01/27,1882.0
2022/01/28,1853.0
2022/01/29,1354.0
2022/01/30,423.0
2022/01/31,2602.0
2022/02/01,2062.0
2022/02/02,1923.0
2022/02/03,1763.0
2022/02/04,1516.0
2022/02/05,1110.0
2022/02/06,296.0
2022/02/07,2157.0
2022/02/08,1392.0
2022/02/09,1242.0
2022/02/10,1147.0
2022/02/11,981.0
2022/02/12,620.0
2022/02/13,159.0
2022/02/14,1236.0
2022/02/15,810.0
2022/02/16,724.0
2022/02/17,621.0
2022/02/18,555.0
2022/02/19,468.0
2022/02/20,99.0
2022/02/21,783.0
2022/02/22,513.0
2022/02/23,495.0
2022/02/24,414.0
2022/02/25,394.0
2022/02/26,286.0
2022/02/27,57.0
2022/02/28,674.0
2022/03/01,435.0
2022/03/02,440.0
2022/03/03,398.0
2022/03/04,396.0
2022/03/05,283.0
2022/03/06,72.0
2022/03/07,711.0
2022/03/08,465.0
2022/03/09,501.0
2022/03/10,507.0
2022/03/11,477.0
2022/03/12,359.0
2022/03/13,83.0
2022/03/14,822.0
2022/03/15,538.0
2022/03/16,595.0
2022/03/17,521.0
2022/03/18,543.0
2022/03/19,345.0
2022/03/20,86.0
2022/03/21,864.0
2022/03/22,527.0
2022/03/23,517.0
2022/03/24,526.0
2022/03/25,548.0
2022/03/26,364.0
2022/03/27,75.0
2022/03/28,943.0
2022/03/29,657.0
2022/03/30,632.0
2022/03/31,562.0
2022/04/01,571.0
2022/04/02,369.0
2022/04/03,73.0
2022/04/04,739.0
2022/04/05,560.0
2022/04/06,580.0
2022/04/07,541.0
2022/04/08,484.0
2022/04/09,348.0
2022/04/10,53.0
2022/04/11,786.0
2022/04/12,519.0
2022/04/13,443.0
2022/04/14,414.0
2022/04/15,416.0
2022/04/16,265.0
2022/04/17,38.0
2022/04/18,51.0
2022/04/19,561.0
2022/04/20,341.0
2022/04/21,287.0
2022/04/22,262.0
2022/04/23,167.0
2022/04/24,26.0
2022/04/25,322.0
2022/04/26,229.0
2022/04/27,198.0
2022/04/28,180.0
