Datas,Charente-Maritime
2021/08/21,81.0
2021/08/22,21.0
2021/08/23,175.0
2021/08/24,107.0
2021/08/25,113.0
2021/08/26,102.0
2021/08/27,69.0
2021/08/28,64.0
2021/08/29,14.0
2021/08/30,89.0
2021/08/31,65.0
2021/09/01,58.0
2021/09/02,73.0
2021/09/03,58.0
2021/09/04,35.0
2021/09/05,11.0
2021/09/06,94.0
2021/09/07,47.0
2021/09/08,52.0
2021/09/09,59.0
2021/09/10,59.0
2021/09/11,28.0
2021/09/12,7.0
2021/09/13,71.0
2021/09/14,42.0
2021/09/15,42.0
2021/09/16,23.0
2021/09/17,36.0
2021/09/18,22.0
2021/09/19,7.0
2021/09/20,55.0
2021/09/21,21.0
2021/09/22,32.0
2021/09/23,26.0
2021/09/24,54.0
2021/09/25,18.0
2021/09/26,6.0
2021/09/27,33.0
2021/09/28,36.0
2021/09/29,23.0
2021/09/30,26.0
2021/10/01,36.0
2021/10/02,16.0
2021/10/03,8.0
2021/10/04,38.0
2021/10/05,37.0
2021/10/06,24.0
2021/10/07,33.0
2021/10/08,35.0
2021/10/09,18.0
2021/10/10,8.0
2021/10/11,43.0
2021/10/12,56.0
2021/10/13,36.0
2021/10/14,33.0
2021/10/15,53.0
2021/10/16,24.0
2021/10/17,15.0
2021/10/18,72.0
2021/10/19,77.0
2021/10/20,54.0
2021/10/21,63.0
2021/10/22,52.0
2021/10/23,25.0
2021/10/24,5.0
2021/10/25,42.0
2021/10/26,41.0
2021/10/27,35.0
2021/10/28,38.0
2021/10/29,63.0
2021/10/30,30.0
2021/10/31,12.0
2021/11/01,16.0
2021/11/02,67.0
2021/11/03,66.0
2021/11/04,46.0
2021/11/05,86.0
2021/11/06,51.0
2021/11/07,16.0
2021/11/08,95.0
2021/11/09,73.0
2021/11/10,78.0
2021/11/11,24.0
2021/11/12,119.0
2021/11/13,95.0
2021/11/14,17.0
2021/11/15,130.0
2021/11/16,130.0
2021/11/17,149.0
2021/11/18,156.0
2021/11/19,157.0
2021/11/20,109.0
2021/11/21,29.0
2021/11/22,225.0
2021/11/23,206.0
2021/11/24,214.0
2021/11/25,261.0
2021/11/26,279.0
2021/11/27,168.0
2021/11/28,46.0
2021/11/29,448.0
2021/11/30,351.0
2021/12/01,321.0
2021/12/02,395.0
2021/12/03,378.0
2021/12/04,265.0
2021/12/05,63.0
2021/12/06,463.0
2021/12/07,425.0
2021/12/08,361.0
2021/12/09,348.0
2021/12/10,322.0
2021/12/11,215.0
2021/12/12,77.0
2021/12/13,392.0
2021/12/14,267.0
2021/12/15,282.0
2021/12/16,266.0
2021/12/17,284.0
2021/12/18,155.0
2021/12/19,53.0
2021/12/20,361.0
2021/12/21,384.0
2021/12/22,438.0
2021/12/23,465.0
2021/12/24,470.0
2021/12/25,84.0
2021/12/26,229.0
2021/12/27,1198.0
2021/12/28,1170.0
2021/12/29,1282.0
2021/12/30,1313.0
2021/12/31,1145.0
2022/01/01,187.0
2022/01/02,436.0
2022/01/03,2652.0
2022/01/04,2247.0
2022/01/05,1778.0
2022/01/06,1709.0
2022/01/07,1677.0
2022/01/08,1077.0
2022/01/09,543.0
2022/01/10,2900.0
2022/01/11,2211.0
2022/01/12,2280.0
2022/01/13,2028.0
2022/01/14,2138.0
2022/01/15,1419.0
2022/01/16,732.0
2022/01/17,4275.0
2022/01/18,3589.0
2022/01/19,3555.0
2022/01/20,3384.0
2022/01/21,3515.0
2022/01/22,2364.0
2022/01/23,1071.0
2022/01/24,6061.0
2022/01/25,4252.0
2022/01/26,3977.0
2022/01/27,3633.0
2022/01/28,3603.0
2022/01/29,2485.0
2022/01/30,1140.0
2022/01/31,5779.0
2022/02/01,4088.0
2022/02/02,3625.0
2022/02/03,3162.0
2022/02/04,2841.0
2022/02/05,1798.0
2022/02/06,779.0
2022/02/07,3790.0
2022/02/08,2311.0
2022/02/09,2073.0
2022/02/10,1811.0
2022/02/11,1571.0
2022/02/12,983.0
2022/02/13,359.0
2022/02/14,1941.0
2022/02/15,1239.0
2022/02/16,1194.0
2022/02/17,1005.0
2022/02/18,1058.0
2022/02/19,643.0
2022/02/20,186.0
2022/02/21,1201.0
2022/02/22,887.0
2022/02/23,789.0
2022/02/24,762.0
2022/02/25,652.0
2022/02/26,497.0
2022/02/27,169.0
2022/02/28,1079.0
2022/03/01,644.0
2022/03/02,687.0
2022/03/03,656.0
2022/03/04,530.0
2022/03/05,338.0
2022/03/06,150.0
2022/03/07,991.0
2022/03/08,690.0
2022/03/09,748.0
2022/03/10,793.0
2022/03/11,768.0
2022/03/12,600.0
2022/03/13,194.0
2022/03/14,1411.0
2022/03/15,1058.0
2022/03/16,1046.0
2022/03/17,985.0
2022/03/18,963.0
2022/03/19,606.0
2022/03/20,266.0
2022/03/21,1693.0
2022/03/22,1141.0
2022/03/23,1292.0
2022/03/24,1213.0
2022/03/25,1071.0
2022/03/26,706.0
2022/03/27,273.0
2022/03/28,1936.0
2022/03/29,1216.0
2022/03/30,1235.0
2022/03/31,1060.0
2022/04/01,1068.0
2022/04/02,697.0
2022/04/03,256.0
2022/04/04,1684.0
2022/04/05,1301.0
2022/04/06,1239.0
2022/04/07,1220.0
2022/04/08,1160.0
2022/04/09,749.0
2022/04/10,243.0
2022/04/11,1826.0
2022/04/12,1123.0
2022/04/13,1114.0
2022/04/14,955.0
2022/04/15,974.0
2022/04/16,546.0
2022/04/17,148.0
2022/04/18,247.0
2022/04/19,1226.0
2022/04/20,823.0
2022/04/21,727.0
2022/04/22,672.0
2022/04/23,379.0
2022/04/24,129.0
2022/04/25,890.0
2022/04/26,574.0
2022/04/27,478.0
2022/04/28,444.0
2022/04/29,372.0
2022/04/30,204.0
2022/05/01,71.0
2022/05/02,542.0
2022/05/03,305.0
2022/05/04,320.0
2022/05/05,239.0
2022/05/06,261.0
2022/05/07,179.0
2022/05/08,47.0
2022/05/09,452.0
2022/05/10,278.0
2022/05/11,264.0
2022/05/12,235.0
2022/05/13,196.0
2022/05/14,142.0
2022/05/15,55.0
2022/05/16,318.0
2022/05/17,227.0
2022/05/18,186.0
