Datas,Haute-Vienne
2022/05/06,153.0
2022/05/07,110.0
2022/05/08,21.0
2022/05/09,236.0
2022/05/10,147.0
2022/05/11,155.0
2022/05/12,135.0
2022/05/13,129.0
2022/05/14,103.0
2022/05/15,9.0
2022/05/16,214.0
2022/05/17,124.0
2022/05/18,114.0
2022/05/19,129.0
2022/05/20,112.0
2022/05/21,104.0
2022/05/22,8.0
2022/05/23,189.0
2022/05/24,110.0
2022/05/25,136.0
2022/05/26,25.0
2022/05/27,177.0
2022/05/28,103.0
2022/05/29,33.0
2022/05/30,298.0
2022/05/31,178.0
2022/06/01,215.0
2022/06/02,156.0
2022/06/03,172.0
2022/06/04,139.0
2022/06/05,26.0
2022/06/06,42.0
2022/06/07,466.0
2022/06/08,276.0
2022/06/09,243.0
2022/06/10,269.0
2022/06/11,224.0
2022/06/12,30.0
2022/06/13,501.0
2022/06/14,298.0
2022/06/15,322.0
2022/06/16,263.0
2022/06/17,277.0
2022/06/18,218.0
2022/06/19,52.0
2022/06/20,639.0
2022/06/21,395.0
2022/06/22,401.0
2022/06/23,426.0
2022/06/24,382.0
2022/06/25,339.0
2022/06/26,62.0
2022/06/27,828.0
2022/06/28,646.0
2022/06/29,697.0
2022/06/30,673.0
2022/07/01,653.0
2022/07/02,490.0
2022/07/03,95.0
2022/07/04,1322.0
2022/07/05,844.0
2022/07/06,889.0
2022/07/07,750.0
2022/07/08,651.0
2022/07/09,477.0
2022/07/10,74.0
2022/07/11,1009.0
2022/07/12,584.0
2022/07/13,553.0
2022/07/14,92.0
2022/07/15,655.0
2022/07/16,320.0
2022/07/17,56.0
2022/07/18,686.0
2022/07/19,406.0
2022/07/20,387.0
2022/07/21,346.0
2022/07/22,323.0
2022/07/23,210.0
2022/07/24,39.0
2022/07/25,389.0
2022/07/26,298.0
2022/07/27,244.0
2022/07/28,188.0
2022/07/29,191.0
2022/07/30,141.0
2022/07/31,23.0
2022/08/01,252.0
2022/08/02,181.0
2022/08/03,128.0
2022/08/04,136.0
2022/08/05,114.0
2022/08/06,90.0
2022/08/07,17.0
2022/08/08,159.0
2022/08/09,117.0
2022/08/10,114.0
2022/08/11,84.0
2022/08/12,98.0
2022/08/13,85.0
2022/08/14,15.0
2022/08/15,13.0
2022/08/16,175.0
2022/08/17,110.0
2022/08/18,87.0
2022/08/19,84.0
2022/08/20,94.0
2022/08/21,18.0
2022/08/22,139.0
2022/08/23,94.0
2022/08/24,74.0
2022/08/25,77.0
2022/08/26,82.0
2022/08/27,59.0
2022/08/28,8.0
2022/08/29,119.0
2022/08/30,72.0
2022/08/31,86.0
2022/09/01,69.0
2022/09/02,59.0
2022/09/03,48.0
2022/09/04,11.0
2022/09/05,138.0
2022/09/06,83.0
2022/09/07,93.0
2022/09/08,62.0
2022/09/09,83.0
2022/09/10,49.0
2022/09/11,11.0
2022/09/12,177.0
2022/09/13,130.0
2022/09/14,125.0
2022/09/15,132.0
2022/09/16,108.0
2022/09/17,97.0
2022/09/18,22.0
2022/09/19,241.0
2022/09/20,162.0
2022/09/21,170.0
2022/09/22,153.0
2022/09/23,183.0
2022/09/24,181.0
2022/09/25,32.0
2022/09/26,467.0
2022/09/27,339.0
2022/09/28,313.0
2022/09/29,315.0
2022/09/30,317.0
2022/10/01,259.0
2022/10/02,42.0
2022/10/03,655.0
2022/10/04,385.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
