Datas,Loir-et-Cher
2021/11/20,52.0
2021/11/21,12.0
2021/11/22,105.0
2021/11/23,82.0
2021/11/24,72.0
2021/11/25,75.0
2021/11/26,82.0
2021/11/27,61.0
2021/11/28,5.0
2021/11/29,138.0
2021/11/30,109.0
2021/12/01,100.0
2021/12/02,82.0
2021/12/03,96.0
2021/12/04,64.0
2021/12/05,6.0
2021/12/06,136.0
2021/12/07,98.0
2021/12/08,128.0
2021/12/09,115.0
2021/12/10,114.0
2021/12/11,80.0
2021/12/12,13.0
2021/12/13,129.0
2021/12/14,93.0
2021/12/15,112.0
2021/12/16,106.0
2021/12/17,116.0
2021/12/18,82.0
2021/12/19,13.0
2021/12/20,150.0
2021/12/21,156.0
2021/12/22,170.0
2021/12/23,165.0
2021/12/24,189.0
2021/12/25,30.0
2021/12/26,23.0
2021/12/27,495.0
2021/12/28,520.0
2021/12/29,545.0
2021/12/30,631.0
2021/12/31,526.0
2022/01/01,62.0
2022/01/02,130.0
2022/01/03,1232.0
2022/01/04,1021.0
2022/01/05,1028.0
2022/01/06,909.0
2022/01/07,750.0
2022/01/08,585.0
2022/01/09,89.0
2022/01/10,1343.0
2022/01/11,1134.0
2022/01/12,1143.0
2022/01/13,1063.0
2022/01/14,1138.0
2022/01/15,843.0
2022/01/16,203.0
2022/01/17,1936.0
2022/01/18,1637.0
2022/01/19,1616.0
2022/01/20,1677.0
2022/01/21,1604.0
2022/01/22,1169.0
2022/01/23,401.0
2022/01/24,2386.0
2022/01/25,1720.0
2022/01/26,1629.0
2022/01/27,1593.0
2022/01/28,1545.0
2022/01/29,995.0
2022/01/30,333.0
2022/01/31,2265.0
2022/02/01,1427.0
2022/02/02,1292.0
2022/02/03,1161.0
2022/02/04,1097.0
2022/02/05,668.0
2022/02/06,197.0
2022/02/07,1105.0
2022/02/08,705.0
2022/02/09,698.0
2022/02/10,620.0
2022/02/11,513.0
2022/02/12,386.0
2022/02/13,110.0
2022/02/14,687.0
2022/02/15,426.0
2022/02/16,424.0
2022/02/17,350.0
2022/02/18,333.0
2022/02/19,247.0
2022/02/20,71.0
2022/02/21,451.0
2022/02/22,306.0
2022/02/23,333.0
2022/02/24,257.0
2022/02/25,229.0
2022/02/26,198.0
2022/02/27,50.0
2022/02/28,389.0
2022/03/01,250.0
2022/03/02,306.0
2022/03/03,267.0
2022/03/04,276.0
2022/03/05,197.0
2022/03/06,45.0
2022/03/07,462.0
2022/03/08,301.0
2022/03/09,331.0
2022/03/10,360.0
2022/03/11,333.0
2022/03/12,259.0
2022/03/13,47.0
2022/03/14,622.0
2022/03/15,447.0
2022/03/16,379.0
2022/03/17,451.0
2022/03/18,433.0
2022/03/19,312.0
2022/03/20,85.0
2022/03/21,911.0
2022/03/22,745.0
2022/03/23,708.0
2022/03/24,630.0
2022/03/25,601.0
2022/03/26,504.0
2022/03/27,94.0
2022/03/28,1157.0
2022/03/29,808.0
2022/03/30,819.0
2022/03/31,800.0
2022/04/01,643.0
2022/04/02,493.0
2022/04/03,84.0
2022/04/04,1160.0
2022/04/05,849.0
2022/04/06,911.0
2022/04/07,833.0
2022/04/08,787.0
2022/04/09,584.0
2022/04/10,63.0
2022/04/11,1041.0
2022/04/12,697.0
2022/04/13,700.0
2022/04/14,702.0
2022/04/15,584.0
2022/04/16,397.0
2022/04/17,63.0
2022/04/18,72.0
2022/04/19,840.0
2022/04/20,495.0
2022/04/21,448.0
2022/04/22,435.0
2022/04/23,282.0
2022/04/24,36.0
2022/04/25,585.0
2022/04/26,383.0
2022/04/27,340.0
2022/04/28,287.0
2022/04/29,257.0
2022/04/30,198.0
2022/05/01,36.0
2022/05/02,384.0
2022/05/03,246.0
2022/05/04,241.0
2022/05/05,249.0
2022/05/06,195.0
2022/05/07,159.0
2022/05/08,19.0
2022/05/09,370.0
2022/05/10,265.0
2022/05/11,230.0
2022/05/12,173.0
2022/05/13,160.0
2022/05/14,100.0
2022/05/15,23.0
2022/05/16,262.0
2022/05/17,189.0
2022/05/18,178.0
2022/05/19,143.0
2022/05/20,129.0
2022/05/21,72.0
2022/05/22,14.0
2022/05/23,188.0
2022/05/24,134.0
2022/05/25,102.0
2022/05/26,20.0
2022/05/27,161.0
2022/05/28,67.0
2022/05/29,8.0
2022/05/30,212.0
2022/05/31,122.0
2022/06/01,115.0
2022/06/02,120.0
2022/06/03,123.0
2022/06/04,75.0
2022/06/05,23.0
2022/06/06,47.0
2022/06/07,305.0
2022/06/08,201.0
2022/06/09,198.0
2022/06/10,171.0
2022/06/11,131.0
2022/06/12,21.0
2022/06/13,352.0
2022/06/14,289.0
2022/06/15,261.0
2022/06/16,266.0
2022/06/17,266.0
2022/06/18,180.0
2022/06/19,37.0
2022/06/20,506.0
2022/06/21,357.0
2022/06/22,380.0
2022/06/23,385.0
2022/06/24,318.0
2022/06/25,230.0
2022/06/26,30.0
2022/06/27,625.0
2022/06/28,508.0
2022/06/29,564.0
2022/06/30,542.0
2022/07/01,522.0
2022/07/02,374.0
2022/07/03,54.0
2022/07/04,1068.0
2022/07/05,656.0
2022/07/06,655.0
2022/07/07,597.0
2022/07/08,529.0
2022/07/09,400.0
2022/07/10,60.0
2022/07/11,847.0
2022/07/12,499.0
2022/07/13,471.0
2022/07/14,84.0
2022/07/15,577.0
2022/07/16,288.0
2022/07/17,57.0
2022/07/18,690.0
2022/07/19,388.0
2022/07/20,380.0
2022/07/21,318.0
2022/07/22,301.0
2022/07/23,221.0
2022/07/24,34.0
2022/07/25,419.0
2022/07/26,245.0
2022/07/27,246.0
