Datas,Savoie
2021/11/15,209.0
2021/11/16,154.0
2021/11/17,136.0
2021/11/18,192.0
2021/11/19,174.0
2021/11/20,139.0
2021/11/21,29.0
2021/11/22,339.0
2021/11/23,284.0
2021/11/24,280.0
2021/11/25,313.0
2021/11/26,343.0
2021/11/27,228.0
2021/11/28,66.0
2021/11/29,501.0
2021/11/30,417.0
2021/12/01,410.0
2021/12/02,456.0
2021/12/03,472.0
2021/12/04,288.0
2021/12/05,69.0
2021/12/06,662.0
2021/12/07,492.0
2021/12/08,453.0
2021/12/09,519.0
2021/12/10,394.0
2021/12/11,302.0
2021/12/12,86.0
2021/12/13,666.0
2021/12/14,567.0
2021/12/15,507.0
2021/12/16,572.0
2021/12/17,586.0
2021/12/18,368.0
2021/12/19,178.0
2021/12/20,894.0
2021/12/21,882.0
2021/12/22,926.0
2021/12/23,973.0
2021/12/24,890.0
2021/12/25,351.0
2021/12/26,528.0
2021/12/27,1899.0
2021/12/28,1887.0
2021/12/29,1850.0
2021/12/30,1976.0
2021/12/31,1606.0
2022/01/01,445.0
2022/01/02,849.0
2022/01/03,3312.0
2022/01/04,3135.0
2022/01/05,3169.0
2022/01/06,2683.0
2022/01/07,2690.0
2022/01/08,1764.0
2022/01/09,950.0
2022/01/10,3741.0
2022/01/11,2810.0
2022/01/12,2797.0
2022/01/13,2640.0
2022/01/14,2725.0
2022/01/15,1810.0
2022/01/16,874.0
2022/01/17,4003.0
2022/01/18,2958.0
2022/01/19,2834.0
2022/01/20,2749.0
2022/01/21,2527.0
2022/01/22,1648.0
2022/01/23,777.0
2022/01/24,3169.0
2022/01/25,2383.0
2022/01/26,2187.0
2022/01/27,1973.0
2022/01/28,1844.0
2022/01/29,1115.0
2022/01/30,451.0
2022/01/31,2294.0
2022/02/01,1478.0
2022/02/02,1336.0
2022/02/03,1207.0
2022/02/04,1145.0
2022/02/05,730.0
2022/02/06,302.0
2022/02/07,1388.0
2022/02/08,886.0
2022/02/09,775.0
2022/02/10,686.0
2022/02/11,613.0
2022/02/12,429.0
2022/02/13,152.0
2022/02/14,781.0
2022/02/15,482.0
2022/02/16,427.0
2022/02/17,394.0
2022/02/18,390.0
2022/02/19,261.0
2022/02/20,97.0
2022/02/21,422.0
2022/02/22,299.0
2022/02/23,282.0
2022/02/24,279.0
2022/02/25,256.0
2022/02/26,215.0
2022/02/27,81.0
2022/02/28,383.0
2022/03/01,237.0
2022/03/02,217.0
2022/03/03,220.0
2022/03/04,210.0
2022/03/05,165.0
2022/03/06,50.0
2022/03/07,304.0
2022/03/08,250.0
2022/03/09,244.0
2022/03/10,235.0
2022/03/11,251.0
2022/03/12,214.0
2022/03/13,95.0
2022/03/14,507.0
2022/03/15,359.0
2022/03/16,378.0
2022/03/17,420.0
2022/03/18,407.0
2022/03/19,283.0
2022/03/20,88.0
2022/03/21,801.0
2022/03/22,607.0
2022/03/23,620.0
2022/03/24,623.0
2022/03/25,592.0
2022/03/26,433.0
2022/03/27,133.0
2022/03/28,986.0
2022/03/29,724.0
2022/03/30,738.0
2022/03/31,726.0
2022/04/01,653.0
2022/04/02,422.0
2022/04/03,125.0
2022/04/04,1063.0
2022/04/05,764.0
2022/04/06,836.0
2022/04/07,749.0
2022/04/08,746.0
2022/04/09,554.0
2022/04/10,123.0
2022/04/11,1201.0
2022/04/12,870.0
2022/04/13,782.0
2022/04/14,745.0
2022/04/15,734.0
2022/04/16,498.0
2022/04/17,95.0
2022/04/18,194.0
2022/04/19,1020.0
2022/04/20,539.0
2022/04/21,495.0
2022/04/22,489.0
2022/04/23,316.0
2022/04/24,64.0
2022/04/25,569.0
2022/04/26,327.0
2022/04/27,325.0
2022/04/28,275.0
2022/04/29,289.0
2022/04/30,181.0
2022/05/01,38.0
2022/05/02,450.0
2022/05/03,226.0
2022/05/04,206.0
2022/05/05,210.0
2022/05/06,179.0
2022/05/07,142.0
2022/05/08,46.0
2022/05/09,336.0
2022/05/10,192.0
2022/05/11,183.0
2022/05/12,195.0
2022/05/13,181.0
2022/05/14,94.0
2022/05/15,30.0
2022/05/16,252.0
2022/05/17,146.0
2022/05/18,108.0
2022/05/19,116.0
2022/05/20,112.0
2022/05/21,72.0
2022/05/22,14.0
2022/05/23,150.0
2022/05/24,90.0
2022/05/25,91.0
2022/05/26,10.0
2022/05/27,73.0
2022/05/28,51.0
2022/05/29,14.0
2022/05/30,162.0
2022/05/31,108.0
2022/06/01,99.0
2022/06/02,96.0
2022/06/03,113.0
2022/06/04,91.0
2022/06/05,22.0
2022/06/06,63.0
2022/06/07,275.0
