Datas,Hauts-de-Seine
2021/10/10,44.0
2021/10/11,186.0
2021/10/12,160.0
2021/10/13,153.0
2021/10/14,192.0
2021/10/15,129.0
2021/10/16,105.0
2021/10/17,41.0
2021/10/18,193.0
2021/10/19,161.0
2021/10/20,173.0
2021/10/21,160.0
2021/10/22,161.0
2021/10/23,112.0
2021/10/24,40.0
2021/10/25,201.0
2021/10/26,167.0
2021/10/27,163.0
2021/10/28,193.0
2021/10/29,192.0
2021/10/30,140.0
2021/10/31,55.0
2021/11/01,69.0
2021/11/02,271.0
2021/11/03,203.0
2021/11/04,233.0
2021/11/05,267.0
2021/11/06,212.0
2021/11/07,59.0
2021/11/08,347.0
2021/11/09,277.0
2021/11/10,283.0
2021/11/11,84.0
2021/11/12,380.0
2021/11/13,248.0
2021/11/14,97.0
2021/11/15,551.0
2021/11/16,503.0
2021/11/17,455.0
2021/11/18,540.0
2021/11/19,556.0
2021/11/20,477.0
2021/11/21,158.0
2021/11/22,924.0
2021/11/23,792.0
2021/11/24,869.0
2021/11/25,891.0
2021/11/26,993.0
2021/11/27,767.0
2021/11/28,299.0
2021/11/29,1689.0
2021/11/30,1272.0
2021/12/01,1243.0
2021/12/02,1298.0
2021/12/03,1188.0
2021/12/04,1041.0
2021/12/05,299.0
2021/12/06,1817.0
2021/12/07,1324.0
2021/12/08,1367.0
2021/12/09,1402.0
2021/12/10,1369.0
2021/12/11,1033.0
2021/12/12,334.0
2021/12/13,2113.0
2021/12/14,1715.0
2021/12/15,1845.0
2021/12/16,1955.0
2021/12/17,1988.0
2021/12/18,1673.0
2021/12/19,639.0
2021/12/20,3986.0
2021/12/21,3746.0
2021/12/22,4372.0
2021/12/23,4956.0
2021/12/24,4599.0
2021/12/25,1140.0
2021/12/26,1816.0
2021/12/27,10459.0
2021/12/28,8552.0
2021/12/29,8779.0
2021/12/30,9024.0
2021/12/31,7979.0
2022/01/01,1516.0
2022/01/02,3057.0
2022/01/03,15276.0
2022/01/04,10846.0
2022/01/05,9936.0
