Datas,Seine-et-Marne
2022/07/26,945.0
2022/07/27,753.0
2022/07/28,666.0
2022/07/29,646.0
2022/07/30,488.0
2022/07/31,130.0
2022/08/01,764.0
2022/08/02,556.0
2022/08/03,490.0
2022/08/04,384.0
2022/08/05,367.0
2022/08/06,298.0
2022/08/07,78.0
2022/08/08,503.0
2022/08/09,310.0
2022/08/10,324.0
2022/08/11,331.0
2022/08/12,273.0
2022/08/13,232.0
2022/08/14,76.0
2022/08/15,127.0
2022/08/16,464.0
2022/08/17,290.0
2022/08/18,244.0
2022/08/19,222.0
2022/08/20,210.0
2022/08/21,50.0
2022/08/22,399.0
2022/08/23,278.0
2022/08/24,246.0
2022/08/25,222.0
2022/08/26,300.0
2022/08/27,210.0
2022/08/28,66.0
2022/08/29,400.0
2022/08/30,255.0
2022/08/31,230.0
2022/09/01,234.0
2022/09/02,227.0
2022/09/03,179.0
2022/09/04,55.0
2022/09/05,426.0
2022/09/06,286.0
2022/09/07,291.0
2022/09/08,320.0
2022/09/09,311.0
2022/09/10,228.0
2022/09/11,102.0
2022/09/12,649.0
2022/09/13,615.0
2022/09/14,565.0
2022/09/15,553.0
2022/09/16,547.0
2022/09/17,391.0
2022/09/18,135.0
2022/09/19,837.0
2022/09/20,651.0
2022/09/21,685.0
2022/09/22,699.0
2022/09/23,668.0
2022/09/24,603.0
2022/09/25,174.0
2022/09/26,1401.0
2022/09/27,1006.0
2022/09/28,967.0
2022/09/29,893.0
2022/09/30,889.0
2022/10/01,749.0
2022/10/02,206.0
2022/10/03,1634.0
2022/10/04,1087.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
