Datas,Réunion
2021/12/22,1171.0
2021/12/23,1107.0
2021/12/24,1075.0
2021/12/25,271.0
2021/12/26,484.0
2021/12/27,2286.0
2021/12/28,2330.0
2021/12/29,2634.0
2021/12/30,2427.0
2021/12/31,2059.0
2022/01/01,430.0
2022/01/02,759.0
2022/01/03,4173.0
2022/01/04,3826.0
2022/01/05,3690.0
2022/01/06,3430.0
2022/01/07,3930.0
2022/01/08,2789.0
2022/01/09,1171.0
2022/01/10,6106.0
2022/01/11,5274.0
2022/01/12,5663.0
2022/01/13,5480.0
2022/01/14,5459.0
2022/01/15,3951.0
2022/01/16,1895.0
2022/01/17,9660.0
2022/01/18,8158.0
2022/01/19,7384.0
2022/01/20,6698.0
2022/01/21,7311.0
2022/01/22,5214.0
2022/01/23,2439.0
2022/01/24,10148.0
2022/01/25,7740.0
2022/01/26,7467.0
2022/01/27,6603.0
2022/01/28,6592.0
2022/01/29,4894.0
2022/01/30,2116.0
2022/01/31,9118.0
2022/02/01,6155.0
2022/02/02,3806.0
2022/02/03,141.0
2022/02/04,3617.0
2022/02/05,3874.0
2022/02/06,1572.0
2022/02/07,5782.0
2022/02/08,3388.0
2022/02/09,2903.0
2022/02/10,2357.0
2022/02/11,2180.0
2022/02/12,1676.0
2022/02/13,800.0
2022/02/14,3215.0
2022/02/15,2283.0
2022/02/16,2244.0
2022/02/17,2028.0
2022/02/18,1861.0
2022/02/19,1290.0
2022/02/20,501.0
2022/02/21,2016.0
2022/02/22,1998.0
2022/02/23,1753.0
2022/02/24,1363.0
2022/02/25,1221.0
2022/02/26,922.0
2022/02/27,420.0
2022/02/28,1935.0
2022/03/01,1230.0
2022/03/02,1272.0
2022/03/03,1235.0
2022/03/04,1177.0
2022/03/05,943.0
2022/03/06,465.0
2022/03/07,2081.0
2022/03/08,1379.0
2022/03/09,1487.0
2022/03/10,1339.0
2022/03/11,1309.0
2022/03/12,950.0
2022/03/13,432.0
2022/03/14,1949.0
2022/03/15,1445.0
2022/03/16,1570.0
2022/03/17,1510.0
2022/03/18,1539.0
2022/03/19,1056.0
2022/03/20,487.0
2022/03/21,2281.0
2022/03/22,1847.0
2022/03/23,1956.0
2022/03/24,1719.0
2022/03/25,1809.0
2022/03/26,1349.0
2022/03/27,623.0
2022/03/28,3052.0
2022/03/29,2208.0
2022/03/30,2255.0
2022/03/31,1915.0
2022/04/01,1798.0
2022/04/02,1259.0
2022/04/03,506.0
2022/04/04,3122.0
2022/04/05,2287.0
2022/04/06,2375.0
2022/04/07,2162.0
2022/04/08,2234.0
2022/04/09,1557.0
2022/04/10,626.0
2022/04/11,3938.0
2022/04/12,2614.0
2022/04/13,2504.0
2022/04/14,2351.0
2022/04/15,2184.0
2022/04/16,1588.0
2022/04/17,603.0
2022/04/18,951.0
2022/04/19,4158.0
2022/04/20,2757.0
2022/04/21,2431.0
2022/04/22,1991.0
2022/04/23,1486.0
2022/04/24,551.0
2022/04/25,2958.0
2022/04/26,1895.0
2022/04/27,1794.0
2022/04/28,1588.0
2022/04/29,1602.0
2022/04/30,1045.0
2022/05/01,346.0
2022/05/02,2140.0
2022/05/03,1378.0
2022/05/04,1437.0
2022/05/05,1242.0
2022/05/06,1067.0
2022/05/07,759.0
2022/05/08,250.0
2022/05/09,1566.0
2022/05/10,986.0
2022/05/11,915.0
2022/05/12,844.0
2022/05/13,771.0
2022/05/14,479.0
2022/05/15,162.0
2022/05/16,939.0
2022/05/17,517.0
2022/05/18,601.0
2022/05/19,479.0
2022/05/20,425.0
2022/05/21,304.0
2022/05/22,98.0
2022/05/23,582.0
2022/05/24,397.0
2022/05/25,392.0
2022/05/26,105.0
2022/05/27,505.0
2022/05/28,258.0
2022/05/29,71.0
2022/05/30,564.0
2022/05/31,319.0
2022/06/01,310.0
2022/06/02,267.0
2022/06/03,260.0
2022/06/04,183.0
2022/06/05,79.0
2022/06/06,143.0
2022/06/07,430.0
2022/06/08,289.0
2022/06/09,251.0
2022/06/10,206.0
2022/06/11,171.0
2022/06/12,68.0
2022/06/13,343.0
2022/06/14,227.0
2022/06/15,254.0
2022/06/16,216.0
2022/06/17,215.0
2022/06/18,174.0
2022/06/19,62.0
2022/06/20,358.0
2022/06/21,258.0
2022/06/22,326.0
2022/06/23,304.0
2022/06/24,292.0
2022/06/25,256.0
2022/06/26,86.0
2022/06/27,538.0
2022/06/28,464.0
2022/06/29,440.0
2022/06/30,474.0
