Datas,Bas-Rhin
2022/07/01,1518.0
2022/07/02,1095.0
2022/07/03,228.0
2022/07/04,2613.0
2022/07/05,1751.0
2022/07/06,1871.0
2022/07/07,1588.0
2022/07/08,1576.0
2022/07/09,1267.0
2022/07/10,268.0
2022/07/11,2762.0
2022/07/12,1796.0
2022/07/13,1893.0
2022/07/14,232.0
2022/07/15,2217.0
2022/07/16,1187.0
2022/07/17,267.0
2022/07/18,2539.0
2022/07/19,1553.0
2022/07/20,1439.0
2022/07/21,1351.0
2022/07/22,1267.0
2022/07/23,841.0
2022/07/24,177.0
2022/07/25,1825.0
2022/07/26,1033.0
2022/07/27,917.0
2022/07/28,842.0
2022/07/29,781.0
2022/07/30,602.0
2022/07/31,132.0
2022/08/01,1237.0
2022/08/02,772.0
2022/08/03,828.0
2022/08/04,627.0
2022/08/05,589.0
2022/08/06,449.0
2022/08/07,78.0
2022/08/08,903.0
2022/08/09,578.0
2022/08/10,558.0
2022/08/11,531.0
2022/08/12,476.0
2022/08/13,354.0
2022/08/14,86.0
2022/08/15,75.0
2022/08/16,922.0
2022/08/17,498.0
2022/08/18,468.0
2022/08/19,409.0
2022/08/20,325.0
2022/08/21,62.0
2022/08/22,650.0
2022/08/23,389.0
2022/08/24,413.0
2022/08/25,335.0
2022/08/26,368.0
2022/08/27,284.0
2022/08/28,54.0
2022/08/29,588.0
2022/08/30,341.0
2022/08/31,347.0
2022/09/01,293.0
2022/09/02,301.0
2022/09/03,219.0
2022/09/04,64.0
2022/09/05,673.0
2022/09/06,448.0
2022/09/07,482.0
2022/09/08,445.0
2022/09/09,451.0
2022/09/10,373.0
2022/09/11,84.0
2022/09/12,1062.0
2022/09/13,717.0
2022/09/14,743.0
2022/09/15,714.0
2022/09/16,694.0
2022/09/17,505.0
2022/09/18,79.0
2022/09/19,1362.0
2022/09/20,822.0
2022/09/21,899.0
2022/09/22,878.0
2022/09/23,935.0
2022/09/24,811.0
2022/09/25,174.0
2022/09/26,2009.0
2022/09/27,1354.0
2022/09/28,1313.0
2022/09/29,1278.0
2022/09/30,1274.0
2022/10/01,965.0
2022/10/02,188.0
2022/10/03,2421.0
2022/10/04,1742.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
