Datas,Meuse
2022/01/04,563.0
2022/01/05,471.0
2022/01/06,403.0
2022/01/07,389.0
2022/01/08,309.0
2022/01/09,44.0
2022/01/10,749.0
2022/01/11,479.0
2022/01/12,476.0
2022/01/13,534.0
2022/01/14,566.0
2022/01/15,382.0
2022/01/16,65.0
2022/01/17,1144.0
2022/01/18,833.0
2022/01/19,844.0
2022/01/20,811.0
2022/01/21,854.0
2022/01/22,685.0
2022/01/23,135.0
2022/01/24,1716.0
2022/01/25,1058.0
2022/01/26,1152.0
2022/01/27,953.0
2022/01/28,937.0
2022/01/29,739.0
2022/01/30,108.0
2022/01/31,1624.0
2022/02/01,915.0
2022/02/02,858.0
2022/02/03,751.0
2022/02/04,708.0
2022/02/05,464.0
2022/02/06,72.0
2022/02/07,909.0
2022/02/08,456.0
2022/02/09,422.0
2022/02/10,402.0
2022/02/11,406.0
2022/02/12,284.0
2022/02/13,36.0
2022/02/14,535.0
2022/02/15,323.0
2022/02/16,275.0
2022/02/17,324.0
2022/02/18,271.0
2022/02/19,205.0
2022/02/20,41.0
2022/02/21,428.0
2022/02/22,227.0
2022/02/23,222.0
2022/02/24,217.0
2022/02/25,188.0
2022/02/26,156.0
2022/02/27,24.0
2022/02/28,321.0
2022/03/01,209.0
2022/03/02,216.0
2022/03/03,250.0
2022/03/04,250.0
2022/03/05,171.0
2022/03/06,39.0
2022/03/07,463.0
2022/03/08,246.0
2022/03/09,338.0
2022/03/10,355.0
2022/03/11,341.0
2022/03/12,250.0
2022/03/13,44.0
2022/03/14,659.0
2022/03/15,353.0
2022/03/16,342.0
2022/03/17,385.0
2022/03/18,351.0
2022/03/19,264.0
2022/03/20,44.0
2022/03/21,710.0
2022/03/22,396.0
2022/03/23,455.0
2022/03/24,409.0
2022/03/25,363.0
2022/03/26,286.0
2022/03/27,38.0
2022/03/28,646.0
2022/03/29,409.0
2022/03/30,425.0
2022/03/31,387.0
2022/04/01,337.0
2022/04/02,241.0
2022/04/03,28.0
2022/04/04,626.0
2022/04/05,430.0
2022/04/06,406.0
2022/04/07,383.0
2022/04/08,305.0
2022/04/09,203.0
2022/04/10,28.0
2022/04/11,434.0
2022/04/12,282.0
2022/04/13,310.0
2022/04/14,262.0
2022/04/15,255.0
2022/04/16,172.0
2022/04/17,18.0
2022/04/18,34.0
2022/04/19,341.0
2022/04/20,221.0
2022/04/21,188.0
2022/04/22,200.0
2022/04/23,112.0
2022/04/24,10.0
2022/04/25,257.0
2022/04/26,160.0
2022/04/27,161.0
2022/04/28,133.0
2022/04/29,129.0
2022/04/30,76.0
2022/05/01,5.0
2022/05/02,223.0
2022/05/03,124.0
2022/05/04,125.0
2022/05/05,106.0
2022/05/06,105.0
2022/05/07,70.0
2022/05/08,5.0
2022/05/09,155.0
2022/05/10,119.0
2022/05/11,106.0
2022/05/12,76.0
2022/05/13,79.0
2022/05/14,53.0
2022/05/15,3.0
2022/05/16,96.0
2022/05/17,63.0
2022/05/18,47.0
2022/05/19,37.0
2022/05/20,34.0
2022/05/21,28.0
2022/05/22,6.0
2022/05/23,49.0
2022/05/24,32.0
2022/05/25,40.0
2022/05/26,4.0
2022/05/27,50.0
2022/05/28,30.0
2022/05/29,1.0
2022/05/30,57.0
2022/05/31,46.0
2022/06/01,41.0
2022/06/02,44.0
2022/06/03,55.0
2022/06/04,43.0
2022/06/05,3.0
2022/06/06,17.0
2022/06/07,91.0
2022/06/08,70.0
2022/06/09,56.0
2022/06/10,60.0
2022/06/11,49.0
2022/06/12,2.0
2022/06/13,116.0
2022/06/14,88.0
2022/06/15,91.0
2022/06/16,81.0
2022/06/17,104.0
2022/06/18,76.0
2022/06/19,5.0
2022/06/20,167.0
2022/06/21,84.0
2022/06/22,112.0
2022/06/23,119.0
2022/06/24,102.0
2022/06/25,85.0
2022/06/26,8.0
2022/06/27,273.0
2022/06/28,192.0
2022/06/29,209.0
2022/06/30,199.0
2022/07/01,190.0
2022/07/02,169.0
2022/07/03,24.0
2022/07/04,434.0
2022/07/05,283.0
2022/07/06,263.0
2022/07/07,272.0
2022/07/08,283.0
2022/07/09,194.0
2022/07/10,16.0
2022/07/11,406.0
2022/07/12,257.0
2022/07/13,280.0
2022/07/14,14.0
2022/07/15,292.0
2022/07/16,154.0
2022/07/17,16.0
2022/07/18,394.0
2022/07/19,205.0
2022/07/20,245.0
2022/07/21,228.0
2022/07/22,231.0
2022/07/23,139.0
2022/07/24,21.0
2022/07/25,287.0
2022/07/26,168.0
2022/07/27,147.0
2022/07/28,146.0
2022/07/29,115.0
2022/07/30,109.0
2022/07/31,12.0
2022/08/01,196.0
2022/08/02,118.0
2022/08/03,78.0
2022/08/04,90.0
2022/08/05,85.0
2022/08/06,77.0
2022/08/07,1.0
2022/08/08,113.0
2022/08/09,59.0
2022/08/10,60.0
2022/08/11,57.0
2022/08/12,63.0
2022/08/13,42.0
2022/08/14,10.0
2022/08/15,15.0
2022/08/16,99.0
2022/08/17,76.0
2022/08/18,46.0
2022/08/19,42.0
2022/08/20,32.0
2022/08/21,6.0
2022/08/22,78.0
2022/08/23,39.0
2022/08/24,44.0
2022/08/25,41.0
2022/08/26,39.0
2022/08/27,27.0
2022/08/28,5.0
2022/08/29,67.0
2022/08/30,44.0
2022/08/31,24.0
2022/09/01,35.0
2022/09/02,36.0
2022/09/03,17.0
2022/09/04,6.0
2022/09/05,45.0
2022/09/06,50.0
2022/09/07,46.0
2022/09/08,40.0
2022/09/09,45.0
2022/09/10,38.0
2022/09/11,2.0
2022/09/12,127.0
2022/09/13,117.0
2022/09/14,114.0
2022/09/15,122.0
2022/09/16,99.0
2022/09/17,102.0
2022/09/18,18.0
2022/09/19,223.0
2022/09/20,141.0
2022/09/21,170.0
2022/09/22,179.0
2022/09/23,164.0
2022/09/24,107.0
2022/09/25,19.0
2022/09/26,342.0
2022/09/27,210.0
2022/09/28,225.0
2022/09/29,224.0
2022/09/30,214.0
2022/10/01,135.0
2022/10/02,25.0
2022/10/03,397.0
2022/10/04,246.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
