Datas,Vaucluse
2022/04/29,378.0
2022/04/30,273.0
2022/05/01,56.0
2022/05/02,593.0
2022/05/03,416.0
2022/05/04,397.0
2022/05/05,387.0
2022/05/06,284.0
2022/05/07,241.0
2022/05/08,42.0
2022/05/09,516.0
2022/05/10,358.0
2022/05/11,267.0
2022/05/12,272.0
2022/05/13,250.0
2022/05/14,183.0
2022/05/15,28.0
2022/05/16,357.0
2022/05/17,195.0
2022/05/18,216.0
2022/05/19,172.0
2022/05/20,135.0
2022/05/21,107.0
2022/05/22,17.0
2022/05/23,210.0
2022/05/24,139.0
2022/05/25,129.0
2022/05/26,19.0
2022/05/27,141.0
2022/05/28,99.0
2022/05/29,20.0
2022/05/30,199.0
2022/05/31,171.0
2022/06/01,171.0
2022/06/02,143.0
2022/06/03,166.0
2022/06/04,98.0
2022/06/05,31.0
2022/06/06,79.0
2022/06/07,310.0
2022/06/08,219.0
2022/06/09,198.0
2022/06/10,188.0
2022/06/11,155.0
2022/06/12,23.0
2022/06/13,411.0
2022/06/14,283.0
2022/06/15,303.0
2022/06/16,306.0
2022/06/17,306.0
2022/06/18,263.0
2022/06/19,44.0
2022/06/20,668.0
2022/06/21,466.0
2022/06/22,539.0
2022/06/23,485.0
2022/06/24,576.0
2022/06/25,439.0
2022/06/26,84.0
2022/06/27,1174.0
2022/06/28,961.0
2022/06/29,969.0
2022/06/30,888.0
2022/07/01,898.0
2022/07/02,624.0
2022/07/03,119.0
2022/07/04,1604.0
2022/07/05,1050.0
2022/07/06,1149.0
2022/07/07,970.0
2022/07/08,911.0
2022/07/09,631.0
2022/07/10,161.0
2022/07/11,1704.0
2022/07/12,977.0
2022/07/13,1057.0
2022/07/14,194.0
2022/07/15,1235.0
2022/07/16,656.0
2022/07/17,167.0
2022/07/18,1412.0
2022/07/19,893.0
2022/07/20,816.0
2022/07/21,724.0
2022/07/22,713.0
2022/07/23,488.0
2022/07/24,111.0
2022/07/25,1042.0
2022/07/26,638.0
2022/07/27,593.0
2022/07/28,508.0
2022/07/29,501.0
2022/07/30,354.0
2022/07/31,76.0
2022/08/01,735.0
2022/08/02,474.0
2022/08/03,392.0
2022/08/04,384.0
2022/08/05,325.0
2022/08/06,229.0
2022/08/07,42.0
2022/08/08,508.0
2022/08/09,299.0
2022/08/10,274.0
2022/08/11,267.0
