Datas,Seine-Saint-Denis
2021/06/25,94.0
2021/06/26,73.0
2021/06/27,24.0
2021/06/28,124.0
2021/06/29,92.0
2021/06/30,97.0
2021/07/01,107.0
2021/07/02,131.0
2021/07/03,97.0
2021/07/04,23.0
2021/07/05,171.0
2021/07/06,122.0
2021/07/07,154.0
2021/07/08,122.0
2021/07/09,192.0
2021/07/10,137.0
2021/07/11,51.0
2021/07/12,234.0
2021/07/13,234.0
2021/07/14,84.0
2021/07/15,362.0
2021/07/16,379.0
2021/07/17,291.0
2021/07/18,114.0
2021/07/19,534.0
2021/07/20,432.0
2021/07/21,481.0
2021/07/22,488.0
2021/07/23,527.0
2021/07/24,411.0
2021/07/25,155.0
2021/07/26,719.0
2021/07/27,544.0
2021/07/28,509.0
2021/07/29,516.0
2021/07/30,555.0
2021/07/31,450.0
2021/08/01,131.0
2021/08/02,800.0
2021/08/03,641.0
2021/08/04,570.0
2021/08/05,562.0
2021/08/06,594.0
2021/08/07,387.0
2021/08/08,144.0
2021/08/09,875.0
2021/08/10,674.0
2021/08/11,628.0
2021/08/12,637.0
2021/08/13,640.0
2021/08/14,484.0
2021/08/15,155.0
2021/08/16,793.0
2021/08/17,595.0
2021/08/18,530.0
2021/08/19,587.0
2021/08/20,575.0
2021/08/21,441.0
2021/08/22,154.0
2021/08/23,772.0
2021/08/24,605.0
2021/08/25,554.0
2021/08/26,501.0
2021/08/27,529.0
2021/08/28,380.0
2021/08/29,160.0
2021/08/30,734.0
2021/08/31,566.0
2021/09/01,490.0
2021/09/02,418.0
2021/09/03,447.0
2021/09/04,372.0
2021/09/05,134.0
2021/09/06,577.0
2021/09/07,386.0
2021/09/08,375.0
2021/09/09,344.0
2021/09/10,368.0
2021/09/11,240.0
2021/09/12,91.0
2021/09/13,411.0
2021/09/14,326.0
2021/09/15,267.0
2021/09/16,294.0
2021/09/17,270.0
2021/09/18,194.0
2021/09/19,83.0
2021/09/20,369.0
2021/09/21,249.0
2021/09/22,219.0
2021/09/23,218.0
2021/09/24,227.0
2021/09/25,188.0
2021/09/26,75.0
2021/09/27,319.0
2021/09/28,167.0
2021/09/29,158.0
2021/09/30,169.0
2021/10/01,174.0
2021/10/02,132.0
2021/10/03,43.0
2021/10/04,273.0
2021/10/05,185.0
2021/10/06,179.0
2021/10/07,167.0
2021/10/08,205.0
2021/10/09,136.0
2021/10/10,53.0
2021/10/11,248.0
2021/10/12,188.0
2021/10/13,202.0
2021/10/14,287.0
2021/10/15,125.0
2021/10/16,92.0
2021/10/17,48.0
2021/10/18,238.0
2021/10/19,190.0
2021/10/20,186.0
2021/10/21,193.0
2021/10/22,199.0
2021/10/23,143.0
2021/10/24,49.0
2021/10/25,211.0
2021/10/26,166.0
2021/10/27,206.0
2021/10/28,164.0
2021/10/29,231.0
2021/10/30,164.0
2021/10/31,68.0
2021/11/01,86.0
2021/11/02,372.0
2021/11/03,287.0
2021/11/04,255.0
2021/11/05,233.0
2021/11/06,186.0
2021/11/07,70.0
2021/11/08,333.0
2021/11/09,275.0
2021/11/10,277.0
2021/11/11,73.0
2021/11/12,345.0
2021/11/13,241.0
2021/11/14,91.0
2021/11/15,514.0
2021/11/16,397.0
2021/11/17,381.0
2021/11/18,476.0
2021/11/19,449.0
2021/11/20,422.0
2021/11/21,126.0
2021/11/22,790.0
2021/11/23,709.0
2021/11/24,732.0
2021/11/25,669.0
2021/11/26,721.0
2021/11/27,631.0
2021/11/28,190.0
2021/11/29,1227.0
2021/11/30,1014.0
2021/12/01,1018.0
2021/12/02,1075.0
2021/12/03,1098.0
2021/12/04,785.0
2021/12/05,261.0
2021/12/06,1578.0
2021/12/07,1203.0
2021/12/08,1321.0
2021/12/09,1189.0
2021/12/10,1081.0
2021/12/11,849.0
2021/12/12,326.0
2021/12/13,1722.0
2021/12/14,1446.0
2021/12/15,1515.0
2021/12/16,1416.0
2021/12/17,1569.0
2021/12/18,1179.0
2021/12/19,516.0
2021/12/20,2830.0
2021/12/21,2830.0
2021/12/22,3310.0
2021/12/23,3797.0
2021/12/24,3938.0
2021/12/25,1051.0
2021/12/26,1716.0
2021/12/27,9408.0
2021/12/28,8915.0
2021/12/29,9371.0
2021/12/30,9592.0
2021/12/31,8823.0
2022/01/01,1699.0
2022/01/02,3674.0
2022/01/03,16714.0
2022/01/04,12738.0
2022/01/05,11284.0
2022/01/06,10713.0
2022/01/07,10385.0
2022/01/08,7977.0
2022/01/09,3443.0
2022/01/10,13871.0
2022/01/11,10289.0
2022/01/12,9943.0
2022/01/13,8868.0
2022/01/14,8277.0
2022/01/15,6768.0
2022/01/16,3080.0
2022/01/17,11416.0
2022/01/18,8118.0
2022/01/19,7611.0
2022/01/20,6730.0
2022/01/21,6091.0
2022/01/22,4759.0
2022/01/23,2082.0
2022/01/24,7534.0
2022/01/25,4834.0
2022/01/26,4502.0
2022/01/27,3979.0
2022/01/28,3952.0
2022/01/29,3022.0
2022/01/30,1193.0
2022/01/31,4678.0
2022/02/01,2944.0
2022/02/02,2865.0
2022/02/03,2586.0
2022/02/04,2346.0
2022/02/05,1739.0
2022/02/06,592.0
2022/02/07,2541.0
2022/02/08,1719.0
2022/02/09,1670.0
2022/02/10,1395.0
2022/02/11,1332.0
2022/02/12,987.0
2022/02/13,405.0
2022/02/14,1481.0
2022/02/15,1050.0
2022/02/16,1028.0
2022/02/17,916.0
2022/02/18,840.0
2022/02/19,614.0
2022/02/20,211.0
2022/02/21,897.0
2022/02/22,595.0
2022/02/23,643.0
2022/02/24,556.0
2022/02/25,532.0
2022/02/26,430.0
2022/02/27,185.0
2022/02/28,795.0
2022/03/01,546.0
2022/03/02,515.0
2022/03/03,494.0
2022/03/04,561.0
2022/03/05,429.0
2022/03/06,199.0
2022/03/07,849.0
2022/03/08,647.0
2022/03/09,679.0
2022/03/10,629.0
2022/03/11,651.0
2022/03/12,551.0
2022/03/13,216.0
2022/03/14,1197.0
2022/03/15,911.0
2022/03/16,1054.0
2022/03/17,1020.0
2022/03/18,1050.0
2022/03/19,885.0
2022/03/20,364.0
2022/03/21,2216.0
2022/03/22,1665.0
2022/03/23,1869.0
2022/03/24,1779.0
2022/03/25,1779.0
2022/03/26,1505.0
2022/03/27,566.0
2022/03/28,3169.0
2022/03/29,2280.0
2022/03/30,2504.0
2022/03/31,2120.0
2022/04/01,1728.0
2022/04/02,1545.0
2022/04/03,494.0
2022/04/04,3066.0
2022/04/05,2247.0
2022/04/06,2077.0
2022/04/07,2008.0
2022/04/08,1814.0
2022/04/09,1478.0
2022/04/10,502.0
2022/04/11,2877.0
2022/04/12,1915.0
2022/04/13,1781.0
2022/04/14,1667.0
2022/04/15,1625.0
2022/04/16,1183.0
2022/04/17,356.0
2022/04/18,526.0
2022/04/19,2229.0
2022/04/20,1321.0
2022/04/21,1214.0
2022/04/22,1057.0
2022/04/23,775.0
2022/04/24,269.0
2022/04/25,1240.0
2022/04/26,771.0
2022/04/27,760.0
2022/04/28,661.0
2022/04/29,693.0
2022/04/30,479.0
2022/05/01,157.0
2022/05/02,740.0
2022/05/03,562.0
2022/05/04,547.0
2022/05/05,480.0
2022/05/06,486.0
2022/05/07,402.0
2022/05/08,138.0
2022/05/09,800.0
2022/05/10,541.0
2022/05/11,457.0
2022/05/12,430.0
2022/05/13,432.0
2022/05/14,321.0
2022/05/15,111.0
2022/05/16,637.0
2022/05/17,436.0
2022/05/18,420.0
2022/05/19,408.0
2022/05/20,365.0
2022/05/21,293.0
2022/05/22,95.0
2022/05/23,581.0
2022/05/24,356.0
2022/05/25,348.0
2022/05/26,94.0
2022/05/27,472.0
2022/05/28,298.0
2022/05/29,100.0
2022/05/30,625.0
2022/05/31,490.0
2022/06/01,517.0
2022/06/02,476.0
2022/06/03,471.0
2022/06/04,438.0
2022/06/05,164.0
2022/06/06,368.0
2022/06/07,1162.0
2022/06/08,861.0
2022/06/09,854.0
2022/06/10,837.0
2022/06/11,686.0
2022/06/12,264.0
2022/06/13,1631.0
2022/06/14,1274.0
2022/06/15,1330.0
2022/06/16,1299.0
2022/06/17,1391.0
2022/06/18,964.0
2022/06/19,391.0
2022/06/20,2349.0
2022/06/21,1889.0
2022/06/22,1921.0
2022/06/23,1916.0
2022/06/24,2000.0
2022/06/25,1668.0
2022/06/26,537.0
2022/06/27,3481.0
2022/06/28,2749.0
2022/06/29,2791.0
2022/06/30,2624.0
2022/07/01,2587.0
2022/07/02,2045.0
2022/07/03,650.0
2022/07/04,4278.0
2022/07/05,2957.0
2022/07/06,3094.0
2022/07/07,2732.0
2022/07/08,2653.0
2022/07/09,1826.0
2022/07/10,590.0
2022/07/11,3311.0
2022/07/12,2194.0
2022/07/13,1910.0
